# y_bbZ-mbbZ150        central        num_err    min (scale)        num_err    max (scale)        num_err
            3.2      3594.4183      25.148882      3594.4183      25.148882      3594.4183      25.148882
            3.3      3355.0732      27.509026      3355.0732      27.509026      3355.0732      27.509026
            3.4       3005.408      22.214273       3005.408      22.214273       3005.408      22.214273
            3.5      2717.1125      22.463416      2717.1125      22.463416      2717.1125      22.463416
            3.6      2334.9198      21.800553      2334.9198      21.800553      2334.9198      21.800553
            3.7      1995.8046      19.525608      1995.8046      19.525608      1995.8046      19.525608
            3.8       1611.117      17.257829       1611.117      17.257829       1611.117      17.257829
            3.9      1238.2846      16.281279      1238.2846      16.281279      1238.2846      16.281279
              4      955.55829      15.032813      955.55829      15.032813      955.55829      15.032813
            4.1      655.70025      11.286817      655.70025      11.286817      655.70025      11.286817
            4.2      416.53135      10.340841      416.53135      10.340841      416.53135      10.340841
            4.3      259.13471      12.092984      259.13471      12.092984      259.13471      12.092984
            4.4      136.98473      7.1327098      136.98473      7.1327098      136.98473      7.1327098
            4.5      60.277471      3.0707805      60.277471      3.0707805      60.277471      3.0707805
            4.6      24.769421      4.2591793      24.769421      4.2591793      24.769421      4.2591793
            4.7      7.3338203      1.1915749      7.3338203      1.1915749      7.3338203      1.1915749
            4.8      1.2186341     0.46058657      1.2186341     0.46058657      1.2186341     0.46058657
            4.9     0.94023138     0.38946321     0.94023138     0.38946321     0.94023138     0.38946321
              5     0.94023138     0.38946321     0.94023138     0.38946321     0.94023138     0.38946321
