# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      158.09303      2.3869787      158.09303      2.3869787      158.09303      2.3869787
              1      489.29847      5.3446995      489.29847      5.3446995      489.29847      5.3446995
            1.6      833.32933      9.3925027      833.32933      9.3925027      833.32933      9.3925027
              2      1139.2022       9.861213      1139.2022       9.861213      1139.2022       9.861213
            2.4      1486.5022      12.694626      1486.5022      12.694626      1486.5022      12.694626
            2.6        1933.89      12.663751        1933.89      12.663751        1933.89      12.663751
            2.8      2669.9534      14.008317      2669.9534      14.008317      2669.9534      14.008317
              3       3451.031      15.437288       3451.031      15.437288       3451.031      15.437288
            3.2      1916.4315      12.538238      1916.4315      12.538238      1916.4315      12.538238
            3.4      1215.6669      10.046974      1215.6669      10.046974      1215.6669      10.046974
            3.6      730.60649      5.8678633      730.60649      5.8678633      730.60649      5.8678633
              4      382.51846      3.5844007      382.51846      3.5844007      382.51846      3.5844007
            4.4      178.40316      2.3034749      178.40316      2.3034749      178.40316      2.3034749
              5      62.003992      1.2419631      62.003992      1.2419631      62.003992      1.2419631
            5.6      62.003992      1.2419631      62.003992      1.2419631      62.003992      1.2419631
