#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      5.2420763    0.071303246      5.2420763    0.071303246      5.2420763    0.071303246
             50      4.2469404    0.060333614      4.2469404    0.060333614      4.2469404    0.060333614
             75      3.8418283    0.056543844      3.8418283    0.056543844      3.8418283    0.056543844
            100       2.759398    0.047551684       2.759398    0.047551684       2.759398    0.047551684
            125      1.8052582    0.042774913      1.8052582    0.042774913      1.8052582    0.042774913
            150      1.0270518    0.022365648      1.0270518    0.022365648      1.0270518    0.022365648
            200     0.55257194    0.020105553     0.55257194    0.020105553     0.55257194    0.020105553
            250     0.29003673    0.014939242     0.29003673    0.014939242     0.29003673    0.014939242
            300     0.14465147   0.0071720006     0.14465147   0.0071720006     0.14465147   0.0071720006
            400    0.055390484   0.0043081766    0.055390484   0.0043081766    0.055390484   0.0043081766
            500    0.055390484   0.0043081766    0.055390484   0.0043081766    0.055390484   0.0043081766
