#       pt_lep2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      218.06818      1.2008704      218.06818      1.2008704      218.06818      1.2008704
              5      635.07096       2.093987      635.07096       2.093987      635.07096       2.093987
             10       1039.607      2.6435092       1039.607      2.6435092       1039.607      2.6435092
             15      1438.8227      2.9749541      1438.8227      2.9749541      1438.8227      2.9749541
             20      1794.1398      2.9674609      1794.1398      2.9674609      1794.1398      2.9674609
             25      2052.9308      2.8713544      2052.9308      2.8713544      2052.9308      2.8713544
             30      2089.5179       2.707929      2089.5179       2.707929      2089.5179       2.707929
             35      1576.2471      2.2890936      1576.2471      2.2890936      1576.2471      2.2890936
             40      460.38745      1.2448036      460.38745      1.2448036      460.38745      1.2448036
             45      176.06728     0.89240364      176.06728     0.89240364      176.06728     0.89240364
             50      98.102732     0.63692602      98.102732     0.63692602      98.102732     0.63692602
             55      61.107895     0.56252706      61.107895     0.56252706      61.107895     0.56252706
             60      40.346161     0.47563527      40.346161     0.47563527      40.346161     0.47563527
             65      28.079875      0.3669311      28.079875      0.3669311      28.079875      0.3669311
             70       20.10459     0.32353107       20.10459     0.32353107       20.10459     0.32353107
             75      15.203276     0.36621698      15.203276     0.36621698      15.203276     0.36621698
             80      11.465948     0.25940578      11.465948     0.25940578      11.465948     0.25940578
             85       8.446413     0.23882312       8.446413     0.23882312       8.446413     0.23882312
             90      6.3839473     0.14975669      6.3839473     0.14975669      6.3839473     0.14975669
             95      5.3722391     0.16142921      5.3722391     0.16142921      5.3722391     0.16142921
            100      4.2752833     0.12087849      4.2752833     0.12087849      4.2752833     0.12087849
            105      3.4827089     0.11461974      3.4827089     0.11461974      3.4827089     0.11461974
            110      2.8743588     0.17098573      2.8743588     0.17098573      2.8743588     0.17098573
            115      2.4031779     0.15046503      2.4031779     0.15046503      2.4031779     0.15046503
            120      1.8582081    0.083045002      1.8582081    0.083045002      1.8582081    0.083045002
            125      1.4985708    0.070438773      1.4985708    0.070438773      1.4985708    0.070438773
            130      1.3310445    0.076978153      1.3310445    0.076978153      1.3310445    0.076978153
            135      1.0679829    0.067111907      1.0679829    0.067111907      1.0679829    0.067111907
            140      1.1134952      0.1312699      1.1134952      0.1312699      1.1134952      0.1312699
            145     0.86859754    0.062494516     0.86859754    0.062494516     0.86859754    0.062494516
            150     0.67749196    0.051704115     0.67749196    0.051704115     0.67749196    0.051704115
            155     0.59895374    0.058585633     0.59895374    0.058585633     0.59895374    0.058585633
            160     0.59676081    0.091830758     0.59676081    0.091830758     0.59676081    0.091830758
            165     0.43096978     0.04449589     0.43096978     0.04449589     0.43096978     0.04449589
            170     0.36274049    0.046853931     0.36274049    0.046853931     0.36274049    0.046853931
            175     0.27077561    0.022881669     0.27077561    0.022881669     0.27077561    0.022881669
            180     0.24454789    0.023405019     0.24454789    0.023405019     0.24454789    0.023405019
            185     0.22843079    0.022638995     0.22843079    0.022638995     0.22843079    0.022638995
            190       0.292834    0.043763354       0.292834    0.043763354       0.292834    0.043763354
            195     0.17909744    0.023510409     0.17909744    0.023510409     0.17909744    0.023510409
            200     0.18108568    0.027435225     0.18108568    0.027435225     0.18108568    0.027435225
            205     0.15276875    0.022103034     0.15276875    0.022103034     0.15276875    0.022103034
            210     0.11089032    0.013578954     0.11089032    0.013578954     0.11089032    0.013578954
            215     0.12910207    0.040839787     0.12910207    0.040839787     0.12910207    0.040839787
            220      0.1334802    0.025849064      0.1334802    0.025849064      0.1334802    0.025849064
            225    0.060179212    0.014381668    0.060179212    0.014381668    0.060179212    0.014381668
            230     0.09531809    0.018842385     0.09531809    0.018842385     0.09531809    0.018842385
            235     0.12130669    0.042040009     0.12130669    0.042040009     0.12130669    0.042040009
            240    0.073333495    0.020804932    0.073333495    0.020804932    0.073333495    0.020804932
            245     0.07128185     0.01111744     0.07128185     0.01111744     0.07128185     0.01111744
            250    0.053860865    0.010617981    0.053860865    0.010617981    0.053860865    0.010617981
            255    0.092100052    0.034916928    0.092100052    0.034916928    0.092100052    0.034916928
            260    0.038755433    0.013294825    0.038755433    0.013294825    0.038755433    0.013294825
            265     0.03371567      0.0137521     0.03371567      0.0137521     0.03371567      0.0137521
            270    0.060605374     0.03930915    0.060605374     0.03930915    0.060605374     0.03930915
            275    0.032159311   0.0085327238    0.032159311   0.0085327238    0.032159311   0.0085327238
            280    0.033927972   0.0070197155    0.033927972   0.0070197155    0.033927972   0.0070197155
            285    0.041172944    0.013562699    0.041172944    0.013562699    0.041172944    0.013562699
            290    0.041845571      0.0129777    0.041845571      0.0129777    0.041845571      0.0129777
            295    0.017872717   0.0080891555    0.017872717   0.0080891555    0.017872717   0.0080891555
            300    0.030769055    0.013331701    0.030769055    0.013331701    0.030769055    0.013331701
            305    0.039401732    0.017574337    0.039401732    0.017574337    0.039401732    0.017574337
            310    0.015248051   0.0040659057    0.015248051   0.0040659057    0.015248051   0.0040659057
            315     0.01991376    0.005950763     0.01991376    0.005950763     0.01991376    0.005950763
            320    0.011413524   0.0038242416    0.011413524   0.0038242416    0.011413524   0.0038242416
            325    0.020902461    0.011109825    0.020902461    0.011109825    0.020902461    0.011109825
            330    0.023229584    0.011289215    0.023229584    0.011289215    0.023229584    0.011289215
