#         pt_ep        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      106.69063      0.8488185      106.69063      0.8488185      106.69063      0.8488185
              5      325.95266       1.550748      325.95266       1.550748      325.95266       1.550748
             10      567.74604      2.0288332      567.74604      2.0288332      567.74604      2.0288332
             15       835.4842      2.4127163       835.4842      2.4127163       835.4842      2.4127163
             20      1109.3862      2.6115807      1109.3862      2.6115807      1109.3862      2.6115807
             25      1356.3494      2.6681389      1356.3494      2.6681389      1356.3494      2.6681389
             30      1520.7516      2.5695847      1520.7516      2.5695847      1520.7516      2.5695847
             35      1492.2768      2.4551376      1492.2768      2.4551376      1492.2768      2.4551376
             40      1182.1434      2.1050771      1182.1434      2.1050771      1182.1434      2.1050771
             45      817.23386      1.6699373      817.23386      1.6699373      817.23386      1.6699373
             50      569.75246        1.38268      569.75246        1.38268      569.75246        1.38268
             55      408.41191      1.1878611      408.41191      1.1878611      408.41191      1.1878611
             60      300.49967      1.0566466      300.49967      1.0566466      300.49967      1.0566466
             65      227.50195     0.94527174      227.50195     0.94527174      227.50195     0.94527174
             70      173.49642      0.7371172      173.49642      0.7371172      173.49642      0.7371172
             75      136.96294     0.69400901      136.96294     0.69400901      136.96294     0.69400901
             80      107.89464     0.61810018      107.89464     0.61810018      107.89464     0.61810018
             85      88.521292     0.64818579      88.521292     0.64818579      88.521292     0.64818579
             90      71.132798     0.51793269      71.132798     0.51793269      71.132798     0.51793269
             95      57.776424     0.43620492      57.776424     0.43620492      57.776424     0.43620492
            100      47.447031      0.3975303      47.447031      0.3975303      47.447031      0.3975303
            105      39.161109     0.38336659      39.161109     0.38336659      39.161109     0.38336659
            110      33.369079     0.35637307      33.369079     0.35637307      33.369079     0.35637307
            115      28.253468     0.36843762      28.253468     0.36843762      28.253468     0.36843762
            120      24.073556     0.36035929      24.073556     0.36035929      24.073556     0.36035929
            125       20.77397     0.29126225       20.77397     0.29126225       20.77397     0.29126225
            130      17.125651     0.22562713      17.125651     0.22562713      17.125651     0.22562713
            135      15.156176     0.22163036      15.156176     0.22163036      15.156176     0.22163036
            140       13.49343     0.28514044       13.49343     0.28514044       13.49343     0.28514044
            145      11.272026     0.18918874      11.272026     0.18918874      11.272026     0.18918874
            150      10.095672     0.24482365      10.095672     0.24482365      10.095672     0.24482365
            155       8.811954     0.17572325       8.811954     0.17572325       8.811954     0.17572325
            160      7.5608524     0.14995097      7.5608524     0.14995097      7.5608524     0.14995097
            165       6.612937     0.19004519       6.612937     0.19004519       6.612937     0.19004519
            170      5.9485415     0.13484613      5.9485415     0.13484613      5.9485415     0.13484613
            175      5.0081263     0.10294059      5.0081263     0.10294059      5.0081263     0.10294059
            180      4.7619893     0.20790212      4.7619893     0.20790212      4.7619893     0.20790212
            185      4.1969348      0.1158279      4.1969348      0.1158279      4.1969348      0.1158279
            190      3.7432852     0.11694743      3.7432852     0.11694743      3.7432852     0.11694743
            195      3.4106246     0.13824393      3.4106246     0.13824393      3.4106246     0.13824393
            200      3.0589853     0.14404942      3.0589853     0.14404942      3.0589853     0.14404942
            205       2.810641     0.14745667       2.810641     0.14745667       2.810641     0.14745667
            210      2.3272594    0.076998144      2.3272594    0.076998144      2.3272594    0.076998144
            215      2.2065299    0.080054184      2.2065299    0.080054184      2.2065299    0.080054184
            220      2.0401461     0.11387497      2.0401461     0.11387497      2.0401461     0.11387497
            225      1.6472368    0.055307232      1.6472368    0.055307232      1.6472368    0.055307232
            230      1.6957348    0.069661413      1.6957348    0.069661413      1.6957348    0.069661413
            235       1.538379    0.082767008       1.538379    0.082767008       1.538379    0.082767008
            240      1.3061179    0.048919252      1.3061179    0.048919252      1.3061179    0.048919252
            245      1.2617021    0.069854355      1.2617021    0.069854355      1.2617021    0.069854355
            250      1.0404919    0.044318906      1.0404919    0.044318906      1.0404919    0.044318906
            255      1.0633184    0.079493786      1.0633184    0.079493786      1.0633184    0.079493786
            260     0.95380719    0.045343147     0.95380719    0.045343147     0.95380719    0.045343147
