#          m_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      3513.7792      2.6963083      3513.7792      2.6963083      3513.7792      2.6963083
             20      1160.4332      1.6532218      1160.4332      1.6532218      1160.4332      1.6532218
             30      474.51299      1.0392659      474.51299      1.0392659      474.51299      1.0392659
             40      241.09371     0.75069648      241.09371     0.75069648      241.09371     0.75069648
             50      139.20538     0.59105586      139.20538     0.59105586      139.20538     0.59105586
             60      87.505107     0.42691563      87.505107     0.42691563      87.505107     0.42691563
             70      58.770221     0.36681753      58.770221     0.36681753      58.770221     0.36681753
             80      40.839314     0.29122445      40.839314     0.29122445      40.839314     0.29122445
             90      30.358817     0.27226921      30.358817     0.27226921      30.358817     0.27226921
            100        22.8573     0.24634244        22.8573     0.24634244        22.8573     0.24634244
            110      17.827697     0.25064316      17.827697     0.25064316      17.827697     0.25064316
            120      13.593932     0.16648981      13.593932     0.16648981      13.593932     0.16648981
            130      11.008371      0.1648314      11.008371      0.1648314      11.008371      0.1648314
            140      8.6509077     0.13649539      8.6509077     0.13649539      8.6509077     0.13649539
            150      7.3669903     0.12627553      7.3669903     0.12627553      7.3669903     0.12627553
            160       5.928712     0.11497016       5.928712     0.11497016       5.928712     0.11497016
            170      5.1266582     0.11819186      5.1266582     0.11819186      5.1266582     0.11819186
            180      4.0008701     0.10178146      4.0008701     0.10178146      4.0008701     0.10178146
            190      3.5716254    0.093070631      3.5716254    0.093070631      3.5716254    0.093070631
            200       2.961227    0.097357206       2.961227    0.097357206       2.961227    0.097357206
            210      2.5212333    0.090332117      2.5212333    0.090332117      2.5212333    0.090332117
            220      2.2619173    0.077582329      2.2619173    0.077582329      2.2619173    0.077582329
            230      2.1672461     0.10069686      2.1672461     0.10069686      2.1672461     0.10069686
            240      1.6897945     0.06173715      1.6897945     0.06173715      1.6897945     0.06173715
            250      1.4711213    0.063851074      1.4711213    0.063851074      1.4711213    0.063851074
            260      1.3137193    0.057804505      1.3137193    0.057804505      1.3137193    0.057804505
            270      1.2508591    0.075696174      1.2508591    0.075696174      1.2508591    0.075696174
            280      1.1094212    0.070629646      1.1094212    0.070629646      1.1094212    0.070629646
            290     0.94682248    0.040753566     0.94682248    0.040753566     0.94682248    0.040753566
            300     0.80474482    0.037489985     0.80474482    0.037489985     0.80474482    0.037489985
            310      0.7666185     0.04158928      0.7666185     0.04158928      0.7666185     0.04158928
            320     0.71970963    0.046119268     0.71970963    0.046119268     0.71970963    0.046119268
            330     0.58811302    0.033473015     0.58811302    0.033473015     0.58811302    0.033473015
            340     0.56307027    0.043230131     0.56307027    0.043230131     0.56307027    0.043230131
            350     0.43489299    0.027731598     0.43489299    0.027731598     0.43489299    0.027731598
            360     0.46479757    0.043182355     0.46479757    0.043182355     0.46479757    0.043182355
            370     0.38003883    0.038714296     0.38003883    0.038714296     0.38003883    0.038714296
            380      0.3216714    0.028752617      0.3216714    0.028752617      0.3216714    0.028752617
            390     0.43287103      0.0510028     0.43287103      0.0510028     0.43287103      0.0510028
            400     0.29394535    0.026417376     0.29394535    0.026417376     0.29394535    0.026417376
            410     0.28688203    0.042377351     0.28688203    0.042377351     0.28688203    0.042377351
            420     0.23845187    0.030553567     0.23845187    0.030553567     0.23845187    0.030553567
            430     0.27296228     0.02974185     0.27296228     0.02974185     0.27296228     0.02974185
            440      0.2176912    0.029971198      0.2176912    0.029971198      0.2176912    0.029971198
            450     0.22437235    0.056104262     0.22437235    0.056104262     0.22437235    0.056104262
            460     0.21297964    0.039138583     0.21297964    0.039138583     0.21297964    0.039138583
            470     0.17342768    0.022897697     0.17342768    0.022897697     0.17342768    0.022897697
            480     0.16103162    0.019714971     0.16103162    0.019714971     0.16103162    0.019714971
            490     0.14414722    0.033593286     0.14414722    0.033593286     0.14414722    0.033593286
            500     0.14414722    0.033593286     0.14414722    0.033593286     0.14414722    0.033593286
