#          pt_b        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2365.4333      3.2069691      2365.4333      3.2069691      2365.4333      3.2069691
              5       3033.176      3.5661166       3033.176      3.5661166       3033.176      3.5661166
             10      2000.1246      2.9760227      2000.1246      2.9760227      2000.1246      2.9760227
             15      1264.2418      2.4892556      1264.2418      2.4892556      1264.2418      2.4892556
             20      826.71604      2.0400055      826.71604      2.0400055      826.71604      2.0400055
             25      556.67639      1.6217249      556.67639      1.6217249      556.67639      1.6217249
             30      391.60329      1.4608138      391.60329      1.4608138      391.60329      1.4608138
             35      282.90279      1.2278752      282.90279      1.2278752      282.90279      1.2278752
             40      210.46279      1.0554078      210.46279      1.0554078      210.46279      1.0554078
             45      159.84061     0.93174267      159.84061     0.93174267      159.84061     0.93174267
             50      122.50808     0.81705104      122.50808     0.81705104      122.50808     0.81705104
             55      97.535092       0.799511      97.535092       0.799511      97.535092       0.799511
             60      76.471449     0.66291572      76.471449     0.66291572      76.471449     0.66291572
             65      62.373288     0.60988086      62.373288     0.60988086      62.373288     0.60988086
             70      50.811837      0.5423531      50.811837      0.5423531      50.811837      0.5423531
             75      41.446382     0.47019562      41.446382     0.47019562      41.446382     0.47019562
             80      34.435916     0.44124532      34.435916     0.44124532      34.435916     0.44124532
             85      29.010707     0.42601703      29.010707     0.42601703      29.010707     0.42601703
             90      24.004922     0.36039857      24.004922     0.36039857      24.004922     0.36039857
             95      20.343609     0.32976847      20.343609     0.32976847      20.343609     0.32976847
            100       17.34163      0.3435998       17.34163      0.3435998       17.34163      0.3435998
            105      15.603549     0.41563491      15.603549     0.41563491      15.603549     0.41563491
            110      13.056456     0.33642224      13.056456     0.33642224      13.056456     0.33642224
            115      11.523318     0.27129425      11.523318     0.27129425      11.523318     0.27129425
            120      9.7612447     0.23862067      9.7612447     0.23862067      9.7612447     0.23862067
            125      8.5135325     0.28366522      8.5135325     0.28366522      8.5135325     0.28366522
            130      7.2465569      0.1914009      7.2465569      0.1914009      7.2465569      0.1914009
            135      6.7627035     0.27267071      6.7627035     0.27267071      6.7627035     0.27267071
            140      5.9209416     0.18478409      5.9209416     0.18478409      5.9209416     0.18478409
            145      5.0417531     0.15771346      5.0417531     0.15771346      5.0417531     0.15771346
            150      4.3528741     0.15984712      4.3528741     0.15984712      4.3528741     0.15984712
            155      4.0600168      0.1659854      4.0600168      0.1659854      4.0600168      0.1659854
            160      3.6460995     0.16906898      3.6460995     0.16906898      3.6460995     0.16906898
            165      3.2967015     0.13450785      3.2967015     0.13450785      3.2967015     0.13450785
            170      2.9962808     0.13951198      2.9962808     0.13951198      2.9962808     0.13951198
            175      2.4482659     0.11419468      2.4482659     0.11419468      2.4482659     0.11419468
            180      2.4395071     0.14118773      2.4395071     0.14118773      2.4395071     0.14118773
            185        2.18233     0.10602645        2.18233     0.10602645        2.18233     0.10602645
            190      2.0033463    0.091705922      2.0033463    0.091705922      2.0033463    0.091705922
            195      1.7914745     0.12176756      1.7914745     0.12176756      1.7914745     0.12176756
            200      1.5810793      0.1057508      1.5810793      0.1057508      1.5810793      0.1057508
            205       1.523142     0.12086051       1.523142     0.12086051       1.523142     0.12086051
            210      1.2894373    0.094179121      1.2894373    0.094179121      1.2894373    0.094179121
            215      1.2861752     0.19442037      1.2861752     0.19442037      1.2861752     0.19442037
            220      1.1075965    0.078133014      1.1075965    0.078133014      1.1075965    0.078133014
            225     0.96684549    0.057647742     0.96684549    0.057647742     0.96684549    0.057647742
            230      1.0471093     0.10979918      1.0471093     0.10979918      1.0471093     0.10979918
            235      0.9438485     0.12451468      0.9438485     0.12451468      0.9438485     0.12451468
            240     0.86991063    0.086205895     0.86991063    0.086205895     0.86991063    0.086205895
            245     0.66312607    0.056046965     0.66312607    0.056046965     0.66312607    0.056046965
            250     0.63692541    0.058121667     0.63692541    0.058121667     0.63692541    0.058121667
            255      0.6514133    0.070903583      0.6514133    0.070903583      0.6514133    0.070903583
            260     0.51778771    0.045096237     0.51778771    0.045096237     0.51778771    0.045096237
            265     0.53703996    0.060872863     0.53703996    0.060872863     0.53703996    0.060872863
            270     0.68143341     0.12686151     0.68143341     0.12686151     0.68143341     0.12686151
            275     0.54441454    0.055576659     0.54441454    0.055576659     0.54441454    0.055576659
            280     0.37757963    0.052882811     0.37757963    0.052882811     0.37757963    0.052882811
            285      0.3994374    0.041018604      0.3994374    0.041018604      0.3994374    0.041018604
            290     0.27720766    0.022703344     0.27720766    0.022703344     0.27720766    0.022703344
            295     0.43276889    0.080621698     0.43276889    0.080621698     0.43276889    0.080621698
            300     0.40302624    0.062777239     0.40302624    0.062777239     0.40302624    0.062777239
            305     0.32184778    0.040728267     0.32184778    0.040728267     0.32184778    0.040728267
            310     0.21656232    0.029085937     0.21656232    0.029085937     0.21656232    0.029085937
            315     0.21424246    0.022737642     0.21424246    0.022737642     0.21424246    0.022737642
            320     0.19298165    0.030117953     0.19298165    0.030117953     0.19298165    0.030117953
