#  pt_Z-mbbZ250        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.04392744   0.0067417085     0.04392744   0.0067417085     0.04392744   0.0067417085
            420    0.042072604   0.0067053667    0.042072604   0.0067053667    0.042072604   0.0067053667
            425     0.04225811   0.0058010297     0.04225811   0.0058010297     0.04225811   0.0058010297
            430     0.03554246   0.0054678111     0.03554246   0.0054678111     0.03554246   0.0054678111
            435    0.035719882   0.0058438512    0.035719882   0.0058438512    0.035719882   0.0058438512
            440     0.03052248   0.0053615332     0.03052248   0.0053615332     0.03052248   0.0053615332
            445    0.037236279   0.0074748778    0.037236279   0.0074748778    0.037236279   0.0074748778
            450    0.033811671   0.0065445653    0.033811671   0.0065445653    0.033811671   0.0065445653
            455    0.027983701   0.0057973015    0.027983701   0.0057973015    0.027983701   0.0057973015
            460    0.024813248   0.0046697042    0.024813248   0.0046697042    0.024813248   0.0046697042
            465    0.022332165   0.0050168256    0.022332165   0.0050168256    0.022332165   0.0050168256
            470    0.025410945    0.008524167    0.025410945    0.008524167    0.025410945    0.008524167
            475     0.01992813   0.0057349311     0.01992813   0.0057349311     0.01992813   0.0057349311
            480    0.020038405   0.0043553449    0.020038405   0.0043553449    0.020038405   0.0043553449
            485    0.019973228   0.0039173845    0.019973228   0.0039173845    0.019973228   0.0039173845
            490    0.013784626   0.0035917056    0.013784626   0.0035917056    0.013784626   0.0035917056
            495    0.016474508   0.0060022913    0.016474508   0.0060022913    0.016474508   0.0060022913
            500    0.013931614   0.0036377609    0.013931614   0.0036377609    0.013931614   0.0036377609
            505    0.017875708   0.0038853584    0.017875708   0.0038853584    0.017875708   0.0038853584
            510    0.032523406    0.012704323    0.032523406    0.012704323    0.032523406    0.012704323
            515   0.0099539369   0.0031568539   0.0099539369   0.0031568539   0.0099539369   0.0031568539
            520     0.01398311   0.0032989898     0.01398311   0.0032989898     0.01398311   0.0032989898
            525    0.012251043   0.0030625885    0.012251043   0.0030625885    0.012251043   0.0030625885
            530   0.0084074803   0.0033407768   0.0084074803   0.0033407768   0.0084074803   0.0033407768
            535     0.01111998   0.0029901366     0.01111998   0.0029901366     0.01111998   0.0029901366
            540   0.0053598228   0.0020257213   0.0053598228   0.0020257213   0.0053598228   0.0020257213
            545    0.014649783   0.0033620954    0.014649783   0.0033620954    0.014649783   0.0033620954
            550   0.0076568897   0.0026522918   0.0076568897   0.0026522918   0.0076568897   0.0026522918
            555   0.0081826968   0.0026351061   0.0081826968   0.0026351061   0.0081826968   0.0026351061
            560    0.008668681   0.0026240845    0.008668681   0.0026240845    0.008668681   0.0026240845
            565   0.0061255117      0.0024212   0.0061255117      0.0024212   0.0061255117      0.0024212
            570    0.010732421   0.0041147894    0.010732421   0.0041147894    0.010732421   0.0041147894
            575   0.0099732282   0.0027659995   0.0099732282   0.0027659995   0.0099732282   0.0027659995
            580   0.0073567716   0.0030372584   0.0073567716   0.0030372584   0.0073567716   0.0030372584
            585   0.0053598228   0.0020257213   0.0053598228   0.0020257213   0.0053598228   0.0020257213
            590   0.0054030904   0.0020425115   0.0054030904   0.0020425115   0.0054030904   0.0020425115
            595   0.0056866338   0.0024255292   0.0056866338   0.0024255292   0.0056866338   0.0024255292
            600   0.0090200392   0.0029961357   0.0090200392   0.0029961357   0.0090200392   0.0029961357
            605   0.0038284645   0.0017120558   0.0038284645   0.0017120558   0.0038284645   0.0017120558
            610   0.0046009842   0.0018782603   0.0046009842   0.0018782603   0.0046009842   0.0018782603
            615   0.0068912007    0.002296952   0.0068912007    0.002296952   0.0068912007    0.002296952
            620   0.0061506692   0.0021746085   0.0061506692   0.0021746085   0.0061506692   0.0021746085
            625   0.0032544685   0.0019615552   0.0032544685   0.0019615552   0.0032544685   0.0019615552
            630   0.0023972834   0.0017591479   0.0023972834   0.0017591479   0.0023972834   0.0017591479
            635   0.0038337205   0.0017144126   0.0038337205   0.0017144126   0.0038337205   0.0017144126
            640   0.0038284448   0.0022969652   0.0038284448   0.0022969652   0.0038284448   0.0022969652
            645   0.0030627559   0.0015313014   0.0030627559   0.0015313014   0.0030627559   0.0015313014
            650   0.0022970669   0.0013261459   0.0022970669   0.0013261459   0.0022970669   0.0013261459
            655  0.00076570864   0.0013261572  0.00076570864   0.0013261572  0.00076570864   0.0013261572
            660   0.0038284448    0.001712047   0.0038284448    0.001712047   0.0038284448    0.001712047
            665   0.0030627559   0.0015313014   0.0030627559   0.0015313014   0.0030627559   0.0015313014
            670   0.0031103543   0.0018950951   0.0031103543   0.0018950951   0.0031103543   0.0018950951
            675              0              0              0              0              0              0
            680   0.0015313779   0.0010827936   0.0015313779   0.0010827936   0.0015313779   0.0010827936
            685              0              0              0              0              0              0
            690  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            695   0.0021756102   0.0012599348   0.0021756102   0.0012599348   0.0021756102   0.0012599348
            700              0              0              0              0              0              0
            705    0.042025393    0.039748487    0.042025393    0.039748487    0.042025393    0.039748487
            710 -0.00076568897  0.00076565068 -0.00076568897  0.00076565068 -0.00076568897  0.00076565068
            715              0              0              0              0              0              0
            720              0              0              0              0              0              0
            725  0.00076570864  0.00076567035  0.00076570864  0.00076567035  0.00076570864  0.00076567035
            730  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            735   0.0015313779   0.0010827936   0.0015313779   0.0010827936   0.0015313779   0.0010827936
            740 -0.00076570864  0.00076567035 -0.00076570864  0.00076567035 -0.00076570864  0.00076567035
            745   0.0022970669   0.0013261459   0.0022970669   0.0013261459   0.0022970669   0.0013261459
            750   0.0031197047   0.0015605531   0.0031197047   0.0015605531   0.0031197047   0.0015605531
            755   0.0030627559   0.0015313014   0.0030627559   0.0015313014   0.0030627559   0.0015313014
            760   0.0015429724   0.0010910225   0.0015429724   0.0010910225   0.0015429724   0.0010910225
            765  0.00076566929   0.0013261572  0.00076566929   0.0013261572  0.00076566929   0.0013261572
            770  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            775              0              0              0              0              0              0
            780  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            785  0.00076570864  0.00076567035  0.00076570864  0.00076567035  0.00076570864  0.00076567035
            790 -0.00076568897  0.00076565068 -0.00076568897  0.00076565068 -0.00076568897  0.00076565068
            795              0              0              0              0              0              0
            800   0.0015313779   0.0010827936   0.0015313779   0.0010827936   0.0015313779   0.0010827936
            805   0.0015313779   0.0010827936   0.0015313779   0.0010827936   0.0015313779   0.0010827936
            810 -0.00076568897  0.00076565068 -0.00076568897  0.00076565068 -0.00076568897  0.00076565068
            815  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            820  0.00037322833  0.00037320967  0.00037322833  0.00037320967  0.00037322833  0.00037320967
            825   0.0022970669   0.0013261459   0.0022970669   0.0013261459   0.0022970669   0.0013261459
            830  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            835              0              0              0              0              0              0
            840              0              0              0              0              0              0
            845  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            850              0              0              0              0              0              0
            855              0              0              0              0              0              0
            860              0              0              0              0              0              0
            865  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            870              0              0              0              0              0              0
            875 -0.00060375983  0.00060372965 -0.00060375983  0.00060372965 -0.00060375983  0.00060372965
            880              0   0.0010827936              0   0.0010827936              0   0.0010827936
            885              0              0              0              0              0              0
            890              0              0              0              0              0              0
            895              0              0              0              0              0              0
            900 -1.9675197e-08   0.0010828075 -1.9675197e-08   0.0010828075 -1.9675197e-08   0.0010828075
            905  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            910              0              0              0              0              0              0
            915              0              0              0              0              0              0
            920              0              0              0              0              0              0
            925  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            930              0              0              0              0              0              0
            935  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            940              0              0              0              0              0              0
            945              0              0              0              0              0              0
            950              0              0              0              0              0              0
            955              0              0              0              0              0              0
            960              0              0              0              0              0              0
            965  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            970              0              0              0              0              0              0
            975              0              0              0              0              0              0
            980  0.00076568897  0.00076565068  0.00076568897  0.00076565068  0.00076568897  0.00076565068
            985              0              0              0              0              0              0
            990              0              0              0              0              0              0
            995              0              0              0              0              0              0
           1000              0              0              0              0              0              0
