# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ750
              0       225.2474      1.9776516       225.2474      1.9776516       225.2474      1.9776516
              1      865.90918      4.0359236      865.90918      4.0359236      865.90918      4.0359236
              2      1381.1733      5.7658429      1381.1733      5.7658429      1381.1733      5.7658429
              3      1634.3025      6.3583899      1634.3025      6.3583899      1634.3025      6.3583899
              4      1726.8498      6.6709163      1726.8498      6.6709163      1726.8498      6.6709163
              5      1741.2476      6.9109239      1741.2476      6.9109239      1741.2476      6.9109239
              6      1687.9628       6.770558      1687.9628       6.770558      1687.9628       6.770558
              7      1650.4509        6.39912      1650.4509        6.39912      1650.4509        6.39912
              8      1583.5356      6.4022111      1583.5356      6.4022111      1583.5356      6.4022111
              9      1505.9473      5.9194502      1505.9473      5.9194502      1505.9473      5.9194502
             10      1445.2336      5.7572027      1445.2336      5.7572027      1445.2336      5.7572027
             11      1386.5391       5.653057      1386.5391       5.653057      1386.5391       5.653057
             12      1314.2665      5.4247006      1314.2665      5.4247006      1314.2665      5.4247006
             13      1266.8694      5.5678402      1266.8694      5.5678402      1266.8694      5.5678402
             14      1206.3232      5.6012605      1206.3232      5.6012605      1206.3232      5.6012605
             15      1160.0024      5.0163483      1160.0024      5.0163483      1160.0024      5.0163483
             16      1106.8582      4.8909482      1106.8582      4.8909482      1106.8582      4.8909482
             17      1065.5778      4.6594956      1065.5778      4.6594956      1065.5778      4.6594956
             18      1022.7248      4.5818663      1022.7248      4.5818663      1022.7248      4.5818663
             19       982.6833      4.6109154       982.6833      4.6109154       982.6833      4.6109154
             20      944.93675      4.3904402      944.93675      4.3904402      944.93675      4.3904402
             21      899.81575      4.1451367      899.81575      4.1451367      899.81575      4.1451367
             22      878.17078      4.3166663      878.17078      4.3166663      878.17078      4.3166663
             23      845.69934      4.2003951      845.69934      4.2003951      845.69934      4.2003951
             24      809.44853      3.9497436      809.44853      3.9497436      809.44853      3.9497436
             25      780.52248      3.9239419      780.52248      3.9239419      780.52248      3.9239419
             26      756.48299      3.9522332      756.48299      3.9522332      756.48299      3.9522332
             27      726.35919      3.8325409      726.35919      3.8325409      726.35919      3.8325409
             28      704.78492      3.9073954      704.78492      3.9073954      704.78492      3.9073954
             29      682.53405      3.7434661      682.53405      3.7434661      682.53405      3.7434661
             30      658.17278      3.6075092      658.17278      3.6075092      658.17278      3.6075092
             31      642.08948      3.5279038      642.08948      3.5279038      642.08948      3.5279038
             32      619.58396      3.4972949      619.58396      3.4972949      619.58396      3.4972949
             33      599.09785      3.7268972      599.09785      3.7268972      599.09785      3.7268972
             34      581.33666       3.525575      581.33666       3.525575      581.33666       3.525575
             35      563.23181      3.2719457      563.23181      3.2719457      563.23181      3.2719457
             36      538.35328      2.9989164      538.35328      2.9989164      538.35328      2.9989164
             37      523.51041      3.2063554      523.51041      3.2063554      523.51041      3.2063554
             38      508.86924      3.1687976      508.86924      3.1687976      508.86924      3.1687976
             39      497.85207      3.1049061      497.85207      3.1049061      497.85207      3.1049061
             40      480.88559       3.218925      480.88559       3.218925      480.88559       3.218925
             41      469.33397      3.1186051      469.33397      3.1186051      469.33397      3.1186051
             42      452.61323      2.9075897      452.61323      2.9075897      452.61323      2.9075897
             43      437.27275      2.9626384      437.27275      2.9626384      437.27275      2.9626384
             44      423.82286      2.9194574      423.82286      2.9194574      423.82286      2.9194574
             45      414.89683      2.8852066      414.89683      2.8852066      414.89683      2.8852066
             46       403.4609      2.9504676       403.4609      2.9504676       403.4609      2.9504676
             47      389.64979       2.730791      389.64979       2.730791      389.64979       2.730791
             48      375.64259      2.5846239      375.64259      2.5846239      375.64259      2.5846239
             49      366.21596      2.5077036      366.21596      2.5077036      366.21596      2.5077036
             50      366.21596      2.5077036      366.21596      2.5077036      366.21596      2.5077036
