#       dy_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      25.274471      1.4797739      25.274471      1.4797739      25.274471      1.4797739
           -4.9      30.313813      1.5897638      30.313813      1.5897638      30.313813      1.5897638
           -4.8      37.994599      1.7845521      37.994599      1.7845521      37.994599      1.7845521
           -4.7      39.079063      1.6714769      39.079063      1.6714769      39.079063      1.6714769
           -4.6      49.496165      3.0813277      49.496165      3.0813277      49.496165      3.0813277
           -4.5      55.246507      2.0888507      55.246507      2.0888507      55.246507      2.0888507
           -4.4      70.106156       2.904202      70.106156       2.904202      70.106156       2.904202
           -4.3      75.538681      2.2640991      75.538681      2.2640991      75.538681      2.2640991
           -4.2      91.895244      3.3232318      91.895244      3.3232318      91.895244      3.3232318
           -4.1      105.70225      2.8571375      105.70225      2.8571375      105.70225      2.8571375
             -4      121.14868      4.7485004      121.14868      4.7485004      121.14868      4.7485004
           -3.9      133.62183      4.3490836      133.62183      4.3490836      133.62183      4.3490836
           -3.8      158.76806      3.7117002      158.76806      3.7117002      158.76806      3.7117002
           -3.7      182.09034      6.0444783      182.09034      6.0444783      182.09034      6.0444783
           -3.6      207.78227      6.4498468      207.78227      6.4498468      207.78227      6.4498468
           -3.5       238.3326      5.4447048       238.3326      5.4447048       238.3326      5.4447048
           -3.4      271.82332      6.7730661      271.82332      6.7730661      271.82332      6.7730661
           -3.3      300.90406      5.6527598      300.90406      5.6527598      300.90406      5.6527598
           -3.2      350.09382      6.2356957      350.09382      6.2356957      350.09382      6.2356957
           -3.1      411.75822      7.1230876      411.75822      7.1230876      411.75822      7.1230876
             -3      463.15147      8.2375998      463.15147      8.2375998      463.15147      8.2375998
           -2.9      532.38823      8.5689536      532.38823      8.5689536      532.38823      8.5689536
           -2.8      623.61656      11.117899      623.61656      11.117899      623.61656      11.117899
           -2.7       722.7068      12.298886       722.7068      12.298886       722.7068      12.298886
           -2.6      837.10769      11.978271      837.10769      11.978271      837.10769      11.978271
           -2.5      963.05039      13.388467      963.05039      13.388467      963.05039      13.388467
           -2.4      1103.8067      13.663995      1103.8067      13.663995      1103.8067      13.663995
           -2.3      1319.7168      18.326195      1319.7168      18.326195      1319.7168      18.326195
           -2.2      1505.4858      15.899399      1505.4858      15.899399      1505.4858      15.899399
           -2.1      1806.1422      21.285741      1806.1422      21.285741      1806.1422      21.285741
             -2      2120.2971      23.635061      2120.2971      23.635061      2120.2971      23.635061
           -1.9      2506.7686      25.115578      2506.7686      25.115578      2506.7686      25.115578
           -1.8      2911.6479      25.379137      2911.6479      25.379137      2911.6479      25.379137
           -1.7      3499.7348      27.183578      3499.7348      27.183578      3499.7348      27.183578
           -1.6      4169.0614       30.15462      4169.0614       30.15462      4169.0614       30.15462
           -1.5      4935.1152      34.601123      4935.1152      34.601123      4935.1152      34.601123
           -1.4      5909.8509      37.814074      5909.8509      37.814074      5909.8509      37.814074
           -1.3      7049.0008      40.493531      7049.0008      40.493531      7049.0008      40.493531
           -1.2      8285.5027      45.120506      8285.5027      45.120506      8285.5027      45.120506
           -1.1      9819.1999      49.565754      9819.1999      49.565754      9819.1999      49.565754
             -1      11506.227      52.553507      11506.227      52.553507      11506.227      52.553507
           -0.9      13509.505      54.257061      13509.505      54.257061      13509.505      54.257061
           -0.8      15755.848      59.789768      15755.848      59.789768      15755.848      59.789768
           -0.7      18223.357      65.701092      18223.357      65.701092      18223.357      65.701092
           -0.6      20975.686      70.833325      20975.686      70.833325      20975.686      70.833325
           -0.5      23904.067      76.143126      23904.067      76.143126      23904.067      76.143126
           -0.4      27200.687      80.851217      27200.687      80.851217      27200.687      80.851217
           -0.3      30403.659      87.033484      30403.659      87.033484      30403.659      87.033484
           -0.2      33660.779      94.407761      33660.779      94.407761      33660.779      94.407761
           -0.1      35881.761      98.006598      35881.761      98.006598      35881.761      98.006598
              0       35729.26       94.07917       35729.26       94.07917       35729.26       94.07917
            0.1       33574.03      93.313751       33574.03      93.313751       33574.03      93.313751
            0.2       30309.87       86.52888       30309.87       86.52888       30309.87       86.52888
            0.3       27089.94      81.664596       27089.94      81.664596       27089.94      81.664596
            0.4       23993.82      75.368338       23993.82      75.368338       23993.82      75.368338
            0.5      20979.519      70.724362      20979.519      70.724362      20979.519      70.724362
            0.6      18249.445       66.29309      18249.445       66.29309      18249.445       66.29309
            0.7       15763.63       58.98503       15763.63       58.98503       15763.63       58.98503
            0.8      13599.907      56.484782      13599.907      56.484782      13599.907      56.484782
            0.9      11505.915      51.180706      11505.915      51.180706      11505.915      51.180706
              1      9805.4671      47.822979      9805.4671      47.822979      9805.4671      47.822979
            1.1      8246.9544      43.983133      8246.9544      43.983133      8246.9544      43.983133
            1.2      6965.8255      38.532316      6965.8255      38.532316      6965.8255      38.532316
            1.3      5864.5099      36.444448      5864.5099      36.444448      5864.5099      36.444448
            1.4      4938.4514      32.320387      4938.4514      32.320387      4938.4514      32.320387
            1.5      4132.5941      27.318788      4132.5941      27.318788      4132.5941      27.318788
