# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0        5181.52      13.313736        5181.52      13.313736        5181.52      13.313736
     0.31415927      5601.7262      14.578316      5601.7262      14.578316      5601.7262      14.578316
     0.62831853      6023.4378      16.230077      6023.4378      16.230077      6023.4378      16.230077
      0.9424778      6631.2663      16.906613      6631.2663      16.906613      6631.2663      16.906613
      1.2566371       7604.142       19.80754       7604.142       19.80754       7604.142       19.80754
      1.5707963       9080.681      22.089211       9080.681      22.089211       9080.681      22.089211
      1.8849556      11226.417      27.374506      11226.417      27.374506      11226.417      27.374506
      2.1991149      14259.222      34.197836      14259.222      34.197836      14259.222      34.197836
      2.5132741      17824.461      41.348722      17824.461      41.348722      17824.461      41.348722
      2.8274334       20829.97      49.988844       20829.97      49.988844       20829.97      49.988844
      3.1415927       20829.97      49.988844       20829.97      49.988844       20829.97      49.988844
