# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      3654.4499      10.942974      3654.4499      10.942974      3654.4499      10.942974
     0.31415927       3963.512      11.856126       3963.512      11.856126       3963.512      11.856126
     0.62831853      4264.6056       12.64871      4264.6056       12.64871      4264.6056       12.64871
      0.9424778       4734.652      14.175474       4734.652      14.175474       4734.652      14.175474
      1.2566371      5507.9642       16.60515      5507.9642       16.60515      5507.9642       16.60515
      1.5707963       6690.779      18.675922       6690.779      18.675922       6690.779      18.675922
      1.8849556      8455.6796      23.677066      8455.6796      23.677066      8455.6796      23.677066
      2.1991149      11054.167      30.779724      11054.167      30.779724      11054.167      30.779724
      2.5132741      14233.868      37.665656      14233.868      37.665656      14233.868      37.665656
      2.8274334       17017.97      46.613801       17017.97      46.613801       17017.97      46.613801
      3.1415927       17017.97      46.613801       17017.97      46.613801       17017.97      46.613801
