# m_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            150      2.0442082    0.032016475      2.0442082    0.032016475      2.0442082    0.032016475
            200      2.6860062    0.034810301      2.6860062    0.034810301      2.6860062    0.034810301
            250      2.0290355    0.030716119      2.0290355    0.030716119      2.0290355    0.030716119
            300      1.4164488    0.025183053      1.4164488    0.025183053      1.4164488    0.025183053
            350      1.0111421    0.026424767      1.0111421    0.026424767      1.0111421    0.026424767
            400     0.69381908    0.019044317     0.69381908    0.019044317     0.69381908    0.019044317
            450     0.49023877    0.014597507     0.49023877    0.014597507     0.49023877    0.014597507
            500     0.31809785   0.0097386185     0.31809785   0.0097386185     0.31809785   0.0097386185
            600     0.31809785   0.0097386185     0.31809785   0.0097386185     0.31809785   0.0097386185
