# total-CMS-1bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      4378.8928      9.7297921      4378.8928      9.7297921      4378.8928      9.7297921
              1      4378.8928      9.7297921      4378.8928      9.7297921      4378.8928      9.7297921
