# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2706.0095      26.091888      2706.0095      26.091888      2706.0095      26.091888
            0.1      1434.7339       19.34011      1434.7339       19.34011      1434.7339       19.34011
            0.2       745.4062      13.048732       745.4062      13.048732       745.4062      13.048732
            0.3      438.26757      9.9399807      438.26757      9.9399807      438.26757      9.9399807
            0.4      287.63574      9.9032636      287.63574      9.9032636      287.63574      9.9032636
            0.5      191.85536      9.3354335      191.85536      9.3354335      191.85536      9.3354335
            0.6      110.37512      5.6484925      110.37512      5.6484925      110.37512      5.6484925
            0.7      61.605025       3.816921      61.605025       3.816921      61.605025       3.816921
            0.8      20.351482      1.6055332      20.351482      1.6055332      20.351482      1.6055332
              1      20.351482      1.6055332      20.351482      1.6055332      20.351482      1.6055332
