# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj60
              0      1545.0354      7.2876517      1545.0354      7.2876517      1545.0354      7.2876517
     0.31415927      1690.2747      7.5289283      1690.2747      7.5289283      1690.2747      7.5289283
     0.62831853      1828.0517      8.5026302      1828.0517      8.5026302      1828.0517      8.5026302
      0.9424778       2019.386      9.2327664       2019.386      9.2327664       2019.386      9.2327664
      1.2566371      2384.0642      11.664745      2384.0642      11.664745      2384.0642      11.664745
      1.5707963      2989.4443      13.027816      2989.4443      13.027816      2989.4443      13.027816
      1.8849556      3925.6845      17.386634      3925.6845      17.386634      3925.6845      17.386634
      2.1991149      5451.9098      23.825534      5451.9098      23.825534      5451.9098      23.825534
      2.5132741      7535.4146      30.438385      7535.4146      30.438385      7535.4146      30.438385
      2.8274334      9529.7175      38.287384      9529.7175      38.287384      9529.7175      38.287384
      3.1415927      9529.7175      38.287384      9529.7175      38.287384      9529.7175      38.287384
