# dy_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      1305.9449      7.6210107      1305.9449      7.6210107      1305.9449      7.6210107
            0.4      1137.9821      5.8213536      1137.9821      5.8213536      1137.9821      5.8213536
              1      796.93555      5.6333681      796.93555      5.6333681      796.93555      5.6333681
            1.6      447.51154      4.4376706      447.51154      4.4376706      447.51154      4.4376706
            2.3      156.86868      1.9927608      156.86868      1.9927608      156.86868      1.9927608
            3.4      19.235824     0.51625641      19.235824     0.51625641      19.235824     0.51625641
            4.6      19.235824     0.51625641      19.235824     0.51625641      19.235824     0.51625641
