#         pt_j2        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      2674.9857      3.5890073      2674.9857      3.5890073      2674.9857      3.5890073
              5      2185.8185      3.0730094      2185.8185      3.0730094      2185.8185      3.0730094
             10      1363.9818      2.4597509      1363.9818      2.4597509      1363.9818      2.4597509
             15      895.77989      2.0427936      895.77989      2.0427936      895.77989      2.0427936
             20      612.71632      1.6559268      612.71632      1.6559268      612.71632      1.6559268
             25      435.40203      1.4443998      435.40203      1.4443998      435.40203      1.4443998
             30      321.38356      1.2173257      321.38356      1.2173257      321.38356      1.2173257
             35      241.61166      1.1265473      241.61166      1.1265473      241.61166      1.1265473
             40       186.3866      1.0081141       186.3866      1.0081141       186.3866      1.0081141
             45      144.50841     0.93103767      144.50841     0.93103767      144.50841     0.93103767
             50       113.4484     0.78681627       113.4484     0.78681627       113.4484     0.78681627
             55      91.972393     0.76002632      91.972393     0.76002632      91.972393     0.76002632
             60      75.130435     0.67643526      75.130435     0.67643526      75.130435     0.67643526
             65      59.726469     0.57067636      59.726469     0.57067636      59.726469     0.57067636
             70      50.090151     0.50145487      50.090151     0.50145487      50.090151     0.50145487
             75      42.270979     0.47842166      42.270979     0.47842166      42.270979     0.47842166
             80      35.412524     0.50435591      35.412524     0.50435591      35.412524     0.50435591
             85      30.496191     0.45650884      30.496191     0.45650884      30.496191     0.45650884
             90      26.180108     0.38854532      26.180108     0.38854532      26.180108     0.38854532
             95      22.223992     0.38765131      22.223992     0.38765131      22.223992     0.38765131
            100      19.291382     0.34867434      19.291382     0.34867434      19.291382     0.34867434
            105      16.904136     0.32580367      16.904136     0.32580367      16.904136     0.32580367
            110      14.647505     0.29847356      14.647505     0.29847356      14.647505     0.29847356
            115      13.490713     0.29600071      13.490713     0.29600071      13.490713     0.29600071
            120      11.656196      0.2920739      11.656196      0.2920739      11.656196      0.2920739
            125      10.254305     0.32743569      10.254305     0.32743569      10.254305     0.32743569
            130      8.9496208     0.29880802      8.9496208     0.29880802      8.9496208     0.29880802
            135      8.1156663      0.2895762      8.1156663      0.2895762      8.1156663      0.2895762
            140      7.2339779     0.20553745      7.2339779     0.20553745      7.2339779     0.20553745
            145      6.1991367      0.1677712      6.1991367      0.1677712      6.1991367      0.1677712
            150      5.6716168     0.17276175      5.6716168     0.17276175      5.6716168     0.17276175
            155      5.4021089     0.22682719      5.4021089     0.22682719      5.4021089     0.22682719
            160      4.8927536     0.27434934      4.8927536     0.27434934      4.8927536     0.27434934
            165      4.3897171     0.15648302      4.3897171     0.15648302      4.3897171     0.15648302
            170      3.9053982     0.18078465      3.9053982     0.18078465      3.9053982     0.18078465
            175      3.4641375     0.16447264      3.4641375     0.16447264      3.4641375     0.16447264
            180      3.0020758     0.13772239      3.0020758     0.13772239      3.0020758     0.13772239
            185      3.0628425     0.17025704      3.0628425     0.17025704      3.0628425     0.17025704
            190      2.5204134    0.091258439      2.5204134    0.091258439      2.5204134    0.091258439
            195      2.4062365     0.10568474      2.4062365     0.10568474      2.4062365     0.10568474
            200        2.11639      0.1037489        2.11639      0.1037489        2.11639      0.1037489
            205      1.9351339     0.10884014      1.9351339     0.10884014      1.9351339     0.10884014
            210      1.8249643     0.10508065      1.8249643     0.10508065      1.8249643     0.10508065
            215      1.6078144    0.086305392      1.6078144    0.086305392      1.6078144    0.086305392
            220      1.4961163    0.068972034      1.4961163    0.068972034      1.4961163    0.068972034
            225      1.4225767    0.081268445      1.4225767    0.081268445      1.4225767    0.081268445
            230      1.5130973     0.17990096      1.5130973     0.17990096      1.5130973     0.17990096
            235      1.2818409    0.085264664      1.2818409    0.085264664      1.2818409    0.085264664
            240      1.2173781    0.087742207      1.2173781    0.087742207      1.2173781    0.087742207
            245      1.0913909    0.082581269      1.0913909    0.082581269      1.0913909    0.082581269
            250     0.97247968    0.072322875     0.97247968    0.072322875     0.97247968    0.072322875
            255     0.99980057    0.077800759     0.99980057    0.077800759     0.99980057    0.077800759
            260      0.9335764    0.078892233      0.9335764    0.078892233      0.9335764    0.078892233
            265     0.73692561    0.065647989     0.73692561    0.065647989     0.73692561    0.065647989
            270     0.67831937    0.044638751     0.67831937    0.044638751     0.67831937    0.044638751
            275     0.87132144     0.11940056     0.87132144     0.11940056     0.87132144     0.11940056
            280     0.72832351     0.10618663     0.72832351     0.10618663     0.72832351     0.10618663
            285     0.72502754     0.11124211     0.72502754     0.11124211     0.72502754     0.11124211
            290     0.53783699    0.033553963     0.53783699    0.033553963     0.53783699    0.033553963
            295      0.5523038    0.043032996      0.5523038    0.043032996      0.5523038    0.043032996
            300     0.51909516     0.04822433     0.51909516     0.04822433     0.51909516     0.04822433
            305     0.54665949    0.060182331     0.54665949    0.060182331     0.54665949    0.060182331
            310      0.5417861    0.096853448      0.5417861    0.096853448      0.5417861    0.096853448
            315     0.48849655    0.072635156     0.48849655    0.072635156     0.48849655    0.072635156
            320     0.59966393     0.14447573     0.59966393     0.14447573     0.59966393     0.14447573
            325     0.39713778    0.049408453     0.39713778    0.049408453     0.39713778    0.049408453
            330     0.39924815      0.1010936     0.39924815      0.1010936     0.39924815      0.1010936
            335     0.42256864    0.066217651     0.42256864    0.066217651     0.42256864    0.066217651
            340      0.2828852    0.020154194      0.2828852    0.020154194      0.2828852    0.020154194
            345     0.26070161    0.025260458     0.26070161    0.025260458     0.26070161    0.025260458
            350     0.29962408    0.044371153     0.29962408    0.044371153     0.29962408    0.044371153
            355     0.23412774    0.020516048     0.23412774    0.020516048     0.23412774    0.020516048
            360     0.38530065     0.13261526     0.38530065     0.13261526     0.38530065     0.13261526
            365     0.20800802    0.020509822     0.20800802    0.020509822     0.20800802    0.020509822
            370     0.23484238    0.029154849     0.23484238    0.029154849     0.23484238    0.029154849
            375     0.28321687    0.088524512     0.28321687    0.088524512     0.28321687    0.088524512
            380     0.16635807    0.017131539     0.16635807    0.017131539     0.16635807    0.017131539
            385     0.19620905    0.020231139     0.19620905    0.020231139     0.19620905    0.020231139
            390     0.17696307     0.02310917     0.17696307     0.02310917     0.17696307     0.02310917
            395     0.19511153    0.033655825     0.19511153    0.033655825     0.19511153    0.033655825
            400      0.1698201    0.025043801      0.1698201    0.025043801      0.1698201    0.025043801
            405     0.35145076     0.18250174     0.35145076     0.18250174     0.35145076     0.18250174
            410     0.17990031    0.039344712     0.17990031    0.039344712     0.17990031    0.039344712
            415      0.1214475    0.011948505      0.1214475    0.011948505      0.1214475    0.011948505
            420     0.13159608    0.019925828     0.13159608    0.019925828     0.13159608    0.019925828
            425     0.11203821    0.012843278     0.11203821    0.012843278     0.11203821    0.012843278
            430     0.18115973    0.043010568     0.18115973    0.043010568     0.18115973    0.043010568
            435    0.088617185    0.013742556    0.088617185    0.013742556    0.088617185    0.013742556
            440      0.1467564    0.033845507      0.1467564    0.033845507      0.1467564    0.033845507
            445     0.10565565     0.01924597     0.10565565     0.01924597     0.10565565     0.01924597
            450     0.16036624    0.052092888     0.16036624    0.052092888     0.16036624    0.052092888
            455    0.083338169    0.011475835    0.083338169    0.011475835    0.083338169    0.011475835
            460     0.17469907    0.042640753     0.17469907    0.042640753     0.17469907    0.042640753
