#      m_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             60      48.964309     0.92021557      48.964309     0.92021557      48.964309     0.92021557
             61      56.677024      1.0666421      56.677024      1.0666421      56.677024      1.0666421
             62      60.109752     0.92929534      60.109752     0.92929534      60.109752     0.92929534
             63      68.125811      1.1191956      68.125811      1.1191956      68.125811      1.1191956
             64      76.445051      1.1666604      76.445051      1.1666604      76.445051      1.1666604
             65      85.618394       1.264827      85.618394       1.264827      85.618394       1.264827
             66       101.5094      1.4519834       101.5094      1.4519834       101.5094      1.4519834
             67       116.7144      1.5093365       116.7144      1.5093365       116.7144      1.5093365
             68      138.48746      1.7331628      138.48746      1.7331628      138.48746      1.7331628
             69      164.53154      1.7862043      164.53154      1.7862043      164.53154      1.7862043
             70      199.57115      2.2125639      199.57115      2.2125639      199.57115      2.2125639
             71      247.33694      2.3165408      247.33694      2.3165408      247.33694      2.3165408
             72      317.39259      2.4980267      317.39259      2.4980267      317.39259      2.4980267
             73      411.61523      3.0332436      411.61523      3.0332436      411.61523      3.0332436
             74      558.86025      3.6354076      558.86025      3.6354076      558.86025      3.6354076
             75      805.02837      4.2876589      805.02837      4.2876589      805.02837      4.2876589
             76      1248.9282      5.8701589      1248.9282      5.8701589      1248.9282      5.8701589
             77      2162.9776       7.095735      2162.9776       7.095735      2162.9776       7.095735
             78      4418.2367      10.187992      4418.2367      10.187992      4418.2367      10.187992
             79      10796.883      15.498345      10796.883      15.498345      10796.883      15.498345
             80      16797.375      19.359212      16797.375      19.359212      16797.375      19.359212
             81      8859.6168      14.651519      8859.6168      14.651519      8859.6168      14.651519
             82      3682.6756      9.3586849      3682.6756      9.3586849      3682.6756      9.3586849
             83      1872.6497      7.0197706      1872.6497      7.0197706      1872.6497      7.0197706
             84      1117.5944      5.4435302      1117.5944      5.4435302      1117.5944      5.4435302
             85      733.61419      4.4455853      733.61419      4.4455853      733.61419      4.4455853
             86      519.52182      3.7603446      519.52182      3.7603446      519.52182      3.7603446
             87      384.91578      3.0456779      384.91578      3.0456779      384.91578      3.0456779
             88      291.51796      2.5256478      291.51796      2.5256478      291.51796      2.5256478
             89      232.96045      2.4111991      232.96045      2.4111991      232.96045      2.4111991
             90      183.25581      1.8003754      183.25581      1.8003754      183.25581      1.8003754
             91       155.2324      1.9869004       155.2324      1.9869004       155.2324      1.9869004
             92      135.10077      2.2435151      135.10077      2.2435151      135.10077      2.2435151
             93      113.30362      1.8646367      113.30362      1.8646367      113.30362      1.8646367
             94      96.877318      1.4448191      96.877318      1.4448191      96.877318      1.4448191
             95      82.901429      1.2845606      82.901429      1.2845606      82.901429      1.2845606
             96      73.633851      1.4341359      73.633851      1.4341359      73.633851      1.4341359
             97      65.468978       1.448858      65.468978       1.448858      65.468978       1.448858
             98      59.383016      1.2698557      59.383016      1.2698557      59.383016      1.2698557
             99      50.425924      1.2055443      50.425924      1.2055443      50.425924      1.2055443
            100      47.201528      1.1355953      47.201528      1.1355953      47.201528      1.1355953
            101      40.303491      1.0733789      40.303491      1.0733789      40.303491      1.0733789
            102      39.382966      1.2146501      39.382966      1.2146501      39.382966      1.2146501
            103      34.918557      0.9108468      34.918557      0.9108468      34.918557      0.9108468
            104      31.965075     0.74049707      31.965075     0.74049707      31.965075     0.74049707
            105       29.32843     0.77801722       29.32843     0.77801722       29.32843     0.77801722
            106      25.524122     0.73887654      25.524122     0.73887654      25.524122     0.73887654
            107      26.364948     0.75135749      26.364948     0.75135749      26.364948     0.75135749
            108      23.767675     0.62615537      23.767675     0.62615537      23.767675     0.62615537
            109      21.576475     0.62722282      21.576475     0.62722282      21.576475     0.62722282
            110      19.125598     0.46250731      19.125598     0.46250731      19.125598     0.46250731
            111      20.118322      1.0052437      20.118322      1.0052437      20.118322      1.0052437
            112      16.880944     0.53510915      16.880944     0.53510915      16.880944     0.53510915
            113      18.407264     0.95239304      18.407264     0.95239304      18.407264     0.95239304
            114      15.648871     0.56995809      15.648871     0.56995809      15.648871     0.56995809
            115      14.725768     0.47951202      14.725768     0.47951202      14.725768     0.47951202
            116      13.247931     0.75872549      13.247931     0.75872549      13.247931     0.75872549
            117      13.594105      0.5792415      13.594105      0.5792415      13.594105      0.5792415
            118      13.870415     0.74272964      13.870415     0.74272964      13.870415     0.74272964
            119        12.0095     0.63110284        12.0095     0.63110284        12.0095     0.63110284
            120        12.0095     0.63110284        12.0095     0.63110284        12.0095     0.63110284
