# pt_bbZ-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
              0    0.059974034    0.014603284    0.059974034    0.014603284    0.059974034    0.014603284
              5     0.22758358     0.04155372     0.22758358     0.04155372     0.22758358     0.04155372
             10     0.38665571    0.031077378     0.38665571    0.031077378     0.38665571    0.031077378
             15     0.48555254    0.032576945     0.48555254    0.032576945     0.48555254    0.032576945
             20     0.66332721    0.037824613     0.66332721    0.037824613     0.66332721    0.037824613
             25     0.82120904    0.036033553     0.82120904    0.036033553     0.82120904    0.036033553
             30      1.0484313    0.056934331      1.0484313    0.056934331      1.0484313    0.056934331
             35      1.2385699    0.070620647      1.2385699    0.070620647      1.2385699    0.070620647
             40      1.2082183     0.05038161      1.2082183     0.05038161      1.2082183     0.05038161
             45      1.4490387    0.064064027      1.4490387    0.064064027      1.4490387    0.064064027
             50       1.662805    0.086939813       1.662805    0.086939813       1.662805    0.086939813
             55      1.6184653    0.072578502      1.6184653    0.072578502      1.6184653    0.072578502
             60      1.8781829    0.078141864      1.8781829    0.078141864      1.8781829    0.078141864
             65      1.9937105    0.081942703      1.9937105    0.081942703      1.9937105    0.081942703
             70      2.0717432    0.084236652      2.0717432    0.084236652      2.0717432    0.084236652
             75      2.2685362      0.1064277      2.2685362      0.1064277      2.2685362      0.1064277
             80      2.4066094     0.12205056      2.4066094     0.12205056      2.4066094     0.12205056
             85      2.2638766     0.11030923      2.2638766     0.11030923      2.2638766     0.11030923
             90      2.4182669     0.11481368      2.4182669     0.11481368      2.4182669     0.11481368
             95      2.3099933    0.078697885      2.3099933    0.078697885      2.3099933    0.078697885
            100      2.2836578     0.10269569      2.2836578     0.10269569      2.2836578     0.10269569
            105      2.4270682    0.090271308      2.4270682    0.090271308      2.4270682    0.090271308
            110      2.5415418     0.13612582      2.5415418     0.13612582      2.5415418     0.13612582
            115       2.938297     0.15074651       2.938297     0.15074651       2.938297     0.15074651
            120      2.8284726     0.14181735      2.8284726     0.14181735      2.8284726     0.14181735
            125      2.7145574     0.10674193      2.7145574     0.10674193      2.7145574     0.10674193
            130      2.9506237     0.17612715      2.9506237     0.17612715      2.9506237     0.17612715
            135      2.8048645     0.16098401      2.8048645     0.16098401      2.8048645     0.16098401
            140      2.7607938     0.14510781      2.7607938     0.14510781      2.7607938     0.14510781
            145       2.884264     0.18994614       2.884264     0.18994614       2.884264     0.18994614
            150      2.8680087     0.12468819      2.8680087     0.12468819      2.8680087     0.12468819
            155      3.2645568     0.21388041      3.2645568     0.21388041      3.2645568     0.21388041
            160      3.4984573     0.19304043      3.4984573     0.19304043      3.4984573     0.19304043
            165      3.3821735     0.22984526      3.3821735     0.22984526      3.3821735     0.22984526
            170      3.2742159     0.18874763      3.2742159     0.18874763      3.2742159     0.18874763
            175      3.6868747     0.24178263      3.6868747     0.24178263      3.6868747     0.24178263
            180      3.4802778     0.19927702      3.4802778     0.19927702      3.4802778     0.19927702
            185      3.5835006     0.16116776      3.5835006     0.16116776      3.5835006     0.16116776
            190      4.1086199     0.22638059      4.1086199     0.22638059      4.1086199     0.22638059
            195       3.932398      0.2328817       3.932398      0.2328817       3.932398      0.2328817
            200      4.7005855      0.2549462      4.7005855      0.2549462      4.7005855      0.2549462
            205      4.7451123     0.17546625      4.7451123     0.17546625      4.7451123     0.17546625
            210      5.0623081     0.23113034      5.0623081     0.23113034      5.0623081     0.23113034
            215      5.0845603     0.27742049      5.0845603     0.27742049      5.0845603     0.27742049
            220      4.7062734     0.19250592      4.7062734     0.19250592      4.7062734     0.19250592
            225      4.6035997     0.19986318      4.6035997     0.19986318      4.6035997     0.19986318
            230      4.7785754     0.33770069      4.7785754     0.33770069      4.7785754     0.33770069
            235       4.307481     0.28302999       4.307481     0.28302999       4.307481     0.28302999
            240      4.0462059     0.21253894      4.0462059     0.21253894      4.0462059     0.21253894
            245      3.9437466     0.20830525      3.9437466     0.20830525      3.9437466     0.20830525
            250      3.5897524     0.18262959      3.5897524     0.18262959      3.5897524     0.18262959
            255      4.1234774     0.28590486      4.1234774     0.28590486      4.1234774     0.28590486
            260      3.2402205     0.18144054      3.2402205     0.18144054      3.2402205     0.18144054
            265      2.8313394     0.14045816      2.8313394     0.14045816      2.8313394     0.14045816
            270      2.5512951     0.11108077      2.5512951     0.11108077      2.5512951     0.11108077
            275      2.5129332     0.11467494      2.5129332     0.11467494      2.5129332     0.11467494
            280       2.670213     0.19902917       2.670213     0.19902917       2.670213     0.19902917
            285      2.4826607     0.23602463      2.4826607     0.23602463      2.4826607     0.23602463
            290      2.0679386     0.12989158      2.0679386     0.12989158      2.0679386     0.12989158
            295      1.9341909     0.10180451      1.9341909     0.10180451      1.9341909     0.10180451
            300       2.012632     0.12846276       2.012632     0.12846276       2.012632     0.12846276
            305      1.7083053     0.11033321      1.7083053     0.11033321      1.7083053     0.11033321
            310       1.510412    0.082751442       1.510412    0.082751442       1.510412    0.082751442
            315      1.7564476     0.17456573      1.7564476     0.17456573      1.7564476     0.17456573
            320       1.770077     0.17786384       1.770077     0.17786384       1.770077     0.17786384
            325      1.6276805     0.22378983      1.6276805     0.22378983      1.6276805     0.22378983
            330      1.6928741     0.18040809      1.6928741     0.18040809      1.6928741     0.18040809
            335      1.3463622     0.10641135      1.3463622     0.10641135      1.3463622     0.10641135
            340      1.1962585     0.12584715      1.1962585     0.12584715      1.1962585     0.12584715
            345      1.1394965    0.081194033      1.1394965    0.081194033      1.1394965    0.081194033
            350      1.2627655     0.20982259      1.2627655     0.20982259      1.2627655     0.20982259
            355      1.0854953     0.12237104      1.0854953     0.12237104      1.0854953     0.12237104
            360      1.0911594     0.15418612      1.0911594     0.15418612      1.0911594     0.15418612
            365     0.88677124     0.13760106     0.88677124     0.13760106     0.88677124     0.13760106
            370     0.70590775    0.068100708     0.70590775    0.068100708     0.70590775    0.068100708
            375     0.89475977      0.1238767     0.89475977      0.1238767     0.89475977      0.1238767
            380     0.72785145    0.098642358     0.72785145    0.098642358     0.72785145    0.098642358
            385     0.70564915      0.1071746     0.70564915      0.1071746     0.70564915      0.1071746
            390     0.87526451     0.13777713     0.87526451     0.13777713     0.87526451     0.13777713
            395      0.7765011     0.16673826      0.7765011     0.16673826      0.7765011     0.16673826
            400     0.73430945     0.11858381     0.73430945     0.11858381     0.73430945     0.11858381
            405     0.56655097    0.060888248     0.56655097    0.060888248     0.56655097    0.060888248
            410      0.5021083    0.052420333      0.5021083    0.052420333      0.5021083    0.052420333
            415     0.45603823     0.10040689     0.45603823     0.10040689     0.45603823     0.10040689
            420     0.68110097     0.15090129     0.68110097     0.15090129     0.68110097     0.15090129
            425     0.53082287    0.088695053     0.53082287    0.088695053     0.53082287    0.088695053
            430     0.45534035     0.06534201     0.45534035     0.06534201     0.45534035     0.06534201
            435     0.59549655     0.15208734     0.59549655     0.15208734     0.59549655     0.15208734
            440      0.2858639    0.028009194      0.2858639    0.028009194      0.2858639    0.028009194
            445     0.41619377    0.096548543     0.41619377    0.096548543     0.41619377    0.096548543
            450     0.28592358    0.044778598     0.28592358    0.044778598     0.28592358    0.044778598
            455     0.46956404    0.093851367     0.46956404    0.093851367     0.46956404    0.093851367
            460     0.30782077    0.056605858     0.30782077    0.056605858     0.30782077    0.056605858
            465     0.34848148    0.091193879     0.34848148    0.091193879     0.34848148    0.091193879
            470     0.36585997     0.12429753     0.36585997     0.12429753     0.36585997     0.12429753
            475     0.26423634    0.048018921     0.26423634    0.048018921     0.26423634    0.048018921
            480     0.19633797    0.035718465     0.19633797    0.035718465     0.19633797    0.035718465
            485     0.23620823    0.055224702     0.23620823    0.055224702     0.23620823    0.055224702
            490     0.32316403    0.079853171     0.32316403    0.079853171     0.32316403    0.079853171
            495     0.17826909    0.027713001     0.17826909    0.027713001     0.17826909    0.027713001
            500     0.24154357    0.042857887     0.24154357    0.042857887     0.24154357    0.042857887
            505      0.2575522    0.068295816      0.2575522    0.068295816      0.2575522    0.068295816
            510     0.17111116    0.048815442     0.17111116    0.048815442     0.17111116    0.048815442
            515     0.29864898     0.13416691     0.29864898     0.13416691     0.29864898     0.13416691
            520     0.21227622    0.047271665     0.21227622    0.047271665     0.21227622    0.047271665
            525     0.16248256    0.033194428     0.16248256    0.033194428     0.16248256    0.033194428
            530     0.14802709     0.04187394     0.14802709     0.04187394     0.14802709     0.04187394
            535     0.26627711     0.12132814     0.26627711     0.12132814     0.26627711     0.12132814
            540     0.14709325    0.046858651     0.14709325    0.046858651     0.14709325    0.046858651
            545     0.13557185    0.036592214     0.13557185    0.036592214     0.13557185    0.036592214
            550    0.078178444    0.012499068    0.078178444    0.012499068    0.078178444    0.012499068
            555    0.083515688    0.016636662    0.083515688    0.016636662    0.083515688    0.016636662
            560     0.20864764    0.083375643     0.20864764    0.083375643     0.20864764    0.083375643
            565    0.075422499   0.0098837796    0.075422499   0.0098837796    0.075422499   0.0098837796
            570    0.082236988    0.012336997    0.082236988    0.012336997    0.082236988    0.012336997
            575      0.1017879    0.031167838      0.1017879    0.031167838      0.1017879    0.031167838
            580     0.11951791    0.052481459     0.11951791    0.052481459     0.11951791    0.052481459
            585     0.11334325    0.026479433     0.11334325    0.026479433     0.11334325    0.026479433
            590    0.051608425   0.0067934573    0.051608425   0.0067934573    0.051608425   0.0067934573
            595    0.065568897    0.023265678    0.065568897    0.023265678    0.065568897    0.023265678
            600    0.070357028    0.013566238    0.070357028    0.013566238    0.070357028    0.013566238
            605    0.039949823    0.007839616    0.039949823    0.007839616    0.039949823    0.007839616
            610    0.041514941   0.0066291544    0.041514941   0.0066291544    0.041514941   0.0066291544
