#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      21.889862     0.13463587      21.889862     0.13463587      21.889862     0.13463587
             20      49.806966     0.30707226      49.806966     0.30707226      49.806966     0.30707226
             30      54.991996     0.30679636      54.991996     0.30679636      54.991996     0.30679636
             40      47.112646     0.29437268      47.112646     0.29437268      47.112646     0.29437268
             50      37.920935     0.23690787      37.920935     0.23690787      37.920935     0.23690787
             65      29.272786     0.21072972      29.272786     0.21072972      29.272786     0.21072972
             80      22.046199     0.20439763      22.046199     0.20439763      22.046199     0.20439763
             95      16.221176     0.15580205      16.221176     0.15580205      16.221176     0.15580205
            110      11.758876     0.13216015      11.758876     0.13216015      11.758876     0.13216015
            130      7.1401272    0.075002964      7.1401272    0.075002964      7.1401272    0.075002964
            165      3.8202933    0.047775229      3.8202933    0.047775229      3.8202933    0.047775229
            200      2.1580597    0.032803253      2.1580597    0.032803253      2.1580597    0.032803253
            240      1.1144729    0.025557221      1.1144729    0.025557221      1.1144729    0.025557221
            300     0.20736203   0.0053764732     0.20736203   0.0053764732     0.20736203   0.0053764732
            600     0.20736203   0.0053764732     0.20736203   0.0053764732     0.20736203   0.0053764732
