#  m_bbZ-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
            115      2.2696313     0.13789542      2.2696313     0.13789542      2.2696313     0.13789542
            116      2.4446363     0.19976912      2.4446363     0.19976912      2.4446363     0.19976912
            117       2.633906     0.18583736       2.633906     0.18583736       2.633906     0.18583736
            118      2.5885987     0.26423304      2.5885987     0.26423304      2.5885987     0.26423304
            119       2.479817     0.12912521       2.479817     0.12912521       2.479817     0.12912521
            120      2.3883471     0.11521696      2.3883471     0.11521696      2.3883471     0.11521696
            121      2.6928874     0.15942182      2.6928874     0.15942182      2.6928874     0.15942182
            122      2.6164838     0.18212884      2.6164838     0.18212884      2.6164838     0.18212884
            123      2.4125765     0.13443055      2.4125765     0.13443055      2.4125765     0.13443055
            124      2.5499875     0.26868456      2.5499875     0.26868456      2.5499875     0.26868456
            125      2.8686542     0.33332461      2.8686542     0.33332461      2.8686542     0.33332461
            126      2.4472068     0.13615791      2.4472068     0.13615791      2.4472068     0.13615791
            127      2.9526505     0.27012388      2.9526505     0.27012388      2.9526505     0.27012388
            128      2.7399465     0.18256967      2.7399465     0.18256967      2.7399465     0.18256967
            129      2.8994125     0.15811193      2.8994125     0.15811193      2.8994125     0.15811193
            130      2.8521577     0.20599599      2.8521577     0.20599599      2.8521577     0.20599599
            131      2.7531003      0.1442542      2.7531003      0.1442542      2.7531003      0.1442542
            132      2.8149117     0.14431141      2.8149117     0.14431141      2.8149117     0.14431141
            133      2.7770532     0.15200303      2.7770532     0.15200303      2.7770532     0.15200303
            134      2.7989808     0.25022322      2.7989808     0.25022322      2.7989808     0.25022322
            135      2.9038491     0.25873349      2.9038491     0.25873349      2.9038491     0.25873349
            136      2.7085619     0.14102241      2.7085619     0.14102241      2.7085619     0.14102241
            137      3.1586516     0.31049426      3.1586516     0.31049426      3.1586516     0.31049426
            138      2.5553982     0.13528967      2.5553982     0.13528967      2.5553982     0.13528967
            139      2.7473947     0.14794535      2.7473947     0.14794535      2.7473947     0.14794535
            140      2.7745386     0.18485397      2.7745386     0.18485397      2.7745386     0.18485397
            141      2.6350859      0.1652396      2.6350859      0.1652396      2.6350859      0.1652396
            142      2.9452756      0.1923399      2.9452756      0.1923399      2.9452756      0.1923399
            143      2.8475244     0.29760222      2.8475244     0.29760222      2.8475244     0.29760222
            144      2.7131395      0.1529667      2.7131395      0.1529667      2.7131395      0.1529667
            145      2.8349055     0.21571963      2.8349055     0.21571963      2.8349055     0.21571963
            146      2.8018199      0.1484889      2.8018199      0.1484889      2.8018199      0.1484889
            147       3.231738     0.41081248       3.231738     0.41081248       3.231738     0.41081248
            148      3.1930627      0.4311294      3.1930627      0.4311294      3.1930627      0.4311294
            149      3.1148517     0.19415792      3.1148517     0.19415792      3.1148517     0.19415792
            150      3.2104199      0.4968178      3.2104199      0.4968178      3.2104199      0.4968178
            151      3.6795689     0.50056134      3.6795689     0.50056134      3.6795689     0.50056134
            152      3.0425289     0.18286621      3.0425289     0.18286621      3.0425289     0.18286621
            153      2.8027312     0.14476914      2.8027312     0.14476914      2.8027312     0.14476914
            154      3.0057216      0.1698275      3.0057216      0.1698275      3.0057216      0.1698275
            155       3.052686     0.22697025       3.052686     0.22697025       3.052686     0.22697025
            156      2.4663115     0.13666111      2.4663115     0.13666111      2.4663115     0.13666111
            157      2.8126102     0.15125428      2.8126102     0.15125428      2.8126102     0.15125428
            158      3.3853927      0.5953443      3.3853927      0.5953443      3.3853927      0.5953443
            159      2.9544983     0.17799094      2.9544983     0.17799094      2.9544983     0.17799094
            160      2.9927985     0.15411844      2.9927985     0.15411844      2.9927985     0.15411844
            161      2.5000272     0.12980156      2.5000272     0.12980156      2.5000272     0.12980156
            162      2.9226208      0.1967352      2.9226208      0.1967352      2.9226208      0.1967352
            163      2.8775867     0.18211275      2.8775867     0.18211275      2.8775867     0.18211275
            164      3.1282506      0.3434151      3.1282506      0.3434151      3.1282506      0.3434151
            165      2.8017077     0.21679721      2.8017077     0.21679721      2.8017077     0.21679721
            166      2.9665545     0.23047857      2.9665545     0.23047857      2.9665545     0.23047857
            167      2.6864408     0.12611254      2.6864408     0.12611254      2.6864408     0.12611254
            168      3.4546346     0.53276126      3.4546346     0.53276126      3.4546346     0.53276126
            169      2.8149834      0.2572511      2.8149834      0.2572511      2.8149834      0.2572511
            170      2.8242852     0.22071094      2.8242852     0.22071094      2.8242852     0.22071094
            171      2.9312902     0.16178548      2.9312902     0.16178548      2.9312902     0.16178548
            172      2.6785136     0.18865798      2.6785136     0.18865798      2.6785136     0.18865798
            173      2.8278922     0.19415419      2.8278922     0.19415419      2.8278922     0.19415419
            174      2.8831441     0.34037264      2.8831441     0.34037264      2.8831441     0.34037264
            175      2.9642174     0.21904158      2.9642174     0.21904158      2.9642174     0.21904158
            176      2.8827111     0.21298529      2.8827111     0.21298529      2.8827111     0.21298529
            177       2.664451     0.21450648       2.664451     0.21450648       2.664451     0.21450648
            178      2.8941676     0.26879199      2.8941676     0.26879199      2.8941676     0.26879199
            179      2.9109123     0.19388075      2.9109123     0.19388075      2.9109123     0.19388075
            180      2.7740082     0.30702588      2.7740082     0.30702588      2.7740082     0.30702588
            181       2.694777      0.1674213       2.694777      0.1674213       2.694777      0.1674213
            182      2.5586902      0.2022688      2.5586902      0.2022688      2.5586902      0.2022688
            183      2.9766491     0.24079388      2.9766491     0.24079388      2.9766491     0.24079388
            184      2.9958193     0.30057841      2.9958193     0.30057841      2.9958193     0.30057841
            185      2.7053535     0.19398169      2.7053535     0.19398169      2.7053535     0.19398169
