#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       666.6855      3.8544778       666.6855      3.8544778       666.6855      3.8544778
              1      1859.6062       6.956388      1859.6062       6.956388      1859.6062       6.956388
              2      2710.7094      7.9535319      2710.7094      7.9535319      2710.7094      7.9535319
              3      3189.5079      8.4254394      3189.5079      8.4254394      3189.5079      8.4254394
              4      3400.6575       8.375045      3400.6575       8.375045      3400.6575       8.375045
              5       3392.768      8.7075926       3392.768      8.7075926       3392.768      8.7075926
              6      3267.5437      8.5738872      3267.5437      8.5738872      3267.5437      8.5738872
              7      3065.0428      8.2346763      3065.0428      8.2346763      3065.0428      8.2346763
              8      2824.0656      7.6746446      2824.0656      7.6746446      2824.0656      7.6746446
              9      2616.4601      7.7429171      2616.4601      7.7429171      2616.4601      7.7429171
             10      2392.5123      7.3675386      2392.5123      7.3675386      2392.5123      7.3675386
             11      2171.0835      6.7548258      2171.0835      6.7548258      2171.0835      6.7548258
             12      1984.2057      6.9793621      1984.2057      6.9793621      1984.2057      6.9793621
             13      1804.2015      6.5077187      1804.2015      6.5077187      1804.2015      6.5077187
             14      1648.6199      6.1876674      1648.6199      6.1876674      1648.6199      6.1876674
             15      1504.0007      6.0904667      1504.0007      6.0904667      1504.0007      6.0904667
             16      1359.7609      5.9708814      1359.7609      5.9708814      1359.7609      5.9708814
             17      1253.6537      5.5158844      1253.6537      5.5158844      1253.6537      5.5158844
             18      1139.1567      5.0361011      1139.1567      5.0361011      1139.1567      5.0361011
             19       1064.637      5.4324024       1064.637      5.4324024       1064.637      5.4324024
             20      963.65974      4.7063323      963.65974      4.7063323      963.65974      4.7063323
             21      886.11629      4.7276621      886.11629      4.7276621      886.11629      4.7276621
             22      822.39791      4.8232068      822.39791      4.8232068      822.39791      4.8232068
             23      760.49685      4.4530491      760.49685      4.4530491      760.49685      4.4530491
             24       700.9094      4.2175903       700.9094      4.2175903       700.9094      4.2175903
             25      638.07949      3.7342891      638.07949      3.7342891      638.07949      3.7342891
             26      598.30259      3.9438538      598.30259      3.9438538      598.30259      3.9438538
             27        547.022      3.4008785        547.022      3.4008785        547.022      3.4008785
             28      518.44011       3.584121      518.44011       3.584121      518.44011       3.584121
             29      481.53779      3.5281894      481.53779      3.5281894      481.53779      3.5281894
             30       445.6277      3.3869598       445.6277      3.3869598       445.6277      3.3869598
             31      414.49809      3.2400665      414.49809      3.2400665      414.49809      3.2400665
             32      390.78791      3.3196362      390.78791      3.3196362      390.78791      3.3196362
             33       364.6365      3.2760871       364.6365      3.2760871       364.6365      3.2760871
             34      342.46625      3.1509976      342.46625      3.1509976      342.46625      3.1509976
             35      322.68334      3.2118884      322.68334      3.2118884      322.68334      3.2118884
             36      297.54308      2.6603941      297.54308      2.6603941      297.54308      2.6603941
             37      281.29524      2.6354226      281.29524      2.6354226      281.29524      2.6354226
             38      263.99106      2.6847979      263.99106      2.6847979      263.99106      2.6847979
             39      249.00122      2.5103625      249.00122      2.5103625      249.00122      2.5103625
             40      234.62233      2.5463927      234.62233      2.5463927      234.62233      2.5463927
             41      223.58603      2.6867715      223.58603      2.6867715      223.58603      2.6867715
             42      210.06878      2.1990136      210.06878      2.1990136      210.06878      2.1990136
             43      200.15811      2.3452933      200.15811      2.3452933      200.15811      2.3452933
             44       183.8787      1.9736151       183.8787      1.9736151       183.8787      1.9736151
             45      179.88187      2.3355318      179.88187      2.3355318      179.88187      2.3355318
             46       165.8355      1.9724693       165.8355      1.9724693       165.8355      1.9724693
             47      158.31711       1.978228      158.31711       1.978228      158.31711       1.978228
             48      150.07652      2.0005498      150.07652      2.0005498      150.07652      2.0005498
             49      145.09204      2.1196293      145.09204      2.1196293      145.09204      2.1196293
             50      145.09204      2.1196293      145.09204      2.1196293      145.09204      2.1196293
