#pt_bbZ-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1163.6375      2.3290726      1163.6375      2.3290726      1163.6375      2.3290726
              5      1625.5456      2.8593725      1625.5456      2.8593725      1625.5456      2.8593725
             10      1312.7813      2.4661881      1312.7813      2.4661881      1312.7813      2.4661881
             15        1055.01      2.0950202        1055.01      2.0950202        1055.01      2.0950202
             20      863.36869      1.8541335      863.36869      1.8541335      863.36869      1.8541335
             25      717.87483      1.7033839      717.87483      1.7033839      717.87483      1.7033839
             30      607.88947      1.5723771      607.88947      1.5723771      607.88947      1.5723771
             35      514.67465      1.3747482      514.67465      1.3747482      514.67465      1.3747482
             40       442.6443       1.336008       442.6443       1.336008       442.6443       1.336008
             45      380.61996      1.2096865      380.61996      1.2096865      380.61996      1.2096865
             50      331.39656      1.1341725      331.39656      1.1341725      331.39656      1.1341725
             55       287.8867       1.065781       287.8867       1.065781       287.8867       1.065781
             60      250.40426      1.0356567      250.40426      1.0356567      250.40426      1.0356567
             65      221.03432      1.0222063      221.03432      1.0222063      221.03432      1.0222063
             70      192.42894     0.95155123      192.42894     0.95155123      192.42894     0.95155123
             75      170.32288     0.93366782      170.32288     0.93366782      170.32288     0.93366782
             80      150.72443     0.89052501      150.72443     0.89052501      150.72443     0.89052501
             85      131.25297     0.82083165      131.25297     0.82083165      131.25297     0.82083165
             90      117.70597     0.86804108      117.70597     0.86804108      117.70597     0.86804108
             95      102.83485     0.83594933      102.83485     0.83594933      102.83485     0.83594933
            100      88.267282     0.74002582      88.267282     0.74002582      88.267282     0.74002582
            105      78.341563     0.71672523      78.341563     0.71672523      78.341563     0.71672523
            110      70.025154     0.74685851      70.025154     0.74685851      70.025154     0.74685851
            115      60.356379     0.62131513      60.356379     0.62131513      60.356379     0.62131513
            120      52.756818     0.55812398      52.756818     0.55812398      52.756818     0.55812398
            125      48.223709     0.58063723      48.223709     0.58063723      48.223709     0.58063723
            130      43.499546     0.61009723      43.499546     0.61009723      43.499546     0.61009723
            135      37.761845      0.5890934      37.761845      0.5890934      37.761845      0.5890934
            140      33.113754     0.50834097      33.113754     0.50834097      33.113754     0.50834097
            145      29.560248     0.47770192      29.560248     0.47770192      29.560248     0.47770192
            150      26.218669     0.51682655      26.218669     0.51682655      26.218669     0.51682655
            155      23.465798     0.45637816      23.465798     0.45637816      23.465798     0.45637816
            160      21.742444     0.47455376      21.742444     0.47455376      21.742444     0.47455376
            165      19.186183     0.44043938      19.186183     0.44043938      19.186183     0.44043938
            170      16.746648     0.39689633      16.746648     0.39689633      16.746648     0.39689633
            175      15.739297     0.40111279      15.739297     0.40111279      15.739297     0.40111279
            180       13.63258      0.4044932       13.63258      0.4044932       13.63258      0.4044932
            185      12.147912      0.3055145      12.147912      0.3055145      12.147912      0.3055145
            190      11.126864     0.33134619      11.126864     0.33134619      11.126864     0.33134619
            195       10.24413       0.381719       10.24413       0.381719       10.24413       0.381719
            200      9.2596866      0.3109141      9.2596866      0.3109141      9.2596866      0.3109141
            205      8.1009843     0.27282289      8.1009843     0.27282289      8.1009843     0.27282289
            210      7.6419865     0.26922898      7.6419865     0.26922898      7.6419865     0.26922898
            215      7.2866688     0.31609733      7.2866688     0.31609733      7.2866688     0.31609733
            220       6.331746     0.24512334       6.331746     0.24512334       6.331746     0.24512334
            225       5.948768        0.27613       5.948768        0.27613       5.948768        0.27613
            230      5.5659097     0.34785259      5.5659097     0.34785259      5.5659097     0.34785259
            235       4.980813     0.29575507       4.980813     0.29575507       4.980813     0.29575507
            240      4.2928844      0.2068584      4.2928844      0.2068584      4.2928844      0.2068584
            245       4.163875     0.20859596       4.163875     0.20859596       4.163875     0.20859596
            250      3.5183277     0.14640361      3.5183277     0.14640361      3.5183277     0.14640361
            255       3.727229     0.21922183       3.727229     0.21922183       3.727229     0.21922183
            260      3.0397559     0.18518032      3.0397559     0.18518032      3.0397559     0.18518032
            265      2.7528702     0.14052193      2.7528702     0.14052193      2.7528702     0.14052193
            270       2.316282     0.10380254       2.316282     0.10380254       2.316282     0.10380254
            275      2.3347713     0.12186155      2.3347713     0.12186155      2.3347713     0.12186155
            280      2.2922636      0.1846234      2.2922636      0.1846234      2.2922636      0.1846234
            285      2.2555038     0.20421542      2.2555038     0.20421542      2.2555038     0.20421542
            290      1.7932814     0.12320062      1.7932814     0.12320062      1.7932814     0.12320062
            295      1.6116618    0.095381189      1.6116618    0.095381189      1.6116618    0.095381189
            300      1.7076632     0.12481006      1.7076632     0.12481006      1.7076632     0.12481006
            305      1.3612496    0.087845264      1.3612496    0.087845264      1.3612496    0.087845264
            310      1.1612142    0.065335286      1.1612142    0.065335286      1.1612142    0.065335286
            315      1.2849312     0.10540147      1.2849312     0.10540147      1.2849312     0.10540147
            320      1.2304512    0.090803723      1.2304512    0.090803723      1.2304512    0.090803723
            325       1.293432     0.21008316       1.293432     0.21008316       1.293432     0.21008316
            330       1.213879     0.14873425       1.213879     0.14873425       1.213879     0.14873425
            335      0.9539134    0.081064628      0.9539134    0.081064628      0.9539134    0.081064628
            340     0.90205503     0.11767914     0.90205503     0.11767914     0.90205503     0.11767914
            345     0.77043817    0.059455402     0.77043817    0.059455402     0.77043817    0.059455402
            350     0.93982652     0.20475479     0.93982652     0.20475479     0.93982652     0.20475479
            355     0.74025598    0.084896274     0.74025598    0.084896274     0.74025598    0.084896274
            360     0.56672901    0.064105972     0.56672901    0.064105972     0.56672901    0.064105972
            365     0.60647104     0.12771804     0.60647104     0.12771804     0.60647104     0.12771804
