#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      93.144655      1.6895228      93.144655      1.6895228      93.144655      1.6895228
              1      287.42736      3.1849478      287.42736      3.1849478      287.42736      3.1849478
              2      463.85171      3.7913806      463.85171      3.7913806      463.85171      3.7913806
              3       622.8277      4.6491925       622.8277      4.6491925       622.8277      4.6491925
              4      768.49898      4.8546542      768.49898      4.8546542      768.49898      4.8546542
              5      898.91464      5.1875956      898.91464      5.1875956      898.91464      5.1875956
              6      1001.8889        5.28289      1001.8889        5.28289      1001.8889        5.28289
              7       1083.276      5.5752649       1083.276      5.5752649       1083.276      5.5752649
              8      1160.7893      5.7074761      1160.7893      5.7074761      1160.7893      5.7074761
              9      1209.2849      5.7232429      1209.2849      5.7232429      1209.2849      5.7232429
             10      1252.9594       5.727141      1252.9594       5.727141      1252.9594       5.727141
             11      1266.8472      5.4583201      1266.8472      5.4583201      1266.8472      5.4583201
             12      1284.0131       5.627057      1284.0131       5.627057      1284.0131       5.627057
             13       1284.615      5.5742932       1284.615      5.5742932       1284.615      5.5742932
             14      1288.5528      5.6705102      1288.5528      5.6705102      1288.5528      5.6705102
             15      1288.1624      6.0458685      1288.1624      6.0458685      1288.1624      6.0458685
             16      1265.9959      5.5749413      1265.9959      5.5749413      1265.9959      5.5749413
             17      1249.7208      5.6583428      1249.7208      5.6583428      1249.7208      5.6583428
             18      1226.6648      5.5606317      1226.6648      5.5606317      1226.6648      5.5606317
             19      1189.8683      5.0345526      1189.8683      5.0345526      1189.8683      5.0345526
             20      1175.4341      5.4522525      1175.4341      5.4522525      1175.4341      5.4522525
             21       1158.393      5.5048244       1158.393      5.5048244       1158.393      5.5048244
             22      1120.2093      5.1726475      1120.2093      5.1726475      1120.2093      5.1726475
             23      1080.2656      4.7103825      1080.2656      4.7103825      1080.2656      4.7103825
             24      1058.9037      5.0111011      1058.9037      5.0111011      1058.9037      5.0111011
             25      1019.9455      4.4608388      1019.9455      4.4608388      1019.9455      4.4608388
             26      1004.7144      4.8400007      1004.7144      4.8400007      1004.7144      4.8400007
             27       970.0328      4.7872712       970.0328      4.7872712       970.0328      4.7872712
             28      940.35052      4.5223474      940.35052      4.5223474      940.35052      4.5223474
             29      915.32526      4.4812204      915.32526      4.4812204      915.32526      4.4812204
             30      882.45407      4.4576268      882.45407      4.4576268      882.45407      4.4576268
             31      857.59372      4.3209016      857.59372      4.3209016      857.59372      4.3209016
             32      821.19214      4.0834283      821.19214      4.0834283      821.19214      4.0834283
             33       798.8481      4.1024751       798.8481      4.1024751       798.8481      4.1024751
             34      782.89101      4.3745897      782.89101      4.3745897      782.89101      4.3745897
             35      757.04457       4.219692      757.04457       4.219692      757.04457       4.219692
             36      720.65992      4.1098113      720.65992      4.1098113      720.65992      4.1098113
             37      702.89431      3.8371116      702.89431      3.8371116      702.89431      3.8371116
             38      678.70237      3.8705313      678.70237      3.8705313      678.70237      3.8705313
             39       652.4894      3.6017216       652.4894      3.6017216       652.4894      3.6017216
             40      633.99527      3.7738379      633.99527      3.7738379      633.99527      3.7738379
             41      612.00963      3.6776367      612.00963      3.6776367      612.00963      3.6776367
             42      587.89972       3.630366      587.89972       3.630366      587.89972       3.630366
             43      570.65084      3.5433641      570.65084      3.5433641      570.65084      3.5433641
             44      551.72368      3.1862479      551.72368      3.1862479      551.72368      3.1862479
             45      539.23085      3.4603793      539.23085      3.4603793      539.23085      3.4603793
             46      519.55269      3.2304639      519.55269      3.2304639      519.55269      3.2304639
             47      498.75392       3.298665      498.75392       3.298665      498.75392       3.298665
             48      483.28303      3.0779722      483.28303      3.0779722      483.28303      3.0779722
             49      472.20286      3.0928995      472.20286      3.0928995      472.20286      3.0928995
             50      472.20286      3.0928995      472.20286      3.0928995      472.20286      3.0928995
