#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      34878.484      53.827127      34878.484      53.827127      34878.484      53.827127
     0.31415927      27077.918      45.337883      27077.918      45.337883      27077.918      45.337883
     0.62831853      21698.703      39.723572      21698.703      39.723572      21698.703      39.723572
      0.9424778      18330.442      36.076822      18330.442      36.076822      18330.442      36.076822
      1.2566371      16145.954      33.671028      16145.954      33.671028      16145.954      33.671028
      1.5707963      14878.309      33.330378      14878.309      33.330378      14878.309      33.330378
      1.8849556      14057.661      31.264477      14057.661      31.264477      14057.661      31.264477
      2.1991149      13639.906      30.695928      13639.906      30.695928      13639.906      30.695928
      2.5132741      13525.494      31.718293      13525.494      31.718293      13525.494      31.718293
      2.8274334      13602.648      32.576731      13602.648      32.576731      13602.648      32.576731
      3.1415927      13602.648      32.576731      13602.648      32.576731      13602.648      32.576731
