# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      33.649628      1.2829054      33.649628      1.2829054      33.649628      1.2829054
            0.6      109.51908      2.7142103      109.51908      2.7142103      109.51908      2.7142103
            1.2      193.02168      3.0432459      193.02168      3.0432459      193.02168      3.0432459
            1.8      244.14525      3.2917959      244.14525      3.2917959      244.14525      3.2917959
            2.4      263.11358      4.8637764      263.11358      4.8637764      263.11358      4.8637764
            2.7       259.1545      4.1711601       259.1545      4.1711601       259.1545      4.1711601
              3      154.02865       2.690882      154.02865       2.690882      154.02865       2.690882
            3.3      53.585056       1.159797      53.585056       1.159797      53.585056       1.159797
              4      11.573423     0.40449272      11.573423     0.40449272      11.573423     0.40449272
              5      11.573423     0.40449272      11.573423     0.40449272      11.573423     0.40449272
