#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      4410.7807      4.4427445      4410.7807      4.4427445      4410.7807      4.4427445
             15      2616.7777      3.4079629      2616.7777      3.4079629      2616.7777      3.4079629
             20      1447.3079      2.6443603      1447.3079      2.6443603      1447.3079      2.6443603
             25      873.55862      2.0466532      873.55862      2.0466532      873.55862      2.0466532
             30      561.60225      1.6111851      561.60225      1.6111851      561.60225      1.6111851
             35      387.42372      1.3293613      387.42372      1.3293613      387.42372      1.3293613
             40      278.33947      1.1407805      278.33947      1.1407805      278.33947      1.1407805
             45      203.84795     0.98181466      203.84795     0.98181466      203.84795     0.98181466
             50      156.58397     0.92418839      156.58397     0.92418839      156.58397     0.92418839
             55      121.82679     0.73960675      121.82679     0.73960675      121.82679     0.73960675
             60      96.675863     0.63980116      96.675863     0.63980116      96.675863     0.63980116
             65      78.334351     0.56672242      78.334351     0.56672242      78.334351     0.56672242
             70      64.706208     0.55169989      64.706208     0.55169989      64.706208     0.55169989
             75      52.834235     0.48427406      52.834235     0.48427406      52.834235     0.48427406
             80       44.00016     0.43227649       44.00016     0.43227649       44.00016     0.43227649
             85      37.678468     0.39078235      37.678468     0.39078235      37.678468     0.39078235
             90      32.842196     0.42584827      32.842196     0.42584827      32.842196     0.42584827
             95      27.875438     0.33963992      27.875438     0.33963992      27.875438     0.33963992
            100      27.875438     0.33963992      27.875438     0.33963992      27.875438     0.33963992
