#  n_b_jets-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      12865.152      14.481413      12865.152      14.481413      12865.152      14.481413
            0.5      3777.2337      8.9153053      3777.2337      8.9153053      3777.2337      8.9153053
            1.5      601.65914      3.9539267      601.65914      3.9539267      601.65914      3.9539267
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
