#         pt_b1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      667.40689      1.8468383      667.40689      1.8468383      667.40689      1.8468383
              5      2349.6994      3.1547078      2349.6994      3.1547078      2349.6994      3.1547078
             10      2227.2017      3.0543342      2227.2017      3.0543342      2227.2017      3.0543342
             15      1649.0382      2.7266473      1649.0382      2.7266473      1649.0382      2.7266473
             20      1173.6003      2.3643094      1173.6003      2.3643094      1173.6003      2.3643094
             25      834.92582      1.9813734      834.92582      1.9813734      834.92582      1.9813734
             30      610.71099      1.7492943      610.71099      1.7492943      610.71099      1.7492943
             35      451.14377        1.49958      451.14377        1.49958      451.14377        1.49958
             40      342.64532      1.3279887      342.64532      1.3279887      342.64532      1.3279887
             45      263.75962      1.1258145      263.75962      1.1258145      263.75962      1.1258145
             50      206.75626      1.0855219      206.75626      1.0855219      206.75626      1.0855219
             55      165.33944      1.0128037      165.33944      1.0128037      165.33944      1.0128037
             60        130.428     0.81942646        130.428     0.81942646        130.428     0.81942646
             65      106.46845     0.75128832      106.46845     0.75128832      106.46845     0.75128832
             70      88.003121     0.68816087      88.003121     0.68816087      88.003121     0.68816087
             75      72.249137     0.65570742      72.249137     0.65570742      72.249137     0.65570742
             80      59.968538     0.56430762      59.968538     0.56430762      59.968538     0.56430762
             85       49.63117     0.51301711       49.63117     0.51301711       49.63117     0.51301711
             90      42.482375     0.49391959      42.482375     0.49391959      42.482375     0.49391959
             95      36.125291     0.42312999      36.125291     0.42312999      36.125291     0.42312999
            100      30.948224     0.49846585      30.948224     0.49846585      30.948224     0.49846585
            105       27.38518     0.48440512       27.38518     0.48440512       27.38518     0.48440512
            110      22.964281      0.4038468      22.964281      0.4038468      22.964281      0.4038468
            115      20.257656     0.34309499      20.257656     0.34309499      20.257656     0.34309499
            120      16.907608     0.27615097      16.907608     0.27615097      16.907608     0.27615097
            125      15.425507     0.28684509      15.425507     0.28684509      15.425507     0.28684509
            130      13.078197     0.26784337      13.078197     0.26784337      13.078197     0.26784337
            135      12.533788     0.35914124      12.533788     0.35914124      12.533788     0.35914124
            140      10.646603     0.28233336      10.646603     0.28233336      10.646603     0.28233336
            145      9.1232103     0.20292656      9.1232103     0.20292656      9.1232103     0.20292656
            150      8.0432704     0.20866532      8.0432704     0.20866532      8.0432704     0.20866532
            155      7.7082738     0.28243886      7.7082738     0.28243886      7.7082738     0.28243886
            160       7.012701     0.30971843       7.012701     0.30971843       7.012701     0.30971843
            165         5.8628     0.16085755         5.8628     0.16085755         5.8628     0.16085755
            170      5.5591758     0.23664343      5.5591758     0.23664343      5.5591758     0.23664343
            175      4.9154609     0.23433096      4.9154609     0.23433096      4.9154609     0.23433096
            180      4.4211052     0.16829513      4.4211052     0.16829513      4.4211052     0.16829513
            185      3.9828852     0.14631012      3.9828852     0.14631012      3.9828852     0.14631012
            190      3.8290771     0.18613969      3.8290771     0.18613969      3.8290771     0.18613969
            195      3.3413111     0.17368587      3.3413111     0.17368587      3.3413111     0.17368587
            200      2.8405769     0.12061703      2.8405769     0.12061703      2.8405769     0.12061703
            205      2.7484672     0.15467493      2.7484672     0.15467493      2.7484672     0.15467493
            210      2.3447401     0.11062815      2.3447401     0.11062815      2.3447401     0.11062815
            215      2.3179605     0.20844867      2.3179605     0.20844867      2.3179605     0.20844867
            220      2.1093503      0.1045623      2.1093503      0.1045623      2.1093503      0.1045623
            225      1.8501835    0.093599213      1.8501835    0.093599213      1.8501835    0.093599213
            230      1.7955086     0.11775858      1.7955086     0.11775858      1.7955086     0.11775858
            235      1.7633053     0.16683389      1.7633053     0.16683389      1.7633053     0.16683389
            240      1.5337317     0.11277994      1.5337317     0.11277994      1.5337317     0.11277994
            245      1.2582085    0.074716963      1.2582085    0.074716963      1.2582085    0.074716963
            250      1.2981148      0.1084552      1.2981148      0.1084552      1.2981148      0.1084552
            255      1.2048724     0.10295441      1.2048724     0.10295441      1.2048724     0.10295441
            260      1.1110881    0.091176203      1.1110881    0.091176203      1.1110881    0.091176203
            265      1.0174384    0.080177884      1.0174384    0.080177884      1.0174384    0.080177884
            270      1.1445801     0.13272289      1.1445801     0.13272289      1.1445801     0.13272289
            275      1.0269717     0.14463151      1.0269717     0.14463151      1.0269717     0.14463151
            280     0.80161449    0.098908867     0.80161449    0.098908867     0.80161449    0.098908867
            285     0.65536398    0.044696646     0.65536398    0.044696646     0.65536398    0.044696646
            290     0.50013528    0.028330689     0.50013528    0.028330689     0.50013528    0.028330689
            295     0.65373015    0.078194174     0.65373015    0.078194174     0.65373015    0.078194174
            300     0.64009569    0.068067816     0.64009569    0.068067816     0.64009569    0.068067816
            305     0.54366897    0.054576143     0.54366897    0.054576143     0.54366897    0.054576143
            310     0.50525624    0.073081668     0.50525624    0.073081668     0.50525624    0.073081668
            315     0.46234801    0.047938547     0.46234801    0.047938547     0.46234801    0.047938547
            320     0.36583653    0.028739273     0.36583653    0.028739273     0.36583653    0.028739273
            325     0.37924127    0.033159503     0.37924127    0.033159503     0.37924127    0.033159503
            330     0.52698516    0.085373462     0.52698516    0.085373462     0.52698516    0.085373462
            335     0.60265429     0.16037087     0.60265429     0.16037087     0.60265429     0.16037087
            340     0.30553664    0.026110255     0.30553664    0.026110255     0.30553664    0.026110255
            345     0.23543183    0.027671501     0.23543183    0.027671501     0.23543183    0.027671501
            350     0.32377931    0.059578832     0.32377931    0.059578832     0.32377931    0.059578832
            355     0.20325307     0.02035643     0.20325307     0.02035643     0.20325307     0.02035643
            360     0.28567055    0.040731161     0.28567055    0.040731161     0.28567055    0.040731161
            365     0.29735255    0.065843937     0.29735255    0.065843937     0.29735255    0.065843937
            370     0.24053567    0.030221813     0.24053567    0.030221813     0.24053567    0.030221813
            375     0.20415236    0.040256236     0.20415236    0.040256236     0.20415236    0.040256236
            380     0.32488709    0.074883049     0.32488709    0.074883049     0.32488709    0.074883049
            385     0.17620098    0.029620136     0.17620098    0.029620136     0.17620098    0.029620136
            390     0.20303878    0.048274503     0.20303878    0.048274503     0.20303878    0.048274503
            395     0.32335704    0.089236295     0.32335704    0.089236295     0.32335704    0.089236295
            400     0.17268659    0.028632317     0.17268659    0.028632317     0.17268659    0.028632317
            405     0.17291399    0.048115977     0.17291399    0.048115977     0.17291399    0.048115977
            410     0.12699598     0.02573942     0.12699598     0.02573942     0.12699598     0.02573942
            415    0.096244862    0.010948152    0.096244862    0.010948152    0.096244862    0.010948152
            420     0.19094831     0.08152169     0.19094831     0.08152169     0.19094831     0.08152169
            425     0.10355086    0.022426208     0.10355086    0.022426208     0.10355086    0.022426208
            430     0.13117146    0.029961907     0.13117146    0.029961907     0.13117146    0.029961907
            435     0.15009727     0.08090151     0.15009727     0.08090151     0.15009727     0.08090151
            440    0.091756555    0.013100572    0.091756555    0.013100572    0.091756555    0.013100572
            445     0.10231204    0.022777511     0.10231204    0.022777511     0.10231204    0.022777511
            450    0.061745374    0.009593331    0.061745374    0.009593331    0.061745374    0.009593331
            455    0.070137638    0.009968189    0.070137638    0.009968189    0.070137638    0.009968189
            460     0.10385559    0.026002149     0.10385559    0.026002149     0.10385559    0.026002149
            465    0.091866358    0.025013073    0.091866358    0.025013073    0.091866358    0.025013073
            470    0.061280689    0.016780007    0.061280689    0.016780007    0.061280689    0.016780007
            475     0.16938095     0.11492449     0.16938095     0.11492449     0.16938095     0.11492449
            480    0.056117806    0.015819834    0.056117806    0.015819834    0.056117806    0.015819834
            485    0.052369842   0.0096273688    0.052369842   0.0096273688    0.052369842   0.0096273688
            490    0.079801239    0.025253261    0.079801239    0.025253261    0.079801239    0.025253261
            495    0.049812086    0.011329583    0.049812086    0.011329583    0.049812086    0.011329583
            500    0.049812086    0.011329583    0.049812086    0.011329583    0.049812086    0.011329583
