# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0        414.249      4.6900728        414.249      4.6900728        414.249      4.6900728
     0.31415927      453.93757      4.1371772      453.93757      4.1371772      453.93757      4.1371772
     0.62831853      490.88607      4.8270316      490.88607      4.8270316      490.88607      4.8270316
      0.9424778      536.05237      5.2090054      536.05237      5.2090054      536.05237      5.2090054
      1.2566371      638.59623      7.5831731      638.59623      7.5831731      638.59623      7.5831731
      1.5707963      797.92471      7.4685292      797.92471      7.4685292      797.92471      7.4685292
      1.8849556      1073.6321       11.26305      1073.6321       11.26305      1073.6321       11.26305
      2.1991149      1569.4769      15.205662      1569.4769      15.205662      1569.4769      15.205662
      2.5132741      2301.8172      19.281716      2301.8172      19.281716      2301.8172      19.281716
      2.8274334      3207.5923         25.669      3207.5923         25.669      3207.5923         25.669
      3.1415927      3207.5923         25.669      3207.5923         25.669      3207.5923         25.669
