# m_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
            150      1.4726618   0.0068210532      1.2607804   0.0058542783      1.7418093    0.008122894
            200      2.1505176   0.0082845246      1.8342753   0.0070746175      2.5571094   0.0099299464
            250      1.7504344   0.0078842883      1.4853371   0.0066341363      2.0955316   0.0096277112
            300      1.2829111   0.0063979126      1.0847782   0.0054155067      1.5425951   0.0077414305
            350     0.92125356   0.0054596047     0.77557346   0.0046018876      1.1143191   0.0066595527
            400     0.67877753    0.004781101     0.56652195   0.0039805669     0.82890853   0.0059076181
            450     0.49226945     0.00399556     0.40860045   0.0033222043      0.6047886   0.0049459723
            500     0.31658864   0.0022961337      0.2601265   0.0018915736      0.3933095   0.0028780373
            600     0.31658864   0.0022961337      0.2601265   0.0018915736      0.3933095   0.0028780373
