# pt_bjet1-CMS-        central        num_err    min (scale)        num_err    max (scale)        num_err
# 1bjet
             30      66.664617     0.14603608      55.990127     0.12288395       80.75898     0.17850304
             50      26.892574    0.083806928      22.539351    0.070340298      32.668324     0.10258546
             75      11.116096    0.045760393       9.295967    0.038342548      13.541744    0.056315974
            110      4.4956945    0.026043331      3.7418427    0.021703295      5.5139958    0.032252416
            155      1.6744348    0.015287474      1.3723401    0.012444775       2.088371    0.019357069
            220     0.43230556   0.0046253761     0.34799787   0.0037300382     0.54973756   0.0059337491
            360    0.061971274   0.0013315827    0.048799932   0.0010518147     0.08067153   0.0017520837
            600    0.061971274   0.0013315827    0.048799932   0.0010518147     0.08067153   0.0017520837
