#  n_b_jets-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      8379.7718      6.6544689      7052.2256       5.610365      10122.229      8.1507085
            0.5      2367.0131      3.8454815      1980.3008      3.2224422       2881.243      4.7253767
            1.5      416.77358      1.7438729      352.18169      1.4630606      501.30568      2.1356225
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
