#    pt_ep-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      15.361993     0.33230709      12.930562     0.27779464      18.548569     0.40809728
              1      45.307069     0.54759433       38.07365     0.46029303      54.822735     0.66767325
              2      78.024989     0.71866411      65.600921      0.6047833      94.340577     0.87368908
              3      107.72442     0.84982339       90.61887     0.71457014      130.16444      1.0347509
              4      139.77122     0.96127908      117.51123     0.80923465      169.00354      1.1700542
              5       170.5457        1.06188      143.39668     0.89342178      206.18895      1.2914879
              6      201.65352      1.1553434      169.54645     0.97203093      243.80278      1.4098259
              7      234.27398      1.2449536        197.148      1.0483257      282.93069      1.5151923
              8      267.79675      1.3299342      225.31118      1.1199094      323.49436      1.6191811
              9      297.21919       1.413876      249.89526      1.1889585      359.35495      1.7242369
             10      335.20724      1.5017606      282.01308      1.2698432      404.94816      1.8511437
             11      363.58943      1.5572406      305.96754      1.3095521       439.1287      1.8967978
             12      398.57291      1.6211842      335.30185      1.3644422      481.55373       1.972564
             13      434.46995      1.6986893       365.5005       1.429699      524.92507      2.0673905
             14      470.17151      1.7584502      395.46971      1.4798021      568.17702      2.1430472
             15      503.84117      1.8190564      424.09706      1.5320383       608.3176      2.2114953
             16       541.6219      1.8851939      455.59501      1.5865594      654.47795      2.2933674
             17      577.89776      1.9596902      486.17837      1.6485622      698.19191      2.3839916
             18      610.12736      2.0039348      513.51827      1.7046693      736.71779      2.4851373
             19      649.68257      2.0588219      546.78782      1.7347088      784.52592      2.5060864
             20      683.92447      2.1238124      575.81226      1.7917391      825.47417      2.6018577
             21      724.11796      2.1905544      609.14411       1.841201      874.93959      2.6693794
             22       764.1229      2.2360905      643.22227      1.8843077      922.47233      2.7219739
             23      799.41901      2.2819767      672.56649      1.9216981      965.74224       2.777234
             24      835.48888      2.3371292      703.19534      1.9675504      1008.8094      2.8431367
             25      863.88117      2.3691838      726.75984      1.9939922      1043.6962      2.8821852
             26      902.70234      2.4220339      759.95318       2.040762      1089.6152      2.9455613
             27      935.13454        2.46363      786.81499      2.0739792        1129.58      2.9966895
             28      967.72178      2.5032166      814.17244       2.108268      1169.0372      3.0450325
             29      995.49701      2.5437913       837.7686      2.1423671      1202.1786      3.0976811
             30      1021.7779      2.5737473       859.6746      2.1681587      1234.2673      3.1357435
             31      1047.1195      2.6135006      880.92912      2.1995327      1265.0092      3.1830698
             32      1067.6577      2.6357017      897.57106       2.216978      1290.9769      3.2116492
             33      1080.1067      2.6438348      908.28066      2.2269429      1305.5642      3.2227971
             34      1085.7946      2.6505144      912.62124      2.2369191      1313.2564      3.2464816
             35      1090.1698      2.6551254      916.20395      2.2329465      1318.7191      3.2346874
             36      1076.0773       2.646984      904.21701      2.2400499      1301.9017      3.2712183
             37      1055.0573      2.6130076      886.14246      2.1974185      1277.2339      3.1889979
             38      1024.3676      2.5782584      860.12266      2.1656989      1240.5537      3.1441006
             39      980.68287      2.5221935       823.7148      2.1200924       1187.142      3.0800861
             40      927.90671      2.5064251      778.54895      2.0976296      1124.8067      3.0734705
             41      866.94804      2.3932982      727.34363      2.0088629       1051.028      2.9200271
             42      805.38886      2.2880901      676.06776      1.9573588      975.72414      2.8887564
             43      743.37851      2.2074605      623.30419      1.8517858      901.95113      2.6995307
             44      687.15276      2.1778456      576.17744        1.82008      833.66655      2.6781348
             45      629.22627      2.0245866      527.41113      1.6986949      763.77656      2.4751599
             46      580.70675      1.9481329      486.57763      1.6335651      705.20383       2.382892
             47      528.54338      1.8573145      442.73593      1.5577451      642.10794      2.2741015
             48      488.45796      1.7885738      409.08688      1.4988019      593.55359      2.1874842
             49      450.03528      1.7163631      376.93157      1.4385922       546.8344      2.0984764
             50      413.29496      1.6443156      345.90336      1.3785688      502.66488      2.0123019
             51      382.30845      1.5870399      319.98922      1.3296082      464.95962       1.945277
             52      354.38642      1.5348879      296.46921      1.2843093       431.2661      1.8823342
             53      330.53367      1.4744813      276.42082      1.2339027      402.40207      1.8066907
             54      303.92483      1.4134418      254.19908      1.1831811       369.9673      1.7317408
             55      285.61702      1.3706116       238.6539       1.146388      348.10887      1.6804459
             56      266.60462       1.328038      222.85043      1.1111343      324.79835       1.629018
             57      249.46622      1.2828924      208.47485      1.0733572      304.00903      1.5758739
             58      230.19531      1.2351338      192.20086      1.0328957      280.82533      1.5213632
             59      215.67307       1.202536      180.00635      1.0033261      263.23155      1.4796073
