#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      437.19144      0.8370913      366.21087     0.70095049       530.9604      1.0244716
              1      1224.1508      1.3965219      1025.4379      1.1694844      1486.7045      1.7130763
              2      1800.6398       1.671763      1508.8062      1.4008999        2186.07      2.0474293
              3      2137.2363      1.8140959      1791.5942      1.5256549      2593.4415       2.234752
              4      2270.3888      1.8672361      1903.9352      1.5656521      2753.7666      2.2865163
              5      2264.9802      1.8557757      1900.2835      1.5602698      2745.6436      2.2775788
              6      2183.3042      1.8256855      1832.1536      1.5324703      2645.9818      2.2327079
              7      2049.2464      1.7675454       1720.053      1.4838743      2482.8361      2.1592669
              8      1897.3431      1.7006238      1592.9997      1.4289112       2297.999      2.0774608
              9      1740.2087      1.6369065      1461.3571      1.3751629      2107.2111       1.998575
             10      1592.2426      1.5668184      1337.2829      1.3177728      1927.7408      1.9170014
             11      1448.1791      1.4938705      1216.3363      1.2555249      1753.2681      1.8230903
             12      1319.7177      1.4302473      1108.5919       1.203251      1597.4997      1.7480612
             13      1201.6829      1.3632383      1009.6006      1.1469229      1454.3589      1.6630748
             14      1095.0691      1.3037002      920.16263      1.0971454      1325.0997      1.5911273
             15      997.84578      1.2618981      838.46149      1.0605764      1207.4824      1.5452329
             16      910.14632      1.1934438      764.62619      1.0031301      1101.6468      1.4553534
             17      831.70692      1.1394109       698.7592     0.95849608      1006.6691      1.3904505
             18      762.96838      1.0917592      640.92532     0.91821456       923.6408      1.3320064
             19      699.00765      1.0545135      587.11516     0.88568403      846.35735       1.288006
             20      643.29971      1.0042259      540.21786     0.84471158      779.12005      1.2266933
             21      590.12281     0.96288373      495.60642     0.80993179       714.6446      1.1759475
             22      542.44764     0.92658752      455.53356     0.77855593      656.98165      1.1313271
             23      501.56035     0.89105635      421.18218     0.74897678      607.49597      1.0881509
             24      462.68494     0.85309884      388.38491     0.71709599      560.69722      1.0411678
             25      429.08496     0.82201968      360.13917     0.69063773      520.04919      1.0032368
             26       397.4448     0.79070676      333.71159     0.66566272      481.48744     0.96777412
             27      370.03444     0.76396921      310.56224     0.64474673      448.52619      0.9401171
             28      343.33805     0.73679815      288.06624     0.61874912      416.34085     0.89999409
             29      319.33299     0.71055475      267.94226     0.59688832      387.19525      0.8678791
             30      297.90573       0.686474      249.92529     0.57650533       361.2897     0.83829589
             31      278.35708     0.66346967      233.44936     0.55720397      337.72624     0.81133067
             32      260.05962     0.64885645      218.12873     0.54443999      315.47683     0.79437081
             33       243.4499     0.62083031      204.12487     0.52163508      295.46528     0.76012573
             34      228.25545     0.60119852      191.40777     0.50474605      276.98551     0.73469915
             35      213.85774     0.58126834      179.26138     0.48792498      259.65069     0.71020816
             36      199.87758     0.56394866      167.53093     0.47324029      242.69571     0.68978682
             37      187.82742      0.5465604      157.38749     0.45846155      228.14293     0.66923055
             38       176.2014     0.52895877      147.63186     0.44427507      214.04588     0.64882238
             39      166.99028      0.5172922      139.89266      0.4336355      202.89505     0.63359381
             40      158.73377     0.50248626      132.96126      0.4216714      192.89207     0.61558869
             41      150.01165     0.48824635       125.6142     0.40936438       182.3686     0.59766238
             42       140.6501     0.47440574      117.73888     0.39759524       171.0537     0.58143678
             43       133.1963     0.46382688      111.46156     0.38851941      162.05539     0.56893127
             44      125.84868     0.44725229      105.30558     0.37617789      153.13149      0.5518119
             45      119.64664     0.43618968      100.07021     0.36532417      145.66808     0.53495798
             46      112.54091     0.42361224      94.196354     0.35530838      136.89427     0.52009133
             47      106.97531     0.41257839      89.473365       0.345533      130.23696     0.50557562
             48      101.28815     0.40116969      84.685547     0.33588977      123.36995     0.49139875
             49      96.195135     0.39199107      80.470891     0.32834948      117.09271     0.48161506
             50      96.195135     0.39199107      80.470891     0.32834948      117.09271     0.48161506
