#      n_b_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      933.92494      2.5589304      793.44006      2.1644667      1114.7254      3.0969311
            0.5      6171.8991      5.9228858      5193.5326      5.0083292      7454.7373       7.290045
            1.5      32294.403      6.4312673      27063.001      5.4261877      39209.614      8.1510325
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
