#    total_rate        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       39404.24      1.1378604      33051.548      0.9985645      47787.185         1.8964
              1       39404.24      1.1378604      33051.548      0.9985645      47787.185         1.8964
