# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj20
              0       2660.709      3.6441346      2214.0017      3.0361857      3261.0966      4.4993639
     0.31415927        2863.77      3.7860606      2381.9938      3.1581586      3511.6471       4.691578
     0.62831853      3058.1387      3.8985018      2543.0932      3.2458385      3750.6633      4.8163002
      0.9424778      3312.0378      4.0943328      2752.9488      3.4051558      4063.7991      5.0698935
      1.2566371      3751.4221      4.3156432       3115.039      3.5879972       4607.923      5.3446331
      1.5707963      4417.7529       4.667791       3662.112      3.8742154      5436.8595      5.7880081
      1.8849556      5439.6747      5.1691038      4500.0394      4.2790886      6710.2523      6.4257117
      2.1991149      6905.8567      5.8154798      5703.9761      4.8050588      8533.8723      7.2511222
      2.5132741      8848.1974      6.5157491      7297.0598      5.3768799      10952.938       8.130147
      2.8274334      10800.815      7.2393752      8894.3732      5.9595023       13392.25      9.0623681
      3.1415927      10800.815      7.2393752      8894.3732      5.9595023       13392.25      9.0623681
