#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      13.596242    0.066768142      11.345176    0.055883846      16.602476    0.082362956
             20      31.981279     0.14502922      26.718815     0.12140762      38.993482      0.1783953
             30      37.805273     0.15754827      31.710832     0.13229041      45.866031     0.19240839
             40      32.632092      0.1464676       27.42533     0.12328951      39.496692     0.17896184
             50      25.389217     0.10547937      21.353038     0.08889416      30.707235     0.12863078
             65      18.819841    0.091141865      15.791677    0.076532413        22.8297     0.11138435
             80      13.745849    0.077993549       11.54201    0.065577441      16.661837    0.095606913
             95      10.022861    0.074767517      8.3936828    0.061614148      12.189437    0.093459832
            110       6.960369    0.048561228      5.8202758    0.040582142      8.4800756    0.059728897
            130       4.072603    0.027834941       3.401487    0.023260543      4.9731087    0.034265499
            165      2.1341059    0.020143254      1.7697237    0.016784923       2.627705     0.02509459
            200       1.161651    0.014240875     0.95416827    0.011720246       1.445445    0.017919616
            240     0.56153791   0.0079113413     0.45856576    0.006468003     0.70326436     0.01002574
            300    0.098584387   0.0014873494    0.079524924   0.0012019583     0.12511749   0.0019100188
            600    0.098584387   0.0014873494    0.079524924   0.0012019583     0.12511749   0.0019100188
