#        pt_bbZ        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       1518.387      1.2801129       1294.008      1.0939042      1804.0024      1.5453976
              5       1375.403       1.230107      1166.6623      1.0446623      1644.5062      1.4854858
             10      940.96082      1.0496773      793.65574     0.88932665      1133.3321      1.2832526
             15      696.88185     0.91819503       585.0237     0.77167602       844.3865      1.1208837
             20      542.50143     0.81847062      453.77822     0.68543474      660.29257      1.0036634
             25      432.40178     0.73688874      360.46936     0.61641742      528.48067     0.91068787
             30      351.02039     0.66798384      291.85735     0.55596929      430.40498     0.82510148
             35      289.63776     0.61030501      240.24553     0.50697233      356.18004     0.75668983
             40      240.17549     0.55799534      198.79971     0.46227907      296.11044     0.69294042
             45      201.49187     0.51238361      166.45642     0.42380488       249.0047     0.63754134
             50       169.2984     0.47483173      139.64903     0.39265164      209.59345     0.59514778
             55      143.27421     0.43457596      117.96762     0.35817839      177.76591     0.54281064
             60      122.76546     0.41539285      100.92279     0.34052363      152.60421     0.52148728
             65      103.68841     0.37279567      85.263041     0.30741203      128.84442     0.46958242
             70      89.343208     0.34509056      73.325354     0.28342464      111.27356     0.43233177
             75      76.769979     0.32190504       62.95178     0.26392886       95.71194     0.40418517
             80      66.667681     0.29799062      54.678621     0.24482473      83.093809     0.37421528
             85       57.77995     0.27867861      47.320307     0.22841006      72.139798     0.35060927
             90      50.316363     0.25803319      41.172327     0.21136066      62.885764      0.3243593
             95      43.815168     0.24323191      35.847224     0.19905629      54.768056     0.30613774
            100      38.806062      0.2329244      31.735173     0.19124524      48.529136     0.29203439
            105      33.634651     0.21373637      27.516571     0.17489888      42.043107     0.26922779
            110      29.696628     0.19895407      24.268498     0.16292104       37.16518     0.25083646
            115      26.301846     0.19034631      21.483256     0.15547712      32.938065     0.23984223
            120      23.043935     0.17690836      18.806927     0.14445087      28.883794     0.22307224
            125      20.552851     0.16647611      16.763385     0.13585931      25.779748     0.20998174
            130      18.197291     0.16032828      14.848255      0.1309773       22.81138     0.20414037
            135      16.044044     0.14680873      13.098905     0.11998011       20.09882     0.18486721
            140      14.044313     0.13711408      11.469256     0.11256577      17.587083     0.17351301
            145      12.992832      0.1331001      10.596873      0.1085333      16.296332     0.16803683
            150      11.523083     0.12438445      9.3894268     0.10145925      14.489415     0.15743673
            155      10.614066     0.11858556      8.6672315    0.097309835      13.318962     0.15050098
            160       9.266624     0.11090841      7.5403212    0.090514582      11.673477     0.14066311
            165      8.5540978     0.10639901       6.949244    0.086761936       10.79643     0.13509276
            170      7.5698128     0.10036913      6.1539035    0.081908584      9.5472137     0.12732594
            175      6.9198062    0.096528384      5.6134929    0.078576071       8.747575     0.12280266
            180      6.2923118    0.091409759      5.1089151    0.074522421      7.9487841     0.11618134
            185      5.6008272    0.086481577      4.5360567    0.070310618      7.0940376     0.11021049
            190      5.2299829    0.087113477      4.2246888    0.070414406      6.6426201     0.11148299
            195       4.662856    0.081311758      3.7653355    0.065814753      5.9250588     0.10399607
            200       4.405536    0.081782422      3.5579037    0.066110531      5.5976733     0.10458183
            205      4.0134673    0.072878277      3.2320732     0.05894517      5.1162704    0.093481156
            210      3.6364488    0.073901184      2.9290354    0.059733836      4.6343095    0.094516761
            215      3.2900647    0.067074934      2.6565392    0.054303693       4.180983    0.085862216
            220      3.0173914    0.063764448      2.4254528    0.051421458       3.854075    0.081978262
            225      2.8301307    0.061248805      2.2661144    0.049214177      3.6296318    0.079029787
            230      2.5404038    0.057983512      2.0383641    0.046703738      3.2515578    0.074665039
            235      2.3735202    0.057044788      1.9061879    0.045972974      3.0355592     0.07345884
            240       2.200262     0.05451242      1.7668761    0.043902372      2.8139461    0.070182977
            245      1.9565064    0.053835015      1.5633532    0.043131368      2.5152981    0.069565694
            250      1.8010606     0.04887062      1.4419591    0.039300072      2.3103756    0.063035819
            255      1.6761024    0.047244237      1.3383936    0.037881067      2.1565879    0.061138522
            260      1.5235188    0.045034908      1.2277939    0.036458147       1.941903    0.057797915
            265      1.4672858    0.047051746      1.1700952     0.03735228      1.8910199     0.06153454
            270      1.3424077    0.042378917      1.0757343    0.034074715      1.7211034     0.05471971
            275       1.201315    0.040246825      0.9583539    0.032225462      1.5477434    0.052179472
            280      1.1277847    0.038567758     0.89772403    0.030844032      1.4562945      0.0500685
            285      1.0050158    0.036441518     0.80240713    0.029230678       1.293601    0.047169512
            290     0.95706787      0.0355978     0.76054903    0.028413728      1.2384351    0.046326893
            295     0.89640363     0.03471358     0.71289843    0.027692829      1.1590421    0.045194758
            300      0.8929382     0.03458962      0.7112128    0.027665479      1.1526373    0.044914323
            305     0.83457497    0.033250458     0.66147017    0.026493566      1.0828541    0.043395901
            310     0.76612507    0.032354282      0.6085032    0.025813853     0.99193629     0.04214869
            315     0.71053707     0.03333002     0.56371137    0.026485954     0.92083527    0.043445515
            320      0.6248438     0.03324804     0.49536017    0.026216934     0.81083447    0.043642756
            325       0.651627    0.029397168      0.5162598    0.023401537     0.84617403    0.038390733
            330      0.5903942    0.028003101      0.4687376    0.022339111     0.76501693    0.036500848
            335     0.62949813     0.10499353     0.49497937    0.083222984     0.82254766     0.13515128
            340     0.51573403    0.026338864     0.40709657    0.020883705     0.67212927    0.034512418
            345     0.43989977     0.02407583      0.3466394    0.019059181     0.57453033    0.031610169
            350     0.41693953    0.023415947     0.33083697    0.018671301      0.5404406     0.03051887
            355      0.3669594    0.021967556     0.29128993    0.017528658     0.47559557    0.028637265
            360      0.3829447     0.02252462     0.30216927    0.017833673     0.49984213    0.029631427
            365     0.35407153    0.021588172     0.27736407    0.016994295     0.46544073    0.028525931
            370     0.32881667    0.020794695     0.26063667    0.016570664     0.42672347    0.027150065
            375       0.315664    0.020374606     0.24711727    0.016029625     0.41510333    0.026934781
            380     0.30208263     0.02167997     0.23496367    0.016892151     0.39993233    0.028837178
            385     0.28151567    0.026206049     0.22166103    0.020404031     0.36774867    0.034683633
            390     0.23543273    0.017595933     0.18263643    0.013713783     0.31272123    0.023486058
            395      0.2420579    0.017940364     0.18940927    0.014043689      0.3187009    0.023911205
            400     0.27489073    0.019013239      0.2156372    0.014998357     0.36091217    0.025115257
            405     0.21366173    0.016898809     0.17109391    0.013466376      0.2742512    0.022222661
            410      0.1728912    0.015261771     0.13564417     0.01203236     0.22690427    0.020128372
            415     0.22622587    0.017348482     0.17646047    0.013589657     0.29876433    0.023040396
            420     0.21061673    0.016650589      0.1630605    0.012948751     0.28021267    0.022255788
            425     0.18535367    0.015687696     0.14749507    0.012553705     0.23972957    0.020422395
            430      0.1657236    0.014762871     0.12811367    0.011468389     0.22098197    0.019785622
            435     0.13978453    0.013581122      0.1089542    0.010630743     0.18461113     0.01801974
            440     0.15651673     0.01446709      0.1213728    0.011250532      0.2078247    0.019321797
            445     0.15045753    0.014217166      0.1182061    0.011213621     0.19734437    0.018785461
            450      0.1223198    0.012683297    0.095556634   0.0099736269      0.1614859    0.016860678
            455     0.11311293    0.012196615      0.0882895   0.0095771568     0.14944847    0.016218117
            460     0.12143483    0.012846899    0.094450766    0.010039254     0.16072783    0.017081354
            465     0.12758087     0.01295312    0.098769467    0.010086265     0.16984773    0.017352355
            470      0.1065366     0.01183675      0.0844635   0.0094389696     0.13847357    0.015485979
            475     0.11574347     0.01233758    0.091734633   0.0098369877     0.15042243    0.016142079
            480     0.11223797    0.012181089    0.087470767   0.0095395255      0.1482981    0.016185784
            485     0.10310453    0.012574026    0.081027166   0.0099358907      0.1352068    0.016534107
            490       0.098645    0.011389913      0.0770363   0.0089427592     0.13029153    0.015128729
            495      0.0749702   0.0099295316      0.0586292   0.0078128243    0.098831233    0.013179149
            500    0.061817533   0.0090165631    0.046754767   0.0068449857    0.084245266    0.012332981
            505      0.0512954   0.0084213537    0.044377633   0.0074393493    0.062020367    0.013895723
            510    0.072339667   0.0097537023      0.0563789   0.0076382923    0.095575967    0.012954624
            515      0.0687371   0.0095376482    0.053928367   0.0075221551      0.0903203    0.012614758
            520    0.069709133    0.009574771    0.053464267   0.0073802577      0.0938038    0.012948977
            525    0.080231267     0.01027198      0.0617664    0.008020511     0.10756866    0.013948559
            530    0.056556467    0.008624309    0.042822633   0.0065557401    0.077009733    0.011788536
            535    0.056601467   0.0086312856    0.043862266    0.006728831    0.075282267    0.011550525
            540    0.064448067     0.00920635    0.049476733   0.0071015728    0.086597866    0.012430125
            545       0.059187   0.0088226163      0.0454812   0.0068137937      0.0794938    0.011910701
            550    0.040773267   0.0073226815    0.032280567   0.0058320583    0.053022967   0.0095876391
            555    0.046034333   0.0077808335    0.035516033   0.0060282546      0.0615222    0.010443386
            560    0.038142733   0.0070825492    0.029434967   0.0054974243    0.050983833   0.0095250733
            565    0.041610367   0.0075182991    0.031329634   0.0056815421    0.056912467     0.01030892
            570    0.038142733   0.0070825004    0.028773567   0.0053647067      0.0521861   0.0097279746
            575    0.036827467   0.0069593393      0.0283068   0.0053790833      0.0493733   0.0093843461
            580    0.024990067   0.0060270077    0.020312567   0.0048879789    0.031691467   0.0078233636
            585    0.028935867    0.006168839    0.022263167   0.0047752433    0.038832467   0.0083313679
            590    0.026305333   0.0058817278      0.0207301   0.0046603325    0.034332534   0.0077243091
            595    0.039293667   0.0091844144      0.0301582   0.0071587568    0.052748867    0.012154886
            600    0.041237367   0.0077290332    0.031411967   0.0059074163      0.0557792    0.010481099
            605    0.021044267   0.0052608036      0.0161596   0.0040528591    0.028249367   0.0070865102
            610    0.024990067   0.0057328278    0.019482467   0.0044907894    0.033044033    0.007623694
            615      0.0276206    0.006026979    0.021394533   0.0046890865    0.036734567   0.0080547029
            620    0.017098467   0.0047420243      0.0127055   0.0035370286      0.0237571    0.006613441
            625    0.014467933   0.0043620279    0.011906933   0.0036185153    0.018074833   0.0055064234
            630    0.018413733   0.0052608036    0.014662367   0.0041890875    0.023792633   0.0068795287
            635    0.014467933   0.0043620279      0.0110515    0.003344283      0.0195131   0.0059047944
            640    0.018413733   0.0049210312    0.014076633   0.0037758769    0.024852167   0.0066671718
            645    0.017098467   0.0047419878    0.013387933   0.0037300731    0.022477367   0.0062663647
            650      0.0276206   0.0060270077    0.022449767   0.0049466666    0.034956333   0.0077218485
            655    0.014467933   0.0043620279    0.011023233   0.0033342102    0.019557533   0.0059176714
            660    0.014467933   0.0043620279      0.0111148   0.0033717342    0.019438867   0.0058966043
            665       0.019729   0.0050937512    0.015123233   0.0039259038      0.0265734   0.0069014517
            670    0.013152667   0.0041590304    0.010299467   0.0032744267    0.017287833   0.0054985963
            675    0.010522133   0.0037199499   0.0081326999   0.0028963051    0.014039333   0.0050006214
            680    0.010522133   0.0037199499   0.0078167667   0.0027741721    0.014638567   0.0051939937
            685    0.013152667   0.0041590304      0.0105248   0.0033614642    0.016931667   0.0054138926
            690    0.014467933   0.0043620279      0.0107802   0.0032602731    0.020066567   0.0060687455
            695    0.013152667   0.0041590304    0.010346567   0.0033246658      0.0173241   0.0055678871
            700    0.014467933   0.0043620279      0.0106103    0.003205192    0.020343567   0.0061449962
            705      0.0157832   0.0045559516    0.012946367   0.0037557037       0.019755   0.0057409672
            710    0.014467933   0.0043620279    0.011478667   0.0035001246    0.018838433   0.0057503943
            715    0.017098467   0.0047420243    0.012760233   0.0035538491      0.0236723   0.0065932304
            720      0.0118374   0.0039456027   0.0087385333   0.0029240639    0.016550333   0.0055352117
            725    0.013152667   0.0041590304   0.0099931999   0.0031747522    0.017869133   0.0056782999
            730    0.017098467   0.0047420243    0.013575633     0.00378737    0.022215867   0.0062040511
            735      0.0157832   0.0045559896    0.012432267   0.0036120023    0.020625333   0.0059993653
            740   0.0052610667   0.0026304018   0.0039341333   0.0019728531   0.0072567001   0.0036389298
            745      0.0157832   0.0045559896    0.012588867   0.0036543276    0.020372667   0.0059197822
            750    0.010522133   0.0037199499   0.0082215998   0.0029274802    0.013921633    0.004961137
            755   0.0065763333   0.0029408786   0.0052975334   0.0023837793   0.0083915334   0.0037851409
            760      0.0078916   0.0032215711   0.0057711666   0.0023618695    0.011134933   0.0045569989
            765   0.0052610667   0.0026304018   0.0042147334   0.0021179561      0.0067529   0.0033972537
            770   0.0065763333   0.0029408786   0.0049541333   0.0022206169   0.0089849667   0.0040282699
