# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2031.9318      11.700456      1698.2596      9.7773293      2476.6147      14.372732
            0.1      973.19862      9.4582521      820.95888      7.8064861      1172.9703      11.842522
            0.2      487.31764      5.7474678      417.06052      4.9124633        577.053      6.8617094
            0.3      282.52047      4.3549263      243.59475      3.7529931      331.39242      5.1453197
            0.4      165.24534      3.5003024      143.68259      3.0059169      191.75201      4.1689912
            0.5      102.93234      2.6250275      89.464002       2.281072      119.51182      3.0658416
            0.6      61.135523      2.0400463       53.45841      1.7757046      70.418343      2.3891774
            0.7      40.870172      1.7167528      35.594517      1.4823464       47.32592       2.022117
            0.8      11.291942     0.60977688        9.87182     0.53380293      13.009174     0.70446953
              1      11.291942     0.60977688        9.87182     0.53380293      13.009174     0.70446953
