#         pt_j1        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       1454.624     0.61738548      1239.6135     0.52676194      1728.3535     0.74261364
              5       1345.312     0.59864988      1141.1575     0.50851368      1608.4766     0.72363698
             10       920.0248     0.51036611      775.74723     0.43119308      1108.5612     0.62161957
             15      680.66278     0.44537434      571.19912      0.3741886      825.09674     0.54422054
             20      528.62867      0.3969763      441.94143      0.3322461      643.82231     0.48715738
             25      421.92338      0.3572191      351.61577     0.29820689      515.87685     0.44043497
             30      343.11289     0.32555093       285.1879     0.27074332      420.86905     0.40286843
             35       282.7571     0.29633367      234.49775     0.24592922      347.78102     0.36738975
             40      234.66275     0.27023144       194.2048     0.22402501      289.35815     0.33595648
             45      196.75443     0.24851091      162.54361     0.20563513      243.13521     0.30969235
             50      165.61127     0.23118552      136.55056     0.19056064      205.12675     0.28907732
             55      140.13699     0.21352304      115.39256     0.17576756      173.85161     0.26729864
             60      119.48505     0.19654621      98.258088     0.16165378      148.46102     0.24615283
             65      101.70009     0.18187884       83.58208     0.14957027      126.45314     0.22816007
             70      87.498445      0.1682891      71.817605     0.13822764      108.95872     0.21137937
             75      75.387358      0.1552136      61.816471     0.12737685      93.986774     0.19470747
             80       65.15106      0.1484486      53.391472     0.12145579      81.278227     0.18696918
             85      56.597307     0.13503397      46.336634     0.11065859      70.686991     0.16980566
             90      49.178549      0.1254214      40.236286     0.10271426      61.468711     0.15771744
             95       42.90306     0.11870962      35.100786    0.097213536      53.624524     0.14984122
            100      37.506135     0.11099441      30.668072    0.090946933      46.909499     0.13962603
            105      32.764292     0.10293924       26.78079    0.084204943      40.995598      0.1296065
            110      29.149657     0.10379025      23.814141    0.084330618      36.492565     0.13176829
            115      25.611598    0.091397416      20.916016    0.074692866      32.076925     0.11526138
            120      22.609173    0.085831898      18.453948    0.070096748      28.334598     0.10818231
            125      20.041603    0.081250743      16.362197    0.066492086      25.108888      0.1027501
            130      17.914148    0.077295782      14.616666    0.063094652       22.45802    0.097865299
            135       15.74608    0.071101544      12.852306    0.058108167      19.731223    0.089638652
            140      14.063365    0.067514032      11.474431     0.05518153      17.629476    0.085194733
            145      12.683588    0.064079935      10.341279    0.052290499      15.913063    0.080831701
            150      11.445204    0.061011007      9.3334701    0.049810397      14.377656      0.0771446
            155      10.320797    0.057805492      8.4153216    0.047210785      12.971988    0.073191747
            160      9.1637088    0.054081849      7.4585589    0.044164381      11.541423    0.068554863
            165      8.3230144    0.051684517       6.768058    0.042207069      10.494237    0.065646998
            170      7.4082725    0.048803761       6.022859    0.039822101      9.3440522    0.062030355
            175      6.8390392    0.053801555      5.5459883    0.043375537       8.648583    0.068872366
            180      6.0990953    0.044551154      4.9485532    0.036261801      7.7097295    0.056685308
            185       5.568882    0.042300275      4.5110641    0.034383724       7.052506     0.05394952
            190       5.100229    0.041138831      4.1214452    0.033327167      6.4759894    0.052591023
            195      4.6735383     0.03901723      3.7762718    0.031634474      5.9350388    0.049851825
            200      4.2312494    0.037787052      3.4233987    0.030707496      5.3662796    0.048567661
            205      3.7985199    0.034768148      3.0643154     0.02816263      4.8332655    0.044511496
            210      3.4954917    0.040979707      2.8193447    0.032682566      4.4488181    0.053046382
            215      3.2231936    0.032624146      2.5971032    0.026347151      4.1059932    0.041867493
            220      2.9513951    0.030768955         2.3741    0.024847751      3.7669575    0.039513565
            225       2.743891    0.029706114      2.2039011    0.023954002      3.5079231    0.038228552
            230      2.4667046     0.02813184      1.9774162    0.022643742      3.1603294    0.036245363
            235      2.3020354    0.031308015      1.8470835    0.025018065      2.9463536    0.040483001
            240      2.0969053    0.026144394      1.6810858    0.021028426       2.686878    0.033708769
            245      1.9678049    0.025619651      1.5755266    0.020577836       2.524752    0.033072737
            250      1.7929678    0.024108498      1.4354724    0.019382123      2.3007408    0.031111332
            255      1.6658362    0.024820682      1.3301635    0.019734415      2.1436575    0.032357099
            260      1.5207765    0.022460245      1.2171076    0.018029367        1.95244      0.0290272
            265      1.4168814    0.021608556      1.1293049    0.017255829      1.8271928    0.028104618
            270      1.3111319    0.020902175      1.0466277    0.016711232      1.6881238    0.027138263
            275      1.1830333    0.019429896     0.94667276    0.015611853      1.5193497    0.025107753
            280      1.1139879    0.018910973     0.88736183    0.015137758      1.4377845    0.024556079
            285      0.9929918     0.01776999     0.79111426    0.014222162      1.2812673    0.023055151
            290     0.94313754     0.01737587     0.75000732    0.013874543      1.2194585    0.022600327
            295      0.8929654    0.016976702     0.71015304    0.013548826      1.1547267    0.022100433
            300     0.84015491    0.016561283     0.66986839    0.013257777      1.0833637      0.0214905
            305     0.77833712    0.015905357     0.61764591    0.012677571       1.008719    0.020730728
            310     0.76365647    0.025408006      0.6054515    0.019843567     0.99024053    0.033424214
            315     0.65990572    0.014829388     0.52470261    0.011823902     0.85351789    0.019340982
            320     0.65187262    0.015198857      0.5167049    0.012047637     0.84591725    0.019895756
            325     0.59620176    0.013782674      0.4719539     0.01096076     0.77470632    0.018004959
            330     0.57226718    0.013583017     0.45293248    0.010792444     0.74380417    0.017764314
            335     0.54692022    0.027898158     0.43217514    0.022106053     0.71190088    0.036041001
            340     0.47090947    0.012272713     0.37421782   0.0097987856     0.60942099    0.015978386
            345     0.44717557    0.012012834     0.35482052   0.0095634699     0.57976393    0.015705545
            350     0.42468585    0.011648715       0.335537   0.0092529178     0.55319825    0.015269667
            355     0.40107308     0.01128784     0.31730186   0.0089691914     0.52171715    0.014774923
            360     0.38301495    0.012292298     0.30104269    0.009644963     0.50161872    0.016231914
            365     0.34275647    0.010524796     0.27156728   0.0083759911      0.4450831     0.01374426
            370     0.32455995    0.010173402     0.25630146   0.0080741341     0.42302917    0.013333434
            375     0.31445588   0.0099997489     0.24719046   0.0078969085     0.41202442    0.013187097
            380     0.28950338      0.0105344     0.22709977   0.0082516314     0.37990066     0.01394399
            385     0.28767865    0.012398339     0.22614596   0.0096820845     0.37661981    0.016383658
            390      0.2524617   0.0089320486     0.19806948   0.0070420784     0.33134327    0.011786097
            395     0.23767562   0.0088398782     0.18696349   0.0069791307      0.3112593    0.011670254
            400     0.25115955    0.011667818     0.19633948   0.0090889842     0.33076018    0.015452445
            405     0.21298398   0.0082409211     0.16936942   0.0065655274      0.2756013    0.010788392
            410     0.19995127   0.0079847403      0.1566595   0.0062861831     0.26291282    0.010559558
            415     0.20769978   0.0081699274     0.16368207   0.0064698316      0.2712496    0.010729719
            420     0.17814753   0.0075407975     0.13862054   0.0058892987     0.23594711    0.010050819
            425     0.17532893   0.0074653341     0.13777646   0.0058995639     0.22982796   0.0098445034
            430     0.16010569   0.0071100995     0.12499295   0.0055797609     0.21134405   0.0094378378
            435     0.15751705   0.0070744899      0.1230934   0.0055544637     0.20771413   0.0093835036
            440     0.14652671   0.0068165796     0.11403495   0.0053273859     0.19395962   0.0090714706
            445     0.14033506   0.0066899958     0.10932723   0.0052307143     0.18568246   0.0089190396
            450     0.13687128   0.0065783366     0.10689886   0.0051647741     0.18059934   0.0087309132
            455     0.12009025   0.0061976769    0.093235318   0.0048342733     0.15942671   0.0082763578
            460      0.1065413   0.0058431133    0.082415398   0.0045416907     0.14193123   0.0078252679
            465     0.12277771   0.0062537405    0.095380704   0.0048755193     0.16293338   0.0083579983
            470      0.1102266   0.0059500599    0.086220656   0.0046785848     0.14525775   0.0078833348
            475    0.096951621   0.0055512367    0.075474206    0.004344938     0.12834935   0.0073907025
            480    0.097898583   0.0056533873    0.076010332   0.0044101725     0.12993035   0.0075467732
            485    0.095282561   0.0056710794    0.074217223   0.0044425203     0.12602106   0.0075387334
            490    0.085263385   0.0052078639    0.066732845   0.0040980934     0.11232669   0.0069035817
            495    0.081789692   0.0051014721    0.063906066   0.0040095422      0.1079865   0.0067846448
            500    0.081789692   0.0051014721    0.063906066   0.0040095422      0.1079865   0.0067846448
