#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      436.55623      1.7055147      365.57975      1.4289187      530.38085      2.0878545
              1      1236.2044      2.8545423      1035.0666      2.3898371       1502.225      3.4973987
              2      1811.5468      3.4074291      1517.3904      2.8564393      2200.3277      4.1810822
              3      2136.0437      3.6825365      1789.9374      3.0867322       2593.234      4.5067087
              4       2273.716      3.7866042      1906.9532      3.1920466      2757.3489      4.6717367
              5      2265.9453      3.7729035      1900.8666      3.1696125      2747.2383      4.6184779
              6      2184.2823      3.7196099      1832.5357      3.1220953       2647.951      4.5443966
              7      2045.4526       3.596634      1716.7436      3.0208318      2478.4644      4.3935736
              8      1895.5749      3.4686153      1591.2365      2.9134436      2296.3933      4.2345328
              9      1740.4114      3.3331936      1461.5826      2.8014624      2107.3412      4.0730531
             10      1596.7284      3.2305498      1341.3396      2.7108098      1932.6373      3.9479109
             11      1447.8688      3.0427185      1216.3844      2.5592095      1752.3224      3.7141507
             12      1323.9967      2.9196591      1112.4422      2.4542797      1602.2075      3.5616878
             13       1202.098      2.7911999      1010.1341       2.345978       1454.506      3.4054909
             14      1101.0081      2.6659142       924.8851      2.2427072       1332.765       3.256525
             15      993.59258       2.533521      834.78576      2.1301361      1202.5401      3.0871901
             16        911.125       2.431398      766.36568       2.093871      1101.0979      3.0921158
             17      831.16948      2.3209952      698.44463      1.9522623      1005.7788      2.8270804
             18      760.78005      2.2216568      639.04198      1.8681988      921.05763      2.7071624
             19      700.52158       2.133294      588.47786      1.8065579      848.02632      2.6274067
             20      641.13078      2.0424858      538.35284      1.7169688      776.56608      2.4899702
             21      588.04833      1.9587973      493.85774      1.6482027      712.14591       2.393702
             22      544.28422      1.8876447      457.30221      1.5945892      658.79632      2.3171524
             23      498.94812      1.8245085      418.91107      1.5311467      604.46742      2.2295926
             24      463.37446      1.7429739       389.0953       1.464991      561.28856       2.124807
             25       429.8813      1.6788988      360.84718      1.4115653      520.95875      2.0511344
             26      394.13366      1.6066605      330.95441      1.3508152       477.4379      1.9600574
             27      367.19951      1.5510885      308.30409      1.3044723      444.86628       1.893419
             28      343.25222      1.5037905      288.06742      1.2636108      416.09515      1.8365678
             29      319.95162      1.4611651      268.58947      1.2276286      387.71331      1.7881243
             30      296.21259      1.3939609      248.58701      1.1712737      359.08856      1.7013729
             31      276.87408      1.3489784       232.2113      1.1334502      335.91454      1.6481989
             32      261.25861      1.3097354      219.29197      1.1034837      316.65656      1.6036439
             33      241.53241      1.2602859      202.50035      1.0581006      293.16037      1.5396906
             34      226.32313      1.2208769      189.98845      1.0277981      274.27556      1.4967694
             35      212.72141      1.1861512      178.32846     0.99542616      258.22729      1.4502782
             36      198.36955      1.1432543       166.2494     0.95925705      240.89991      1.3966775
             37      188.60595      1.1182578      158.15371     0.93860952      228.87832      1.3686909
             38      177.52748      1.0815067      148.76281     0.90734019      215.62069      1.3221978
             39      167.73418      1.0853768       140.5859      0.9132971      203.67829      1.3317076
             40      157.58737      1.0205848      131.79675     0.85497838         191.86       1.250536
             41      148.50218     0.99175084      124.48785     0.83224142      180.29193      1.2141794
             42      140.18061      0.9605838       117.3203     0.80517278        170.527      1.1756363
             43      132.98708     0.95302319      111.34454     0.79728092       161.6995      1.1698261
             44       124.0991     0.90597417      103.94849     0.75972505      150.81225       1.107839
             45      116.16433     0.87562406      97.212418     0.73522027      141.32768      1.0793279
             46      112.70393     0.86456883      94.298604     0.72457923      137.15472      1.0590872
             47      106.40153     0.84726297       89.04727     0.71072959        129.443      1.0428941
             48      101.82878      0.8195569      85.275568     0.68730078      123.78605      1.0029904
             49      95.221305     0.79360635       79.69524     0.66562583       115.8403     0.97832226
             50      95.221305     0.79360635       79.69524     0.66562583       115.8403     0.97832226
