# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ250
              0      514.57065     0.89857356      438.45319      0.7653363      611.38642       1.078759
              1      1461.4257      1.4940595      1246.9345      1.2774572      1733.3741      1.7947867
              2       1784.714       1.643792      1522.9261      1.4051971      2116.7596      1.9700518
              3      1757.9128      1.6318159      1499.4595      1.3924151      2086.2301      1.9507612
              4      1633.1984      1.5754131      1392.4231      1.3459693      1939.5494      1.8913582
              5      1469.4364      1.4977303      1251.6099      1.2764237      1747.3818      1.7939959
              6      1334.3077      1.4295012      1135.4933      1.2173857       1588.648      1.7141562
              7      1214.7075      1.3661581      1033.1718      1.1671408      1447.3055      1.6509139
              8      1107.2238      1.3065866      940.62021      1.1118622      1321.3886      1.5735074
              9      1012.8262      1.2515599      859.69653       1.063445       1210.109      1.5077853
             10       932.9013      1.2018989      791.11782      1.0201172      1116.0069      1.4480929
             11      861.15513       1.155913      729.71223     0.98185371       1031.246      1.3986894
             12      800.84245      1.1158585      678.18036     0.94997702      959.81821      1.3591696
             13      746.48937      1.0784935      631.56894     0.91330306       895.7666      1.3038684
             14      697.79157      1.0432391      590.05975      0.8834807       837.9132      1.2633233
             15      653.75681      1.0107564      552.36083     0.85517261      785.90493        1.22568
             16      614.57671     0.97993539      519.05752     0.82836586      739.17578      1.1875817
             17      579.17079     0.95166568      488.74868     0.80387252      697.34816      1.1537715
             18      545.37984     0.92473285      459.88155     0.78060232      657.31761      1.1232085
             19      516.67329      0.9002202      435.40836     0.75929129      623.21225      1.0931207
             20      490.19951     0.87659143      412.81584     0.73900912      591.80422      1.0658153
             21      463.70809     0.85257876      390.43952     0.71914112      559.94659      1.0375479
             22      440.61565     0.83385818       370.7535     0.70201681      532.50985      1.0154873
             23      419.59105     0.81199084      352.99284     0.68400431      507.22556     0.98898243
             24      399.70352     0.79266281      335.97408     0.66706042      483.72642     0.96565833
             25      381.42667     0.77571823      320.44011     0.65269081      461.92212     0.94764786
             26      362.06664     0.75547322      304.05932     0.63505955      438.68788     0.92197572
             27      345.79133      0.7392872      290.25072     0.62087865      419.22865        0.90325
             28      330.90089     0.72313584        277.588     0.60713952      401.47986     0.88393426
             29       316.7641     0.70693779      265.61808     0.59552509      384.53036     0.86917943
             30      301.88621     0.69039446      253.01761     0.57919015      366.70618     0.84459752
             31      290.08557     0.67878796      243.06163     0.56910775      352.49232     0.83132768
             32       276.7978     0.67984337      231.74609     0.56711878      336.68256     0.83750068
             33      266.43881     0.64994728      223.08378     0.54532589      324.06044      0.7986834
             34      255.05489     0.63584637      213.45479     0.53313997      310.39383     0.78108958
             35      244.76171     0.62348682      204.74473     0.52234309      298.05392     0.76652361
             36      234.12096     0.60895405       195.7991     0.50985178      285.17557     0.74764014
             37      225.89093     0.60165115      188.74266     0.50275028      275.46794     0.73952982
             38      216.61441     0.59107172      180.96663     0.49361367      264.20225     0.72698597
             39      208.64752     0.57837108      174.30187     0.48331121      254.50708     0.71198497
             40       199.3845     0.56287317      166.47359     0.47039591      243.37274     0.69174769
             41      190.97725     0.55208445      159.34915     0.46094628      233.30382     0.67966031
             42      184.97708     0.54342997      154.32525      0.4542925      226.00527      0.6708075
             43      178.67834     0.53298335      148.98896     0.44607315      218.46392     0.65958604
             44      170.44128     0.52147464      142.14085     0.43536567      208.35124     0.64318499
             45      165.27339     0.51297323      137.68609     0.42772328      202.30842     0.63231066
             46      159.26179     0.50669004      132.69544     0.42233993      194.91471     0.62544517
             47      152.01918     0.49221876      126.63553     0.41219463      186.09736     0.61184926
             48      147.36771     0.48531647      122.70037     0.40426383      180.51349     0.59920324
             49       141.8368     0.47433767      118.08854     0.39543658      173.75258      0.5854599
             50       141.8368     0.47433767      118.08854     0.39543658      173.75258      0.5854599
