#          pt_b        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      1578.7958     0.64270844      1322.9315     0.53894667      1916.7474     0.78954503
              5      2028.4807     0.69883529       1702.439     0.58695606      2457.9977     0.85683866
             10      1333.0179     0.59609931       1119.755     0.50108298      1613.6047     0.72824824
             15      839.04152     0.49025826      704.95763     0.41331159      1015.4674     0.60105402
             20      547.09535     0.40340137      459.51562     0.33939399      662.46297     0.49296593
             25      371.10172     0.33654711      311.51153      0.2827799      449.72019     0.41101969
             30      260.80975     0.28339751      218.79504     0.23824445      316.32378     0.34674746
             35      188.90852     0.24559326      158.33216     0.20576242      229.38389     0.30105447
             40      140.53194     0.21154749      117.67814     0.17723101      170.84226     0.25939387
             45      106.80667     0.18353614      89.377852     0.15387813      129.95267     0.22535702
             50      82.725339     0.16256333      69.178202     0.13615735      100.73852     0.20001176
             55      65.356785     0.14452122      54.570972     0.12081449      79.736254     0.17769967
             60      52.274541     0.12904477      43.622527     0.10790761      63.819611      0.1589709
             65        42.0523     0.11561189      35.064324    0.096581963      51.388631     0.14248441
             70      34.440822      0.1055658      28.696698    0.088003941      42.124392     0.13013893
             75      28.432643    0.095069283       23.69957     0.07941249      34.759313     0.11719805
             80      23.558052    0.086583724      19.584155    0.072211419      28.917927     0.10702935
             85      19.699282    0.079632301      16.350958    0.066240831      24.222968    0.098710715
             90      16.810919    0.074797268      13.919458      0.0619718      20.726022    0.093044554
             95      14.317594    0.068160271      11.829526    0.056429471      17.694047    0.084913236
            100      12.155232     0.06256713       10.01782    0.051690352      15.062747    0.078169086
            105      10.377496    0.057595574      8.5352808    0.047506328      12.889508    0.072104195
            110       8.964566    0.053638882       7.368324    0.044199437      11.142361    0.067225641
            115      7.9166417    0.050562595      6.4932197    0.041574518      9.8623123    0.063492164
            120      6.8312428    0.046950907      5.5865832    0.038491687      8.5373455    0.059157024
            125      6.0333026    0.045000205      4.9315364    0.036801138      7.5445171    0.056819334
            130      5.3299453    0.046233906      4.3435623    0.037379615      6.6865144    0.058958583
            135      4.6562422    0.039256022      3.7889584    0.031985477      5.8508479    0.049736253
            140       4.157355    0.037299928      3.3791689    0.030370673      5.2303112    0.047292003
            145      3.6464676    0.034255095      2.9588684    0.027879998      4.5963178    0.043529123
            150      3.2106847    0.032197487       2.605039    0.026191968      4.0473842    0.040912923
            155      2.9482373    0.030959595      2.3871426    0.025151387       3.724903    0.039436478
            160      2.5578877    0.028586376      2.0680077    0.023179726      3.2369653    0.036442029
            165      2.3435704    0.027372426       1.893332    0.022184039      2.9679225    0.034967236
            170      2.1490588      0.0297053      1.7368014     0.02386736      2.7207468    0.038122268
            175      1.8862196    0.024853137      1.5227813    0.020113235      2.3910432    0.031846252
            180       1.712661    0.023379939      1.3824476    0.018934798      2.1709979    0.029965579
            185      1.5631179    0.033032654      1.2583938    0.026422871      1.9873166    0.042401579
            190      1.4063232    0.021342324       1.131705    0.017207336      1.7889092    0.027367738
            195      1.2284349    0.019821867     0.98482134     0.01593435      1.5689267    0.025510828
            200      1.1621936     0.02013311     0.93196393    0.016144665      1.4838188    0.025937071
            205       1.064791    0.018413321      0.8519246    0.014791047      1.3628009    0.023761751
            210     0.94880277    0.017486473     0.76020357    0.014045626      1.2126348    0.022515348
            215     0.92394362    0.017241265     0.73931815     0.01382792      1.1822851    0.022242575
            220      0.8092922    0.016082666     0.64753525    0.012915166      1.0358942    0.020805786
            225     0.73146025    0.015262598     0.58370278    0.012220199     0.93872396    0.019709684
            230       0.666835    0.014639378     0.53125701    0.011708095     0.85744061    0.018933561
            235     0.63253176    0.014235223     0.50483202    0.011392879      0.8118139    0.018413252
            240     0.55478112    0.013326761     0.43947878    0.010588717      0.7176041    0.017349026
            245     0.50857886     0.01275434     0.40460599    0.010187229     0.65485842    0.016526376
            250     0.49166002    0.012817943     0.39027503    0.010194694     0.63478891    0.016672117
            255     0.45260554     0.01198241     0.35898244   0.0095435362     0.58475394    0.015587362
            260     0.41834227    0.011610038     0.33120051   0.0092074186     0.54155751    0.015152469
            265     0.38261409    0.011040887     0.30260383    0.008759918     0.49581986    0.014401134
            270      0.3671198    0.012447837     0.29092185   0.0098386039     0.47469052    0.016250802
            275     0.33772368    0.010562908     0.26708341   0.0083613794     0.43775441    0.013813875
            280     0.30582367   0.0099111153      0.2421311   0.0078773704     0.39570941    0.012896493
            285     0.27945305   0.0095337046     0.22234231   0.0076020436     0.35983629    0.012373575
            290     0.27143903   0.0092984072     0.21394571   0.0073634706     0.35303425    0.012157858
            295     0.23661887    0.008929745     0.18672047   0.0070481356      0.3075021    0.011711582
            300     0.23538994   0.0087084367     0.18580303   0.0069007534     0.30572439    0.011380044
            305     0.21707329   0.0082938619     0.17117699    0.006566642     0.28217783    0.010843772
            310     0.20056854   0.0080401002     0.15873236   0.0063628705     0.25972973    0.010541808
            315     0.18731618   0.0077305725     0.14792521   0.0061625431     0.24327904    0.010193546
            320      0.1880478   0.0077467488     0.14786672   0.0061215994     0.24531744    0.010167239
            325      0.1648914   0.0072609935     0.13038108   0.0057612401     0.21374968   0.0094898159
            330     0.14316562   0.0067992506     0.11329395   0.0053913008     0.18546837   0.0088992594
            335     0.14038991   0.0068667312     0.11100221   0.0054433418     0.18197242   0.0089791906
            340     0.13874878   0.0066528035     0.10942768   0.0052645664     0.18037998   0.0087078888
            345     0.11384759   0.0060181617    0.089704834   0.0047550173     0.14819128   0.0078922875
            350     0.11963016   0.0061891739     0.09562918   0.0049642432     0.15327228   0.0080050908
            355     0.11536105   0.0061297849    0.090386563   0.0048266377     0.15102867   0.0080833036
