#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      522.15667     0.80186295       442.8802     0.68286889      624.00632     0.97136821
            105      533.01474     0.80978601      452.18932     0.68785913      636.92961     0.97567182
            110      498.68243     0.78541862      423.30089     0.67236722      595.57461     0.95891299
            115      450.08437     0.74856056      381.84778     0.63557419      538.01373     0.90110622
            120      402.12311     0.71124907      341.01302     0.60348707      481.02465     0.85703952
            125      356.11687     0.67062742      301.80204     0.57029166      426.41357      0.8127394
            130      316.43004     0.63453001       268.0658     0.53869959      379.12742     0.76977382
            135      281.32899     0.60093928      238.05973     0.51095735      337.60997     0.73344298
            140       252.5262     0.57155295      213.49843     0.48336583      303.42328     0.69368769
            145      225.88292     0.54021717      190.72989     0.45623871      271.88493     0.65555904
            150      204.37139      0.5141438      172.41796     0.43518767      246.28343     0.62684802
            155      184.39612       0.488713      155.37815     0.41213657      222.56864     0.59522799
            160      167.58559     0.46696003      141.00979      0.3932244      202.65749     0.56914836
            165      152.55087     0.44713338      128.26393     0.37618851      184.65605     0.54658755
            170      139.83965     0.42747663      117.36484     0.35902126      169.65932     0.52267209
            175      128.44816     0.40971707      107.65424     0.34364141      156.11331     0.50173706
            180      118.12156     0.39583596      98.857972     0.33120806      143.82054     0.48592898
            185      109.59936     0.37925647      91.690868     0.31804978       133.5091     0.46685682
            190      100.87926     0.37058268      84.221132      0.3089079      123.20264     0.45737062
            195      94.320856      0.3517447      78.667352     0.29389143      115.33456     0.43361663
            200      87.750009     0.34016859       73.08182     0.28356691      107.48804     0.41953628
            205      81.489775      0.3273901      67.793483     0.27268653      99.951875     0.40480653
            210      76.655661     0.31780097      63.749482     0.26481094      94.060474     0.39342933
            215      72.230374     0.30887538      59.890138     0.25653656      88.946497     0.38333783
            220      67.594114     0.29849641      56.030179     0.24776257      83.262871     0.37016725
            225      63.393437     0.28979989      52.493814     0.24031386       78.18179     0.36053652
            230      59.775838     0.28285227       49.47033     0.23446511       73.76759     0.35238159
            235      56.488911     0.27427335      46.689728     0.22694823      69.816075     0.34175218
            240      53.604446     0.28872483      44.240561     0.23638072      66.363136     0.36337154
            245      50.481414     0.25898052      41.650359     0.21381116      62.518818     0.32316737
            250      50.481414     0.25898052      41.650359     0.21381116      62.518818     0.32316737
