#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      528.53033       1.861917      450.22117      1.5849387      628.21683       2.236804
              1      1520.2306      3.1204303      1296.5304      2.6745069       1804.232      3.7720931
              2      1885.8864      3.4692779      1607.8935      2.9573304      2239.3276      4.1569881
              3      1881.9886      3.4499487      1603.5693      2.9399905      2236.7187       4.134614
              4      1775.2992       3.360134      1511.8258      2.8780335      2111.5168      4.0787942
              5      1616.1075      3.2134682      1374.0699      2.7335862      1926.2865      3.8607823
              6      1487.1703      3.0839904      1262.5462      2.6189578      1776.1403      3.7091601
              7      1360.8434      2.9517173      1154.1311      2.5050367      1627.4689       3.554778
              8      1251.0177      2.8355805      1059.5807      2.4100792      1498.6991       3.441628
              9       1161.876      2.7426305      982.98327      2.3212865      1393.9363      3.3175048
             10      1073.1617      2.6322359       906.4736      2.2251059      1290.1579      3.1860538
             11      997.02778      2.5425945      841.52585      2.1472402      1199.8094       3.080009
             12      931.25686      2.4541987      785.69769      2.1047726      1121.2294      3.0651028
             13      876.09943      2.3855076       737.8991      2.0112341       1057.125      2.8991104
             14      827.25829      2.3201684      696.68246       1.957175      998.33899       2.829065
             15      778.10391      2.2506194      654.23069       1.894373      940.94753      2.7435642
             16      731.51807      2.1806022      614.73714      1.8342274      885.18978      2.6570533
             17      693.92492      2.1261091      582.56317      1.7875648      840.75978      2.5952881
             18      655.01318       2.065878      549.18387      1.7334849      794.91731      2.5222444
             19      625.84915      2.0210816      524.40362        1.69489      760.11811      2.4694488
             20       595.6713      1.9715254      498.80711      1.6527929      724.00885      2.4112268
             21      567.53853      1.9255543      475.11709      1.6143745      690.05565      2.3601928
             22      541.72526      1.8806993      452.96533      1.5741172      659.65815      2.3042976
             23      514.65062      1.8348506      430.33568      1.5355524      626.63009      2.2515948
             24      492.92145      1.7969264      411.66586      1.5024752      601.11011      2.2071085
             25       471.1388      1.7555168      393.27023      1.4670092      574.91729      2.1567436
             26      447.79949      1.7127911      373.22671      1.4290605      547.45212       2.105168
             27      432.15565      1.6843486      360.30715      1.4061513      528.09821      2.0767186
             28      414.89141      1.6579573      345.68348      1.3816772      507.41842      2.0431396
             29      396.02354       1.611297      329.85922      1.3606045      484.51733      2.0231756
             30       378.7539      1.5773854      315.19314      1.3136912      463.90857      1.9455617
             31      366.03183      1.5537345      304.46197      1.2938691      448.58862      1.9197293
             32      349.27849       1.518039      290.42018      1.2629934       428.2591      1.8739289
             33       335.9327      1.4874254      279.19222      1.2374426      412.12362      1.8364522
             34      325.10504      1.4650491      270.01924      1.2185933      399.14501      1.8116696
             35       312.8936      1.4373419      259.83515      1.1956017      384.24256      1.7801841
             36       298.5049      1.4030866      247.73619      1.1666437       366.8313      1.7393591
             37      288.56474      1.3799924      239.27567      1.1454464      355.00446      1.7089698
             38      278.78134      1.3577448      231.07634      1.1266435      343.11734      1.6816374
             39      269.44423      1.3449141      223.30428      1.1161901      331.70454      1.6715863
             40      258.39035      1.3084487      214.03797      1.0849802      318.27376      1.6208948
             41      248.82134      1.2851506      206.03304      1.0646216      306.63281      1.5942159
             42      239.18653      1.2605295      197.99521      1.0446391      294.87291      1.5663472
             43       232.7701      1.2420123       192.5799      1.0287105      287.14843      1.5453249
             44      221.70911      1.2169329      183.35242      1.0070067      273.62431      1.5119296
             45      215.39049      1.1932024      177.91124       0.987015      266.23888      1.4827762
             46      209.15097      1.1824053      172.85866     0.97820008      258.33983      1.4712042
             47      200.18104      1.1509989      165.35228     0.95187565      247.42626      1.4302017
             48      195.27917      1.1373567      161.31263     0.94056736      241.33719      1.4135845
             49      187.45765      1.1218123      154.84732     0.92776485      231.68135      1.4004424
             50      187.45765      1.1218123      154.84732     0.92776485      231.68135      1.4004424
