# eta_bjet1-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
# -2bjet
              0      242.24551      2.0275542      204.08817      1.7101551      292.45145      2.4756613
            0.4      227.13142      1.9803479      191.45653      1.6664342      274.02536      2.4139674
            0.8      202.12841      1.8336982      170.73242       1.550327       243.2559      2.2249244
            1.2      167.73114      2.0926689      141.71659      1.7119719      201.78008      2.6333559
            1.6      122.69776      1.4246921      104.24166      1.2115772      146.60528      1.7131683
              2      79.999692      1.1619549      68.218865     0.98989213      95.146144      1.3938784
            2.4      79.999692      1.1619549      68.218865     0.98989213      95.146144      1.3938784
