#           y_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      521.89308      5.9487306      440.21339      5.0121496      628.59723      7.2274753
           -4.9      611.58992      6.5205139      516.17551      5.4853511      736.15253      7.9233441
           -4.8      722.46819      7.0612015      610.95017      5.9582781      867.34498      8.5806052
           -4.7      817.70131      7.5670359      690.98811      6.3659959      982.55636      9.1922768
           -4.6      937.85711       8.644931      792.66078       7.195411      1126.6611      10.658326
           -4.5      1087.3941      8.5489122      920.02196      7.2233928      1304.3733      10.357506
           -4.4      1206.8062      9.0378005       1021.654      7.6651801      1446.5811      10.972917
           -4.3      1350.9546      9.6788697      1144.2106      8.1839631      1618.3035      11.731016
           -4.2      1519.4577      10.095982      1286.1101      8.5522422      1821.5306      12.241739
           -4.1      1668.0599       10.63568      1412.7823      8.9960235      1998.0001      12.837948
             -4      1832.5761      11.098699      1551.2405      9.3912366      2196.7656      13.399867
           -3.9      2023.9868      11.601946      1715.3406      9.9394661      2422.2611      14.215947
           -3.8       2176.918      12.087039      1843.8241      10.236094      2607.2987      14.584817
           -3.7      2353.8331      12.558659      1994.6531      10.650683      2817.3092      15.198802
           -3.6      2519.2573      12.933674      2132.1135      10.943596      3020.3416      15.607937
           -3.5      2682.8165      13.290302      2270.8052      11.262573      3215.9938      16.038961
           -3.4      2867.0706      13.771328       2427.158      11.661897      3436.0689      16.643035
           -3.3      3035.7635      15.076367      2567.1822      12.629247      3643.2329      18.419652
           -3.2       3225.872      14.584881      2727.4555      12.381994      3872.2724      17.771537
           -3.1       3371.763      14.938558       2854.153      12.968558      4041.2446      18.938662
             -3      3569.4402      15.300867      3013.5081      12.932895      4292.7516      18.516469
           -2.9      3721.8614      15.658974      3142.7955      13.233753      4475.1444      18.950833
           -2.8      3904.1371      15.990854      3293.6431      13.504497      4700.0059      19.375009
           -2.7      4062.1206      16.394791      3425.3743      13.831506      4892.9302      19.903102
           -2.6      4195.5606      16.604422      3536.8991      14.024976      5055.3598      20.221403
           -2.5      4359.4071      17.107168      3672.0819      14.543242      5258.3372       21.03937
           -2.4      4469.0252       17.17297      3763.6872      14.476368      5391.8811      20.909481
           -2.3      4627.9871      17.409425      3890.4162      14.646572      5596.8891      21.177449
           -2.2      4752.2406      17.920155      3992.7248      15.041929      5751.1243      21.930313
           -2.1      4908.6959      17.952112        4122.48      15.117874      5943.5497      21.981949
             -2       4999.756      18.100363      4197.4716      15.207593      6056.6253      22.078108
           -1.9      5130.2802      18.367299      4303.7862      15.419795      6220.5945      22.440308
           -1.8      5236.2109      18.539645      4388.1791      15.545445      6357.4244      22.656389
           -1.7      5374.0872      18.738354      4499.7193      15.712275      6531.9839      22.963771
           -1.6      5449.6823      18.900522       4561.483      15.842658      6626.6761      23.178831
           -1.5      5593.9801      19.769059      4678.8556        16.4637      6808.3424      24.386912
           -1.4      5608.0118      19.136273      4692.2702      16.214266      6822.2693      23.996205
           -1.3      5737.7448      19.417764       4795.508      16.245129      6989.8655      23.842795
           -1.2      5776.6349      19.424888      4823.8724      16.235554      7044.8931      23.852952
           -1.1      5832.6627      19.573157      4870.1167      16.361799      7114.2333      24.067378
             -1      5898.3266      19.667297      4923.1511      16.429389      7197.6547      24.188524
           -0.9      5997.4437      19.794815        5002.88      16.532703      7323.8979      24.341803
