# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0      112.00049     0.77075552       88.01417     0.60714238      146.22468      1.0113899
     0.31415927      120.86282     0.80950583      94.983311     0.63863063      157.79456      1.0625064
     0.62831853       127.5828     0.80449596      100.52288     0.63617066       166.1865      1.0528236
      0.9424778       136.9618     0.83919568      108.30957     0.66605528       177.7704      1.0945741
      1.2566371       158.4027     0.90565874      126.36837     0.72452026      203.80096      1.1723922
      1.5707963      199.73428      1.0611855      161.12356      0.8558502      254.05235      1.3636079
      1.8849556      273.65949      1.2012793      223.12808     0.98099845      344.12936      1.5232524
      2.1991149      426.82073      1.4936475      350.66193      1.2268409      530.98453      1.8728506
      2.5132741      761.32313      2.0282785      626.11179      1.6668964      946.47549      2.5500243
      2.8274334      1413.3075      2.7540729      1150.6077       2.244953      1780.1616      3.5006306
      3.1415927      1413.3075      2.7540729      1150.6077       2.244953      1780.1616      3.5006306
