#m_bb-CMS-2bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
             20      4.0590995    0.014696003      3.3702365    0.012226041      4.9874845    0.018181397
             50      3.5914467    0.015192998      3.0088259    0.012739703       4.363796    0.018577254
             75      3.5380989    0.015102419      3.0089525    0.012845788      4.2200918    0.018131668
            100      2.5154733    0.012641888      2.1514595    0.010839176      2.9795971    0.015092027
            125      1.7081204    0.011606399      1.4634606   0.0097603688        2.01936    0.014172125
            150     0.96771933   0.0055644714     0.83109384    0.004781827      1.1425321   0.0066214287
            200     0.48849865   0.0039937878     0.41855172   0.0034226672     0.57882791   0.0047744382
            250     0.27144328   0.0030066617     0.23251288   0.0025757207      0.3215402   0.0035936049
            300      0.1325465   0.0014968056     0.11308729   0.0012743035     0.15764031   0.0018023406
            400    0.056167606  0.00097956234     0.04762472  0.00082842976    0.067248542   0.0011893287
            500    0.056167606  0.00097956234     0.04762472  0.00082842976    0.067248542   0.0011893287
