#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      22720.503      9.7587344      19013.952      8.1863867      27635.994      12.025156
     0.31415927      17631.323      8.8221386      14726.778        7.37889      21495.492      10.862665
     0.62831853      14276.911      8.0627966      11925.162      6.7401402      17404.963      9.9244238
      0.9424778      12127.882      7.4964754       10139.53      6.2710782      14767.638      9.2054552
      1.2566371      10817.272       7.107328      9060.5507      5.9624296       13140.94      8.7176205
      1.5707963      9996.2802       6.850354      8389.4504      5.7540011      12113.367      8.3696961
      1.8849556      9575.0925      6.7500068      8055.6282      5.6839449      11567.238      8.2403027
      2.1991149      9407.6269      6.7149898      7932.8187      5.6625256      11332.392      8.1693242
      2.5132741      9408.9218      6.6839257      7951.2634      5.6515751       11303.02      8.1043169
      2.8274334      9465.7779      6.7380191       8011.212      5.7026052       11350.29      8.1604348
      3.1415927      9465.7779      6.7380191       8011.212      5.7026052       11350.29      8.1604348
