# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      1686.2163      2.9148856      1391.0992      2.4084189      2088.6379      3.6354229
     0.31415927      1822.7981      3.0419457      1503.3901      2.5140463      2258.4581      3.8016755
     0.62831853      1959.0814       3.138633       1616.663      2.5938228      2425.4749      3.9145431
      0.9424778      2140.1745      3.3147731      1766.9988      2.7396558       2647.654      4.1393826
      1.2566371       2464.341      3.5242811      2035.1628      2.9137874      3047.2537      4.3923426
      1.5707963      2965.9399      3.8551758      2448.3728      3.1865374      3668.7217      4.8034797
      1.8849556      3763.0291      4.3414763      3104.0923      3.5830522      4658.0168      5.4170221
      2.1991149      4972.1089      4.9948908      4098.5875      4.1172739      6158.7919      6.2450788
      2.5132741      6672.8651      5.7227344      5494.8361      4.7143193      8274.5485      7.1532135
      2.8274334      8483.3141      6.5085511      6975.5794      5.3479802      10536.559      8.1642356
      3.1415927      8483.3141      6.5085511      6975.5794      5.3479802      10536.559      8.1642356
