#        eta_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5       789.0319      7.3403596      667.74553      6.2012664      946.06552      8.8851947
           -4.9      892.46718      7.8886696      754.56927      6.6458515       1071.311       9.564355
           -4.8      981.80935      8.1175575      830.41748      6.8597467      1178.0197      9.8025127
           -4.7      1118.0615      8.6661755      946.95698      7.3479058      1339.0598      10.510033
           -4.6      1237.6635      9.1339966      1048.0589      7.7577571      1482.7319      11.063022
           -4.5      1382.8335      9.6107607      1170.9659      8.1437368      1656.5835      11.588944
           -4.4      1533.6344      10.226814       1299.159      8.6596624      1836.3662      12.461306
           -4.3      1669.2755      10.518107      1414.5678      8.9148083      1997.8813      12.680639
           -4.2      1812.0839      11.029908       1535.612      9.3393343      2168.8258       13.32635
           -4.1      1971.1418      12.549753       1668.968      10.479938      2361.6108      15.383457
             -4      2127.2411      11.861241      1803.3849      10.052186      2544.5151      14.300519
           -3.9       2310.823      12.710644      1957.2098      10.740633      2767.4827      15.427371
           -3.8      2466.6214      12.803416      2087.7712      10.842348      2956.6362      15.437775
           -3.7      2629.3825      13.438497        2225.91      11.350838      3151.1985      16.286295
           -3.6      2808.0799      13.701392      2375.3008       11.58415      3368.8298      16.556362
           -3.5      2982.2564      14.158918      2521.9025      11.966495      3578.9789      17.136482
           -3.4      3140.3276      14.453415      2655.1294      12.216218      3769.6162      17.462598
           -3.3      3292.8204      14.712065      2784.2862       12.49087      3952.2365      17.911792
           -3.2      3485.4772      15.140393      2945.5441      12.802463      4186.6359      18.290318
           -3.1      3608.3298       15.49843      3050.7187      13.330457      4331.6969      19.383494
             -3      3769.8195       15.75874      3184.3708      13.415996      4530.8496      19.308572
           -2.9      3898.4168      16.029973      3286.2963      13.516877      4697.8797      19.425535
           -2.8      4096.0382      16.466111      3453.5886      13.950296       4934.726      20.202179
           -2.7      4210.3755       16.66355      3547.8711      14.046742       5076.466        20.2499
           -2.6      4318.6806      16.853303      3636.4974      14.208186      5211.9425      20.475122
           -2.5      4479.1801      17.404833      3769.0896      14.654464      5410.2835      21.184571
           -2.4      4593.5899      17.351088      3862.5089      14.603795      5553.7632      21.140806
           -2.3      4689.1725      17.560244      3939.3854      14.790197      5675.6854      21.526613
           -2.2      4791.7394      17.729153      4023.5965      15.020686      5803.2822      21.903358
           -2.1      4893.3943      17.895147      4106.0802      15.028118      5931.8635      21.847171
             -2      5010.1521      18.128233      4199.7775      15.202934      6081.1994      22.158601
           -1.9      5048.8788      18.188121      4229.8975      15.248011      6132.5704      22.238218
           -1.8       5143.273      18.355864      4304.5058      15.376582      6255.4643       22.47253
