# y_bbZ-mbbZ250        central        num_err    min (scale)        num_err    max (scale)        num_err
            2.9       3774.122      7.7051269      3197.7266      6.5340166      4519.9043      9.2859741
              3      3541.9862      7.4683855      3002.5403      6.3338584      4239.0474      8.9917375
            3.1      3295.5795      7.1991346      2795.4269       6.110752      3940.7552      8.6551578
            3.2      3019.8563      6.8905245      2563.2401       5.854702      3607.8754      8.2790987
            3.3      2742.4117      6.5719778      2327.7546       5.582552      3276.2441      7.8960066
            3.4       2416.406      6.1708745      2053.6189      5.3257386      2881.8622      7.6196141
            3.5      2102.1601      5.7557783      1785.5088      4.8902835      2508.9205      6.9020605
            3.6      1779.7165      5.3001621      1511.7616      4.5033508      2123.7382      6.3526818
            3.7      1450.9648      4.7847471      1232.5242      4.0663035      1731.2992       5.733065
            3.8      1165.7226       4.290338      989.57627      3.6429464      1392.0938      5.1431726
            3.9      883.36268      3.7362291      749.61431      3.1724261      1055.3446      4.4827531
              4       643.5582      3.1892744      546.09417      2.7094864      768.84962       3.828304
            4.1        443.829      2.6501002      376.26593      2.2471436      530.84461      3.1843389
            4.2        284.748        2.12464      241.11336       1.797951      341.09648      2.5605809
            4.3      170.76166      1.6439393      144.30263      1.3892919      205.09207      1.9857004
            4.4      90.881423      1.2004628      76.874649      1.0245605      108.99375      1.4912685
            4.5      43.438764     0.82931189      36.610335     0.69879178      52.341722      1.0031485
            4.6      17.510602     0.52577968       14.69169     0.44153747      21.225874     0.63838048
            4.7       6.300108     0.31538145      5.2244198     0.26177062       7.754052     0.38884077
            4.8      2.0052685     0.17792963      1.6628459     0.14771342      2.4664662     0.21932347
            4.9     0.80526531     0.11275384     0.66467467    0.093146157     0.99514526     0.13957382
              5     0.80526531     0.11275384     0.66467467    0.093146157     0.99514526     0.13957382
