#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      78.733045     0.36191349      66.351946     0.30562495      94.861667     0.44329358
              1      235.20054     0.62588751      198.06625      0.5266716      283.66898      0.7613221
              2      385.18959     0.80201616      324.49597     0.67703795      464.35416     0.97973112
              3      521.82173     0.92017779      439.40852     0.77442593      629.43492      1.1186501
              4      640.07422      1.0313781      538.89847     0.86696921      772.25492      1.2557826
              5      738.41978      1.0839999      621.63009     0.91278438      891.04705      1.3197074
              6      821.37225      1.1380215      691.45586     0.95903047      991.17692      1.3855252
              7      880.50632      1.1745462       741.1014     0.98934193      1062.8051      1.4299247
              8      928.47036      1.2039001      781.44495      1.0136751      1120.7716      1.4644099
              9       960.3833      1.2221833      808.25067      1.0297095       1159.406       1.488118
             10      979.70436      1.2352242      824.43206      1.0403796      1182.9083       1.504009
             11       992.4845      1.2418269        835.089      1.0460277      1198.5596      1.5117789
             12       990.1683      1.2397501      833.13327      1.0458162      1195.7706      1.5131343
             13      983.90476      1.2351077       827.8197      1.0417524      1188.3192      1.5073905
             14      972.77856       1.229184      818.47304      1.0351296       1174.874      1.4966673
             15      955.54717      1.2189614      803.90735       1.026968      1154.2065       1.485799
             16      935.89301      1.2060035      787.27105      1.0169454      1130.6722      1.4720852
             17      915.09205      1.1920056       769.7231      1.0035544      1105.6608      1.4507229
             18      890.19674       1.176005      748.71289     0.98994691      1075.7188      1.4313943
             19      862.14488      1.1577534      725.02045     0.97472673      1042.0237      1.4103155
             20       839.1532       1.142771      705.73652     0.96421439      1014.1573      1.3972886
             21      810.13809       1.122842      681.25986     0.94918628      979.24859      1.3780781
             22      783.51298      1.1059628      658.91431     0.93322135       946.9915      1.3527744
             23      757.11562       1.088847      636.56547     0.91607289       915.3758      1.3261871
             24      731.29581      1.0722422      614.71348     0.90169834      884.44182      1.3061161
             25      705.67064      1.0525662      593.07639      0.8852817      853.63431      1.2827211
             26      679.30816      1.0314823      571.01378     0.86783582      821.58466      1.2572664
             27      655.55503      1.0209891      550.92938     0.85764372      793.09144      1.2463627
             28       629.5182     0.99460814      528.93698     0.83659766        761.794      1.2134232
             29      605.42655     0.97421458      508.62801     0.81940971      732.77508      1.1882176
             30      581.66849      0.9581268      488.59353     0.80504699      704.16595      1.1684893
             31      561.99692     0.94262142      472.01373     0.79168252      680.46241       1.149854
             32      541.21872     0.93935949      454.43746     0.78698028      655.53953      1.1498912
             33      517.83347      0.9025288      434.82893     0.75850798      627.17528      1.1011371
             34       498.0181     0.88696643      418.07377     0.74513977      603.39041      1.0831253
             35      477.76148     0.86873692      400.90475     0.72973312       579.1617      1.0611837
             36      462.19768     0.85282461      387.91158     0.71651906      560.18059      1.0407735
             37      444.02755     0.83981573      372.64814     0.70522268      538.19025      1.0268448
             38      427.19571     0.82303846      358.30131     0.69044922      518.18839      1.0057183
             39      410.69633     0.80660777      344.47532     0.67689106      498.16067     0.98522642
             40      393.30652     0.79289156       329.8131     0.66467448      477.21993      0.9697519
             41      379.33468     0.77593369      317.99478     0.65088678      460.45582     0.94871404
             42      364.08775     0.75875004      305.23836     0.63672311      441.90791     0.92733588
             43      351.98571     0.74554585      295.05566     0.62826819      427.29408     0.91777229
             44      336.76577     0.73144344      282.28569     0.61446247      408.83492     0.89768209
             45      324.47783     0.72853224      271.90084     0.61375888      394.07639     0.90595465
             46      312.76269     0.70413836      261.97749       0.590351      380.05753     0.86226518
             47      300.36094     0.69189455      251.51939     0.57959225      365.12135     0.84742352
             48      288.86732     0.68158498      241.80167      0.5705596      351.31575     0.83611782
             49      278.39981     0.67787864      233.08839     0.56671923      338.50655     0.83288611
             50      278.39981     0.67787864      233.08839     0.56671923      338.50655     0.83288611
