# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj60
              0      555.95804      1.6872885      450.20071      1.3691226      703.93306      2.1489957
     0.31415927      600.86232      1.7666504      486.59589      1.4328574      760.71295      2.2515534
     0.62831853      647.52969      1.8128693      525.19455      1.4730726      818.27074      2.3034261
      0.9424778      710.25344      1.9621576      577.37353      1.5948398      895.04848      2.4893778
      1.2566371      835.69164      2.0782775      681.78661      1.6985021      1048.5313      2.6289422
      1.5707963      1037.9639      2.3167241      849.44883      1.8991306      1297.3192      2.9182838
      1.8849556      1397.0169      2.6797647      1146.3816       2.200001      1740.1253      3.3611352
      2.1991149      2006.3263      3.2182983       1649.352      2.6447416      2493.1468      4.0331887
      2.5132741      3041.7627      3.9331141      2499.6541      3.2339793      3780.6201      4.9281447
      2.8274334      4403.1205      4.8071168      3610.1138      3.9358779      5486.4393      6.0459329
      3.1415927      4403.1205      4.8071168      3610.1138      3.9358779      5486.4393      6.0459329
