#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      160.61982      3.2567745      131.91477      2.6794055      199.83817       4.066587
           -4.9      193.97742      3.5783831      159.63814      2.9614232      240.72673      4.4856911
           -4.8      243.86277      4.0171544      200.70213      3.3066457      302.65377      5.0174119
           -4.7      293.36836      4.4015558       241.9693      3.6355988      363.11291      5.4773566
           -4.6      359.33195      4.8699535      296.73272      4.0318974      444.05551      6.0701685
           -4.5      451.90958      5.4646042       372.6224      4.5074968      559.55524      6.8044948
           -4.4      543.25678       5.988914      448.71594      4.9524365      671.24216      7.4316022
           -4.3      674.10091      6.6709878      557.59612      5.5226333      831.41514      8.2687427
           -4.2      809.80284      7.3196658      669.77077       6.057271      998.93275      9.0795644
           -4.1      962.97497      8.0217847      797.42521       6.653695      1186.1056      9.9199751
             -4      1131.5954      8.6368135      938.43172      7.1673051      1391.2737      10.699854
           -3.9      1347.3342      9.4197131      1117.9676      7.8262739      1655.3423       11.63382
           -3.8      1564.2189      10.168846       1298.505       8.448359      1920.7898      12.557145
           -3.7      1834.8194      11.022603      1523.5054      9.1567548      2252.3971      13.597974
           -3.6      2075.2372      11.766604      1724.3277      9.7825692      2545.3706      14.529074
           -3.5      2367.8267       12.49209      1970.2135      10.400635      2899.2233      15.381357
           -3.4      2631.2767      13.152312      2190.9898      10.969143      3218.9988      16.228548
           -3.3      2928.1989      13.893535      2437.9368      11.572929      3582.7359      17.099117
           -3.2      3208.6917      14.599225      2677.4675      12.439168      3915.0983      18.617798
           -3.1      3483.4374      15.162964      2906.2782      12.674167      4251.3928      18.640066
             -3      3787.4431      15.915344      3162.1745      13.290357      4618.2442      19.566598
           -2.9      4061.5874      16.351933      3392.9898      13.776008      4949.0964      20.329383
           -2.8      4321.5736      16.827104      3610.1016      14.066303      5266.1628      20.627058
           -2.7      4544.0493      17.289216      3799.7711       14.48075       5530.429      21.204346
           -2.6      4791.7275      17.725307      4006.3246      14.829965      5833.0781      21.721867
           -2.5      4964.6454      18.038922      4154.2725      15.113263      6037.6209      22.096718
           -2.4      5168.5017      18.458813      4326.4365      15.456288      6282.9701      22.612361
           -2.3       5350.362      18.740481      4481.8522      15.709579      6498.1835      22.900031
           -2.2      5438.8467      19.004505      4556.8097       15.91945      6604.3661      23.248953
           -2.1      5624.9284      19.865208      4716.5874      16.592733      6823.4875      24.442745
             -2      5715.1904      19.401405      4795.4211      16.285199      6927.3957      23.724173
           -1.9      5801.5282      19.596024      4866.0528      16.440054      7035.5954      23.938288
           -1.8      5883.7981      19.597998      4941.4017      16.472062      7124.1807      23.891623
           -1.7      5912.2234      19.704887      4968.2202      16.700069      7153.4651       24.35404
           -1.6      5942.9992      19.762766      4995.6067      16.638702      7188.0548      24.171674
           -1.5      6018.8748      20.019389       5056.423      16.812177      7285.6963      24.417269
           -1.4      6067.3976      19.992592       5103.068       16.82639      7333.7617      24.378563
           -1.3      6106.5037      20.113158      5133.9433      16.904193      7384.9943      24.514381
           -1.2      6150.5372      20.056393      5176.0066      16.887616       7429.366      24.429943
           -1.1      6105.9452       20.00878      5138.1491      16.848367      7376.3118      24.367182
             -1      6158.3214       20.13467       5184.521      16.951897      7435.6715      24.539402
           -0.9      6144.9817      20.125538      5176.6536      16.981869      7413.2153      24.614255
           -0.8      6127.3639       20.10409      5160.6747        16.9286      7394.4877      24.484111
           -0.7      6158.0462      20.112748      5187.8036      16.951353      7429.3379      24.467571
           -0.6      6136.0534      20.040226      5169.7955      16.926744      7401.8854      24.466528
           -0.5        6154.18      20.077166      5184.4286      16.912852      7425.1104       24.42343
           -0.4      6110.7357      20.080528      5150.5859      16.921128      7367.8073      24.443641
           -0.3      6132.3981      20.036561      5167.6875      16.901599      7396.1755      24.365498
           -0.2      6075.0774      19.961419      5119.0431      16.830286      7327.5483      24.281033
           -0.1      6115.7644      20.027868      5155.0955      16.895094      7373.4409      24.370902
              0      6125.1664      20.719542      5167.4565      17.665207      7376.3022      26.055882
            0.1       6151.228      20.148194      5185.8944      16.990303      7414.6076      24.532948
            0.2      6137.5447      20.100293      5174.6422      16.955597       7397.455      24.468681
            0.3      6117.4444      19.981723      5156.5466       16.86148      7375.2293      24.349403
            0.4       6130.017       20.00969      5164.4406      16.875773      7395.2614      24.328947
            0.5      6098.4345      19.992834      5135.0332      16.839572      7362.1163      24.315072
            0.6      6121.8473       20.20362      5157.6402       17.01162      7384.9459      24.620247
            0.7      6096.5165      20.138284      5134.9205      16.950571      7356.8243       24.53203
            0.8      6138.0679      20.064123      5168.4521      16.917427      7409.4776      24.451717
            0.9      6149.2157      20.070794      5177.9884      16.917797      7422.5357      24.424897
              1      6089.3198      19.975232       5124.279      16.826036      7356.0429      24.303837
            1.1      6106.8449      19.965426      5137.7641      16.807784      7379.2618      24.295905
            1.2      6087.1282      19.965463      5122.3064      16.873895      7353.0383      24.508063
            1.3      6053.9703      19.873054      5090.5832      16.738555      7319.8655       24.22146
            1.4      6054.1977      19.897773      5089.7773      16.736847      7321.5662      24.242066
            1.5      6002.8655      19.811527      5044.0976      16.660148      7264.0138      24.133676
            1.6      5948.7224      19.733338      4996.3721       16.58416      7202.2374      24.058922
            1.7      5896.8888      19.751362      4950.1654      16.590535      7143.9983      24.102067
            1.8        5822.48      19.531842        4886.52      16.406052      7055.9061      23.812233
            1.9      5696.1649      19.399052      4777.9236      16.278161      6907.1306      23.717048
              2        5612.98      19.182762      4708.7457      16.115542      6804.9633      23.437263
            2.1      5457.2133      18.910182      4574.1901      15.867462      6623.0907      23.099385
            2.2      5314.4627      18.637127      4453.0135      15.629886      6452.4868      22.763626
            2.3      5152.1348      18.396645      4312.8937       15.41761      6262.8545      22.531211
            2.4      4953.6705      18.059222      4147.9724      15.570048      6018.6927      23.248732
            2.5      4810.6642       17.78869      4023.6104      14.902608      5853.4334      21.802794
            2.6      4525.4658      17.236915      3783.4926      14.423275      5509.1908      21.099859
            2.7      4301.4865       16.80579       3593.635      14.057559      5241.0931      20.607206
            2.8      4036.4471      16.486688      3369.5009       13.78871      4923.1118      20.207607
            2.9      3802.2776      15.786888      3171.1603      13.181405      4642.4691      19.367535
              3      3497.9149      15.243534      2917.5468       12.72435      4270.2435      18.735746
            3.1      3193.3347      14.504576      2662.2059      12.119247      3900.8679      17.843789
            3.2      2910.1169      13.930191      2424.4436      11.616189      3557.9089      17.130843
            3.3      2639.9908      13.310273      2197.7507      11.119876      3230.6183       16.38891
            3.4      2355.2142      12.452235      1959.0887      10.373157      2885.0342      15.316802
            3.5      2074.5592      11.740179      1723.2563      9.7578484       2545.425      14.475654
            3.6      1815.8125      10.958973      1508.4481      9.1148769      2227.7988      13.507266
            3.7      1582.9024      10.219399      1314.3821      8.4963302      1943.0547      12.611788
            3.8      1349.5209      9.4840413      1119.4373      7.8775048      1658.5836      11.711161
            3.9      1153.8992      8.7327073      956.89076      7.2538631      1418.7092       10.80473
              4      962.30179      7.9887983      796.77041      6.6196453      1185.3605      9.8929959
            4.1      801.72435      7.4132857      663.59591      6.1447453      987.99623      9.1779631
            4.2       669.7306      6.6430448      553.34689      5.4974762      827.15948      8.2338723
            4.3      539.27251      5.9754658      445.90509      4.9445551      665.52078      7.4291903
            4.4       446.5943      5.5936094      368.90682      4.5896725      551.74299      7.0122362
            4.5       363.3403      4.9014904      299.68319      4.0465881      449.70239      6.1124472
            4.6       297.7835      4.4538017      245.67578      3.6797492      368.47156      5.5451462
            4.7      252.32919      4.0799454      208.19287      3.3733215      312.19143        5.07027
            4.8      197.81448      3.6136975      162.65966      2.9736594      245.76639      4.5125726
            4.9      155.76724      3.2043788      127.95804      2.6359116      193.75659      4.0008332
              5      155.76724      3.2043788      127.95804      2.6359116      193.75659      4.0008332
