#      m_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             60       33.67653     0.23143428      27.946986     0.19225306      41.379057      0.2860672
             61      37.223585     0.24387567      30.960061     0.20293346      45.609729     0.30123001
             62      41.483498     0.25678792      34.505117     0.21366663      50.823245     0.31685645
             63      46.637567     0.27199033      38.821192      0.2267437      57.086822     0.33498487
             64      52.501701     0.28858687      43.737144     0.24171706      64.202473     0.35884813
             65      60.069381     0.30998047      50.034165     0.25849076      73.470348      0.3817518
             66      68.578521     0.33177622      57.167904     0.27677549      83.795976     0.40801294
             67      79.728684     0.35623336      66.491154     0.29741091      97.370123     0.43801417
             68      93.474938     0.38539438       77.97066     0.32180448      114.13269     0.47399357
             69      112.32156      0.4226479      93.761703     0.35327799      137.01446     0.51930929
             70      135.11701     0.46443805      112.80389     0.38792044      164.80353     0.57026541
             71       165.5078     0.51344056      138.35331     0.42999434      201.54069     0.63160461
             72      211.17567     0.58149395      176.52457     0.48657807      257.16924      0.7131464
             73      276.18038     0.66170112      231.02541      0.5539388      336.03929     0.81145166
             74      373.21299     0.76782753      312.27377     0.64305059       453.9592     0.94097028
             75      536.51018     0.91979421      449.09799     0.77051313      652.26266      1.1260781
             76      830.21493      1.1451404       695.2698     0.95970107      1008.7658      1.4023333
             77      1435.3415      1.4886653      1202.6779      1.2498966      1742.8871      1.8269601
             78      2944.4794      2.0973475      2468.0723      1.7588508      3573.8294      2.5679864
             79      7211.8261      3.0890362      6047.4252      2.5932764      8748.9679      3.7885264
             80      11242.436      3.6126282      9431.6621      3.0358048       13630.86      4.4406855
             81      5907.5657      2.8510942      4957.6636      2.3944827      7159.7935      3.4910442
             82      2459.0072      1.9252473      2064.3477      1.6187165      2978.9647      2.3562037
             83      1249.8952      1.3977656      1049.7027      1.1742787      1513.4663      1.7061304
             84      740.22883      1.0780241      621.96091      0.9067961      895.80657      1.3153294
             85      485.41561     0.87630875      407.93764     0.73698447      587.30879      1.0681304
             86      342.11456     0.73740631      287.67077     0.62055756      413.64573     0.89835435
             87      255.21309     0.64604642      214.66566     0.54293739       308.4561     0.78700358
             88      196.15876     0.56083166      165.12065     0.47205746      236.85057     0.68258952
             89      155.69543     0.49898641      131.02854     0.42004623      188.05543      0.6068229
             90      125.70356      0.4530314      105.87127     0.38137059      151.68131     0.55206465
             91       104.2375     0.40805365      87.803562     0.34394924      125.76165     0.49542269
             92      86.822858     0.37265126      73.161582      0.3141481      104.70267     0.45348283
             93      74.746258     0.34663583       63.04712     0.29441799      90.029932     0.42541187
             94       64.34959     0.32080964      54.258726     0.27051996      77.541279     0.38945791
             95      55.606443     0.29864321      46.905417     0.25187352      66.974665     0.36236229
             96      48.814833     0.28224412      41.184522     0.23789274       58.78163     0.34290029
             97      43.175372     0.26304216      36.418026     0.22204623       52.00653     0.31835693
             98      38.650389     0.24753472      32.597989     0.20907458      46.562224     0.29993872
             99      34.513762     0.23425114      29.138602     0.19792708      41.527706      0.2832393
            100      31.304663     0.22379295      26.464733     0.18934168      37.602909     0.27051112
            101      28.071579     0.21094064      23.724705     0.17855801      33.732123      0.2548444
            102      25.461644     0.20116031      21.551327     0.17044529      30.537681     0.24372859
            103        23.4322     0.19290819      19.818045     0.16362294       28.13142      0.2343374
            104      21.461347     0.18486492      18.157817     0.15659355      25.752627     0.22363398
            105      19.905341     0.17783635      16.857008     0.15068468      23.859581     0.21469915
            106       17.93194     0.16925707      15.174153     0.14330879      21.515195     0.20435853
            107        16.5527     0.16213254      14.036005     0.13803822      19.808174     0.19677776
            108      15.443216     0.15771801      13.068375     0.13336272      18.530162     0.19049425
            109      14.455927     0.15147731      12.255518     0.12842269      17.303462     0.18288307
            110      13.416298     0.14576577      11.368944     0.12362721      16.070105     0.17554063
            111      12.317545     0.14021369      10.446169     0.11887514      14.739097     0.16893704
            112      11.731235     0.13637501      9.9462197     0.11565397      14.042998     0.16414229
            113       10.98447     0.13211296      9.3138693     0.11212471      13.146568     0.15911208
            114      10.223738     0.12725963      8.6588453     0.10789381      12.254811     0.15312743
            115       9.704515     0.12925801      8.2237834     0.10926482      11.623548     0.15606727
            116      9.3664369     0.12178646      7.9375594     0.10331675      11.218853      0.1463636
            117      8.4701011     0.11598383      7.1930825    0.099252333      10.117656     0.14226647
            118      8.1685478     0.11484113      6.9154926    0.097190514      9.7967819     0.13839931
            119      7.7954898     0.12533749      6.6392729     0.10649326      9.2777998     0.15430198
            120      7.7954898     0.12533749      6.6392729     0.10649326      9.2777998     0.15430198
