#     total-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      11169.374      3.5990342      9388.8789      3.0292942       13513.11      4.4146296
              1      11169.374      3.5990342      9388.8789      3.0292942       13513.11      4.4146296
