#    pt_j1-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      274.54711      1.3466137      234.01991      1.1478179      326.06113      1.6165757
              1       1207.876      2.7949024      1030.1582      2.3979114      1433.4865      3.3855882
              2      1564.2733      3.1730394      1333.5706      2.7046929       1857.638      3.8027373
              3       1609.537      3.2027045      1371.1997      2.7288474      1913.3065      3.8394402
              4      1552.3844       3.151913       1321.726      2.6978125      1846.8406      3.8230574
              5      1437.4582      3.0369864      1221.9728      2.5830484      1713.6896       3.649721
              6      1337.5414      2.9307055      1135.2839       2.488314      1597.8245       3.525223
              7      1237.5487      2.8194677      1049.3559      2.3924756      1480.3619      3.3962473
              8      1145.8697      2.7179834      970.26975      2.3091817      1373.1534      3.3001647
              9      1070.8527      2.6355235      905.74225      2.2300061      1285.1251      3.1895814
             10       994.9853      2.5374297      840.21504      2.1443914      1196.5555      3.0726884
             11      929.24385      2.4570535      784.04844       2.074232      1118.6943      2.9775365
             12      871.88046      2.3764884      735.36667       2.039627       1050.138       2.974626
             13      822.45518      2.3131053       692.4112      1.9493276      992.92497      2.8124006
             14      778.71145      2.2523788       655.5063      1.8992788       940.2615      2.7479244
             15      734.53731      2.1873812      617.34237      1.8404553      888.70882      2.6679275
             16      692.81445      2.1232588        581.964      1.7853442      838.78398      2.5883248
             17      659.18964      2.0734072      553.16766      1.7425867      799.08134       2.532348
             18       621.6529      2.0135546      521.00968      1.6889327      754.78019      2.4595581
             19      595.84753      1.9729679      499.04705      1.6538042      724.05504      2.4114706
             20       568.0036      1.9261138      475.46082      1.6140902      690.68224      2.3569191
             21      541.61311       1.881685      453.17456      1.5769599      658.95025      2.3072779
             22      518.01317      1.8396846      432.90907      1.5389151      631.18101      2.2553191
             23      492.63393      1.7958154      411.74253      1.5021545       600.1392      2.2049268
             24      472.70709      1.7601599      394.58052      1.4709272      576.81071      2.1627859
             25      451.87676      1.7197695      377.06004      1.4365981      551.63419      2.1137963
             26      430.06798      1.6788821      358.27983      1.4001633       526.0644       2.064434
             27      415.44553      1.6519744      346.26179      1.3787121      507.86949      2.0378076
             28      399.30536      1.6271647      332.56772       1.355481      488.57509      2.0061648
             29      381.24907      1.5813468      317.42701      1.3354136      466.65683      1.9879407
             30      364.89476      1.5485359      303.52626      1.2890639      447.16145      1.9109277
             31      353.56951      1.5274342      293.98937      1.2715422      433.49464      1.8880699
             32      336.90156      1.4914679      280.03894      1.2403863      413.23305      1.8419271
             33      324.82866      1.4625876      269.86527      1.2163875      398.66567      1.8063742
             34      314.69348      1.4413094      261.30765      1.1985999      386.46695      1.7828368
             35      303.22302      1.4153289      251.73829      1.1770013      372.47288       1.753554
             36      289.04433       1.380911      239.81224      1.1478634      355.32467      1.7126742
             37      279.50734      1.3585208      231.68955      1.1272114      343.98634      1.6831044
             38      270.32706      1.3373383        224.019       1.109428       332.7915      1.6568674
             39      261.29705      1.3250999      216.46326      1.0991169      321.82469      1.6476233
             40      250.64783      1.2890939      207.57089      1.0686105      308.82384      1.5974445
             41      241.38405      1.2652852      199.83417      1.0479732      297.52965       1.569881
             42      232.78045      1.2438059      192.66061      1.0306146      287.02201      1.5459014
             43      225.82882      1.2223945      186.78246      1.0122915       278.6741      1.5212283
             44      215.67862      1.2007112      178.33317     0.99334585      266.22869      1.4921252
             45      209.27235      1.1762482      172.82594     0.97282438      258.72293       1.461916
             46      203.75535      1.1670247      168.38323     0.96536763      251.69508      1.4522258
             47      194.48408      1.1347674      160.61587     0.93822905      240.43146      1.4103385
             48      190.12245      1.1224281      157.02895     0.92805579      234.99726      1.3951763
             49       182.1761      1.1063311      150.48151     0.91493667      225.14981      1.3812716
             50       182.1761      1.1063311      150.48151     0.91493667      225.14981      1.3812716
