#         pt_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0        1575.16      1.3064593      1320.4151      1.0987595      1911.3647      1.6104829
              5      2028.8602      1.4239382      1702.8565      1.1968894      2458.2805      1.7470335
             10      1330.9841      1.2145058      1118.0699      1.0217169      1611.1045      1.4846494
             15      838.79498     0.99814395      704.74589     0.84053615       1015.181      1.2205318
             20      547.07268     0.82198964      459.45771      0.6913208      662.50903      1.0036882
             25      371.72759     0.68590031      311.97608      0.5784483      450.58186     0.84347449
             30      261.47233     0.57862816      219.30533     0.48610106      317.20765     0.70730898
             35      189.31913     0.49596014      158.64719     0.41615564      229.93632     0.60704566
             40      141.29294     0.43091775      118.30869     0.36126545      171.77978      0.5284555
             45       107.5704     0.37586039      89.949865     0.31490771      131.00157     0.46180124
             50       82.53564     0.32900003      68.994521     0.27557423      100.55181     0.40394401
             55      65.408567     0.29394782      54.635487      0.2459374       79.76142     0.36142187
             60      52.287012     0.26477004      43.613943     0.22085339      63.870389     0.32590024
             65      42.293139     0.23902595      35.247576     0.19920133      51.713648     0.29471221
             70      34.726412     0.21603579       28.95676     0.18030075      42.436344     0.26661343
             75      28.415362     0.21850839      23.655122     0.17912766      34.790947     0.27440131
             80       23.55227      0.1773857      19.595558     0.14797089      28.882495     0.21920024
             85      19.963702       0.162894      16.571251     0.13556199      24.546077     0.20184605
             90      16.659794     0.14914411      13.799086     0.12382863      20.532579     0.18516776
             95      14.614947     0.13972643      12.079693     0.11572005      18.053214     0.17400337
            100      12.241159     0.12789057      10.095179     0.10560462      15.158866      0.1598908
            105      10.513452     0.11941875      8.6481005    0.098316144      13.055702     0.14970406
            110      9.0596893     0.10968119      7.4283902    0.090233612      11.289895     0.13760926
            115      7.8755679     0.10225018      6.4521827    0.083993794      9.8226246     0.12843437
            120      6.7919603    0.099520144      5.5575504    0.081366473      8.4831493     0.12553375
            125      5.9924688     0.09017531       4.901872    0.073983934       7.488769     0.11435608
            130      5.3997993    0.085486379      4.3997072    0.069874924      6.7750425      0.1080312
            135      4.5892686    0.077922979      3.7468377     0.06384609      5.7453603    0.098240664
            140       4.270147    0.075435712      3.4620294    0.061314696       5.386943    0.095791263
            145      3.5847035    0.068803153      2.9074255    0.055993864      4.5202733    0.087398422
            150      3.1949459    0.065154103      2.5888056     0.05296833      4.0339138    0.082795379
            155      3.0258595    0.063348886      2.4506236    0.051448031       3.822097     0.08068024
            160      2.6166581    0.062596124      2.1199061    0.050723585      3.3039545    0.079854708
            165      2.3385872    0.055731591      1.8773386    0.044894801      2.9821367    0.071489743
            170      2.1006076    0.053616653      1.6935258    0.043366486       2.666006    0.069302878
            175      1.9367863    0.053171806      1.5614082    0.042871745      2.4584184     0.06817605
            180      1.7650235    0.048407495      1.4212214    0.039147385      2.2434408    0.061932165
            185      1.5903573    0.047488481       1.283559     0.03842388      2.0180394    0.061592772
            190      1.3976591    0.043020832      1.1293866    0.034906911      1.7697872    0.054824384
            195      1.3877902    0.042831382      1.1143078    0.034529229      1.7692795    0.054879615
            200      1.1951469    0.039704735       0.955771    0.031872782      1.5302106    0.051126216
            205      1.1027555      0.0382651      0.8820931    0.030726839      1.4116657    0.049279087
            210      0.9537961    0.035654018     0.76781783      0.0289395      1.2128738    0.046030141
