# n_light_jets-        central        num_err    min (scale)        num_err    max (scale)        num_err
# CMS
           -0.5      309.03237      0.6993445      260.80375     0.59114453      372.19963     0.85277773
            0.5      10860.342      3.5682698      9128.0751      3.0029461       13140.91        4.37643
            1.5              0              0              0              0              0              0
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
